Parliamentary Constituency Codes,Parliamentary Constituency,Self-employment income: Median (Lower 95% CI),Self-employment income: Median (Central Estimate),Self-employment income: Median (Upper 95% CI),Employment income: Median (Lower 95% CI),Employment income: Median (Central Estimate),Employment income: Median (Upper 95% CI),Pension income: Median (Lower 95% CI),Pension income: Median (Central Estimate),Pension income: Median (Upper 95% CI),Total income: Median (Lower 95% CI),Total income: Median (Central Estimate),Total income: Median (Upper 95% CI),Total tax: Median (Lower 95% CI),Total tax: Median (Central Estimate),Total tax: Median (Upper 95% CI)
E14001365,Mid Norfolk,13500,17200,20600,23900,25400,26600,14700,16700,18400,24300,25900,27100,2130,2290,2540
E14001384,North Bedfordshire,13400,18200,22000,29000,31500,33700,15600,16700,18200,29100,31200,33200,2880,3280,3610
E14001390,North East Cambridgeshire,14100,17000,20800,24500,26100,28300,14700,15800,17100,24800,26100,27600,2280,2480,2700
E14001393,North East Hertfordshire,15400,17400,20800,28100,31500,35100,17900,19700,21000,30400,32700,34800,3090,3500,3780
E14001396,North Norfolk,10500,14300,16000,22300,24500,26500,15900,16900,17900,23200,24400,25900,1890,2150,2400
E14001401,North West Cambridgeshire,14800,17800,21900,27200,28600,30400,15300,17700,19900,26700,27900,29700,2570,2870,3090
E14001402,North West Essex,14000,15600,17900,32000,33800,35800,15600,17400,19600,32200,34000,35800,3390,3700,4080
E14001405,North West Norfolk,14400,16600,19100,22800,24200,25400,15000,16500,18500,24100,25200,26300,2050,2260,2450
E14001408,Norwich North,14800,16600,20000,25800,26900,28300,15600,16500,17800,24800,26200,27700,2290,2500,2750
E14001409,Norwich South,11900,14000,15000,25000,26600,28100,15900,17900,19300,25500,26700,28200,2360,2530,2910
E14001425,Peterborough,13300,15200,17600,23500,24500,25500,15000,16100,17200,23900,24700,25800,2090,2240,2410
E14001437,Rayleigh and Wickford,14900,19100,21300,30000,32500,35900,17100,18400,19900,28500,30700,32500,2800,3170,3470
E14001480,South Basildon and East Thurrock,17400,18700,21900,28400,30600,32200,16600,18400,20000,28900,30600,31800,2900,3320,3560
E14001481,South Cambridgeshire,9660,13500,16500,32200,33900,35700,16200,17800,19500,32900,34700,35900,3530,3810,4170
E14001489,South Norfolk,12700,14000,19200,28500,29800,31700,18300,19600,22100,29100,30500,32500,3080,3300,3550
E14001494,South Suffolk,14300,15600,18700,25600,28400,30800,15900,17400,18600,28000,29600,31400,2660,2990,3260
E14001496,South West Hertfordshire,13500,15600,18700,30000,32200,34500,16100,18800,20200,33400,35000,37000,3640,3950,4280
E14001497,South West Norfolk,13000,14500,16500,25400,26800,29000,15100,16000,17400,24900,26400,27900,2220,2460,2780
E14001501,Southend East and Rochford,16900,18600,21100,26900,29300,31700,14600,16300,17800,27700,29500,31700,2770,3140,3550
E14001502,Southend West and Leigh,14100,17200,20800,30000,33000,34900,14800,16100,18300,29500,31000,33400,3020,3310,3570
E14001507,St Albans,15000,18000,19300,34400,37800,40600,17700,21100,22500,35900,38700,40600,4040,4420,4990
E14001512,St Neots and Mid Cambridgeshire,11300,13700,16900,29300,31000,33300,15200,16600,20400,29000,31000,32500,2980,3350,3610
E14001516,Stevenage,15600,18300,20900,30300,32400,34600,15100,16600,17800,29300,31100,32600,3010,3310,3620
E14001530,Suffolk Coastal,10900,14700,17000,25300,26600,28300,17800,19200,20300,26400,27800,28800,2480,2720,2900
E14001546,Thurrock,15800,18900,22500,28200,29200,31000,14800,16900,18000,27900,29000,30400,2820,3030,3290
E14001568,Watford,14900,17100,19400,29200,30900,33000,13900,15400,16100,30200,32500,34000,3190,3410,3790
E14001569,Waveney Valley,11300,14500,17300,24500,27000,29100,14600,16000,16700,26000,27800,29000,2370,2720,2990
E14001573,Welwyn Hatfield,13700,16400,18400,30400,32200,34400,16200,18000,18700,31100,32500,34400,3280,3560,3930
E14001578,West Suffolk,16700,19100,22600,25800,27500,28900,15100,16200,17400,25900,27600,28900,2410,2710,2910
E14001590,Witham,14600,18200,20800,27100,28500,30200,15000,17000,19000,29400,31300,32800,3010,3280,3590
E12000007,London,17200,17500,17700,33300,33500,33800,16500,16800,17100,34000,34100,34300,3850,3890,3920
E14001073,Barking,16500,18400,20200,26600,28400,29800,8880,11000,13200,26300,28100,29500,2500,2870,3110
E14001081,Battersea,12700,15500,18400,39300,41700,44800,13100,21800,24700,41900,44600,47600,5250,5810,6390
E14001083,Beckenham and Penge,14100,16300,19600,35800,39200,41500,17600,20800,22700,36000,38700,40600,4190,4600,5080
E14001085,Bermondsey and Old Southwark,13700,15200,17200,34800,37100,39800,12700,15600,17200,36500,38700,41300,4370,4840,5190
E14001086,Bethnal Green and Stepney,13500,14700,16700,31500,33500,35300,11400,14100,21300,31900,33400,34900,3590,3950,4190
E14001089,Bexleyheath and Crayford,17000,18300,21300,30000,32400,34500,14400,16300,18400,29900,31400,33700,3160,3380,3740
E14001122,Brent East,17700,18700,19900,27500,28600,30000,11700,13800,14600,28000,29000,30200,2810,3090,3280
E14001123,Brent West,17000,19000,20800,25800,26800,27500,13300,14600,16300,27200,27800,29700,2650,2800,3040
E14001124,Brentford and Isleworth,15300,17100,19600,30300,31700,33400,15600,18500,20200,30800,32100,34100,3270,3480,3810
E14001137,Bromley and Biggin Hill,17100,20400,23900,32800,34800,39000,18000,21800,23700,34400,37100,39200,3860,4260,4750
E14001153,Carshalton and Wallington,15500,17500,20500,29500,31000,32600,15900,17400,19700,30000,31200,33200,3120,3390,3760
E14001160,Chelsea and Fulham,12600,14500,17200,37400,39700,41700,14500,18200,20000,40300,43000,46100,4930,5350,5870
E14001167,Chingford and Woodford Green,16100,17600,20700,31000,33100,34500,16100,18600,20000,32100,33900,35700,3410,3750,4110
E14001169,Chipping Barnet,16900,19600,22500,31300,32700,36400,15700,17400,18800,33800,37000,38900,3630,3960,4560
E14001172,Cities of London and Westminster,19200,23400,26800,40200,42500,45400,15200,17800,23400,45200,47900,50600,5870,6400,7050
E14001175,Clapham and Brixton Hill,13600,14700,17900,34500,36600,38700,13000,15000,16800,35200,37100,39200,4250,4510,4900
E14001186,Croydon East,15600,18500,20900,29700,31300,33000,15800,18900,21200,30200,31700,33800,3250,3500,3770
E14001187,Croydon South,13200,14900,17900,34900,37000,39500,16900,19100,22200,35100,37200,39400,4010,4470,4750
E14001188,Croydon West,13700,15000,16300,28200,29500,30600,13700,15300,18200,28400,29400,30200,2900,3120,3320
E14001189,Dagenham and Rainham,17500,19400,21800,28900,31100,32600,15600,17400,19500,27800,29300,30900,2860,3090,3400
E14001205,Dulwich and West Norwood,14300,16300,19700,33000,34700,36700,14200,16600,19700,34100,35900,38500,3960,4250,4650
E14001207,Ealing Central and Acton,15000,16800,19200,32900,34700,37100,14100,16300,18300,34000,35700,37600,3920,4180,4510
E14001208,Ealing North,17400,19200,20900,28600,30000,32000,13600,15100,16600,28000,29100,30500,2860,3080,3250
E14001209,Ealing Southall,15100,18000,20200,27700,29300,30500,13400,14600,16600,28500,29900,30900,2920,3140,3340
E14001213,East Ham,16800,18100,19700,24800,26100,27900,9620,12700,13400,24600,25800,27100,2180,2480,2690
E14001221,Edmonton and Winchmore Hill,14800,16300,18700,26200,28300,30200,14700,15700,17800,26900,28700,30400,2530,2810,3120
E14001223,Eltham and Chislehurst,15000,16500,18900,32200,34300,36900,17200,18400,20700,32200,33900,36100,3460,3910,4230
E14001225,Enfield North,16200,18700,21500,28400,30500,32500,14500,16200,18000,29900,31300,32900,3160,3420,3710
E14001229,Erith and Thamesmead,15400,17300,18900,29200,30700,32300,12700,14000,15400,28700,29700,30900,2930,3170,3410
E14001236,Feltham and Heston,14200,16000,18600,27000,28100,29400,14200,15600,16200,26700,28000,29100,2570,2810,3010
E14001238,Finchley and Golders Green,16300,18200,19900,31000,33200,35400,13600,15200,18400,35700,37600,39400,3980,4350,4600
E14001257,Greenwich and Woolwich,14200,16700,18400,36100,37900,40300,14700,15900,17900,36700,39000,40600,4400,4760,5200
E14001259,Hackney North and Stoke Newington,14000,16000,18300,29500,31200,33600,13100,15300,16100,30700,32900,35100,3240,3640,4050
E14001260,Hackney South and Shoreditch,15500,18000,21400,32700,34300,36500,10500,13000,16100,33700,35600,37800,3890,4250,4610
E14001264,Hammersmith and Chiswick,14000,16300,18000,35000,37900,40100,16300,18100,22000,38100,40200,42200,4590,5030,5420
E14001265,Hampstead and Highgate,13200,15800,20000,37500,41000,43600,14500,15900,18700,42500,44500,47500,5120,5680,6190
E14001270,Harrow East,18900,20500,22700,28300,30100,32100,13400,14900,16500,29800,31300,32900,2950,3190,3450
E14001271,Harrow West,15600,17700,19400,29000,31000,33400,16000,17800,20800,30100,32100,33900,3100,3450,3730
E14001276,Hayes and Harlington,16900,18200,20900,27100,28300,29500,12500,14100,15900,27900,28900,30000,2810,2990,3210
E14001279,Hendon,15100,16200,18100,28000,29600,31400,12900,14700,16800,29600,31300,32400,2970,3250,3590
E14001290,Holborn and St Pancras,14500,16100,19200,33000,35500,38300,13500,18800,21000,34800,36900,39500,3940,4380,4840
E14001292,Hornchurch and Upminster,17200,19900,23400,31500,33800,35900,15100,17300,20200,31800,33500,35500,3460,3740,4120
E14001293,Hornsey and Friern Barnet,16000,19100,21000,31300,33300,35500,15900,18800,21800,34600,36000,37300,3770,4090,4440
E14001300,Ilford North,16100,19500,20800,26900,29400,32300,14300,15800,17300,28700,30600,32400,2890,3220,3510
E14001301,Ilford South,17100,19400,22500,26700,28900,30100,14300,15900,17900,27300,28800,29800,2690,2940,3160
E14001305,Islington North,12700,14300,17600,33900,35900,38600,13600,15900,20400,34300,36200,39000,3950,4390,4880
E14001306,Islington South and Finsbury,14400,16000,18100,40100,42300,45200,14700,17400,18200,41200,43500,46500,5120,5670,6150
E14001310,Kensington and Bayswater,12800,14900,17100,36400,39700,42700,13000,15100,16600,43800,46200,48900,5190,6080,6450
E14001312,Kingston and Surbiton,14300,17000,19100,33400,36100,38500,16000,18300,22100,34700,36800,38600,3930,4330,4690
E14001331,Lewisham East,14900,19000,20200,30800,32400,34500,14400,16600,19800,31000,32400,34500,3320,3610,3920
E14001332,Lewisham North,14200,16100,18500,32900,34500,35900,15500,17100,21000,33200,34600,36000,3770,4010,4240
E14001333,Lewisham West and East Dulwich,13700,15700,18600,35300,38700,41100,14400,17200,18600,37100,39100,41400,4310,4730,5210
E14001334,Leyton and Wanstead,16700,18900,20700,30500,32400,34900,16000,17900,19000,30900,33100,34900,3270,3670,3970
E14001371,Mitcham and Morden,15700,17500,19600,30100,31700,33600,14600,16900,18400,30000,31500,32800,3130,3490,3710
E14001414,Old Bexley and Sidcup,15100,18000,20200,32400,35300,37300,16000,17800,19600,31800,33500,35600,3490,3870,4200
E14001417,Orpington,14600,19400,22400,33600,38100,41000,18900,21900,23500,34100,37200,39700,3920,4370,4890
E14001421,Peckham,13900,15400,19100,29900,31900,33400,10200,14400,20000,31100,32700,34900,3460,3710,3930
E14001430,Poplar and Limehouse,13900,15800,18300,38500,40400,41800,11700,16800,22600,38700,40400,42000,4950,5240,5590
E14001434,Putney,13300,14900,16500,37700,40000,42000,15100,17600,21300,39500,41600,43400,4890,5230,5710
E14001435,Queen's Park and Maida Vale,13900,15900,18800,31500,33700,35500,15400,17700,20100,33400,35000,37100,3700,4070,4510
E14001445,Richmond Park,13300,17000,20700,40600,45000,48500,17500,20000,23500,44000,47700,50100,5400,5980,6610
E14001448,Romford,18300,22400,24100,30500,32300,35000,15700,17800,19000,30000,31400,33100,3140,3420,3720
E14001454,"Ruislip, Northwood and Pinner",13700,15800,18600,31500,34200,37700,18900,21200,25100,35600,37900,39900,3820,4250,4750
E14001503,Southgate and Wood Green,15300,16400,18700,29500,31900,34200,14800,16600,19300,30800,32300,34100,3310,3580,3910
E14001525,Stratford and Bow,16700,18000,20000,31500,33500,35300,13500,16300,18500,31600,33400,35300,3530,3820,4130
E14001527,Streatham and Croydon North,13000,14700,16700,30700,32500,34700,14100,15000,15900,30700,32600,34400,3370,3620,3890
E14001534,Sutton and Cheam,17000,19500,22000,33200,35000,36900,15100,17500,19500,33600,35700,37200,3780,4170,4470
E14001550,Tooting,15200,17900,22600,38000,40700,43300,13900,15500,19600,38600,41400,43200,4810,5190,5640
E14001553,Tottenham,16200,18800,20300,27100,29100,30900,13200,14800,16900,27000,28300,30000,2680,2890,3160
E14001556,Twickenham,13600,15900,18300,37500,40500,44100,19200,22300,25200,40600,43900,46300,4900,5350,5860
E14001558,Uxbridge and South Ruislip,15100,17600,19700,32400,34000,36200,15300,16300,19000,32800,34200,36000,3500,3860,4190
E14001559,Vauxhall and Camberwell Green,13600,15400,18100,31700,34300,35900,10000,14300,17300,32400,34400,36300,3580,4080,4480
E14001563,Walthamstow,16100,17900,20600,32200,34900,36500,13400,13800,16000,31500,33600,35400,3490,3820,4200
E14001576,West Ham and Beckton,15800,18300,20300,29100,30400,31700,10700,13100,14200,28900,30000,31100,3100,3290,3520
E14001586,Wimbledon,15100,18900,21700,38500,42000,45300,19500,22400,25300,40800,44100,46600,5010,5520,6070
E12000008,South East,16300,16600,16900,29600,29800,30000,17800,18000,18200,30600,30800,31000,3200,3230,3270
E14001063,Aldershot,14300,17300,20800,30000,31400,33600,15800,17400,20200,30100,31400,33300,3180,3470,3730
E14001067,Arundel and South Downs,14700,16900,18700,25500,28400,30300,17200,18400,19700,29600,31300,33100,3000,3320,3630
E14001069,Ashford,16200,18100,20500,27100,29000,30900,14200,15400,16500,28300,30300,31700,2850,3150,3420
E14001071,Aylesbury,16200,18000,21700,29200,31000,32700,15100,17000,17900,29700,31200,33000,3110,3380,3650
E14001072,Banbury,8490,13100,15700,26300,28500,30600,17000,18800,21700,28600,31000,32700,2860,3240,3580
E14001078,Basingstoke,11900,14900,19500,27600,29500,31400,15300,17000,18200,27900,29600,31400,2890,3130,3420
E14001082,Beaconsfield,17000,19100,21500,29300,32200,35100,18800,20800,22400,34500,36300,37900,3760,4200,4510
