PARL10,PARL25,overlap_area,original_area,percentage_overlap_area,percentage_overlap_pop,overlap_pop,original_pop,__index_level_0__
E14000574,UKPARL.2025.GCW,22652493.24,110300356.46,0.21,0.28,24717.02,88121.5,446
E14000574,UKPARL.2025.WGS,29928947.01,110300356.46,0.27,0.21,18637.13,88121.5,528
E14000575,UKPARL.2025.BAA,18981846.45,70404411.27,0.27,0.47,39574.39,84891.0,527
E14000575,UKPARL.2025.CRK,51413438.19,70404411.27,0.73,0.53,45316.61,84891.0,831
E14000576,UKPARL.2025.ASD,1739515.67,61297181.53,0.03,0.0,338.73,107956.0,72
E14000576,UKPARL.2025.BRL,42669064.18,61297181.53,0.7,0.86,92511.71,107956.0,808
E14000576,UKPARL.2025.CCH,16888008.35,61297181.53,0.28,0.14,15105.57,107956.0,530
E14000577,UKPARL.2025.BOL,225942516.78,226408064.06,1.0,1.0,100198.71,100375.73,1143
E14000578,UKPARL.2025.BLN,35922833.16,35943393.5,1.0,1.0,98387.7,98387.7,1182
E14000579,UKPARL.2025.BLN,5165808.61,36823938.14,0.14,0.12,13026.45,107494.29,359
E14000579,UKPARL.2025.BLS,21160326.16,36823938.14,0.57,0.75,80536.52,107494.29,718
E14000579,UKPARL.2025.BLW,10489671.87,36823938.14,0.28,0.13,13931.32,107494.29,540
E14000580,UKPARL.2025.BLW,67004712.96,71764054.97,0.93,0.84,81668.0,97646.09,1022
E14000580,UKPARL.2025.LAA,4731555.29,71764054.97,0.07,0.16,15978.09,97646.09,192
E14000581,UKPARL.2025.BTL,25830323.91,25843257.59,1.0,1.0,100478.56,100478.56,1192
E14000582,UKPARL.2025.BAS,697662908.37,707183683.89,0.99,0.99,107943.23,108510.0,1113
E14000582,UKPARL.2025.LAH,9506180.18,707183683.89,0.01,0.01,566.77,108510.0,23
E14000583,UKPARL.2025.HKB,247522486.49,289041994.85,0.86,0.87,92666.0,106289.0,936
E14000583,UKPARL.2025.MLE,41478423.24,289041994.85,0.14,0.13,13623.0,106289.0,365
E14000584,UKPARL.2025.BHE,25526848.04,25530668.3,1.0,1.0,106282.0,106282.0,1266
E14000585,UKPARL.2025.BHW,25707193.65,27178854.59,0.95,0.97,101873.37,105149.0,1047
E14000585,UKPARL.2025.MDP,1289323.74,27178854.59,0.05,0.02,2534.76,105149.0,137
E14000586,UKPARL.2025.BRK,45173237.19,73946387.54,0.61,0.83,93186.0,112672.0,739
E14000586,UKPARL.2025.WKM,28759210.24,73946387.54,0.39,0.17,19486.0,112672.0,619
E14000587,UKPARL.2025.BDE,27569634.36,28453916.33,0.97,0.97,120493.55,123621.44,1083
E14000587,UKPARL.2025.BDS,866399.62,28453916.33,0.03,0.03,3127.88,123621.44,80
E14000588,UKPARL.2025.BDS,43227317.6,43260446.51,1.0,1.0,105428.16,105428.16,1166
E14000589,UKPARL.2025.BDW,35222639.61,35244101.94,1.0,1.0,117072.24,117072.24,1177
