UKPARL.2025,PCON24CD,PCON24NM
UKPARL.2025.RDW,E14001439,"Reading West and Mid Berkshire"
UKPARL.2025.RED,E14001440,"Redcar"
UKPARL.2025.REI,E14001442,"Reigate"
UKPARL.2025.RGN,S14000104,"Rutherglen"
UKPARL.2025.RHM,E14001452,"Rotherham"
UKPARL.2025.RHV,E14001451,"Rother Valley"
UKPARL.2025.RIV,E14001443,"Ribble Valley"
UKPARL.2025.RMF,E14001448,"Romford"
UKPARL.2025.RNP,E14001454,"Ruislip, Northwood and Pinner"
UKPARL.2025.RPK,E14001445,"Richmond Park"
UKPARL.2025.RSO,E14001449,"Romsey and Southampton North"
UKPARL.2025.RUG,E14001453,"Rugby"
UKPARL.2025.RUN,E14001456,"Runnymede and Weybridge"
UKPARL.2025.RUT,E14001458,"Rutland and Stamford"
UKPARL.2025.SAB,E14001525,"Stratford and Bow"
UKPARL.2025.SAC,E14001534,"Sutton and Cheam"
UKPARL.2025.SAH,E14001515,"Stalybridge and Hyde"
UKPARL.2025.SAL,E14001460,"Salisbury"
UKPARL.2025.SAN,N05000014,"South Antrim"
UKPARL.2025.SAR,E14001475,"Skipton and Ripon"
UKPARL.2025.SAS,E14001474,"Sittingbourne and Sheppey"
UKPARL.2025.SAU,E14001528,"Stretford and Urmston"
UKPARL.2025.SAW,E14001461,"Scarborough and Whitby"
UKPARL.2025.SBH,E14001466,"Sheffield Brightside and Hillsborough"
UKPARL.2025.SBR,E14001524,"Stourbridge"
UKPARL.2025.SBT,E14001480,"South Basildon and East Thurrock"
UKPARL.2025.SBY,E14001464,"Selby"
UKPARL.2025.SCB,E14001481,"South Cambridgeshire"
UKPARL.2025.SCE,E14001467,"Sheffield Central"
UKPARL.2025.SCN,E14001527,"Streatham and Croydon North"
UKPARL.2025.SCT,E14001482,"South Cotswolds"
UKPARL.2025.SCU,E14001462,"Scunthorpe"
UKPARL.2025.SDE,E14001483,"South Derbyshire"
UKPARL.2025.SDS,E14001485,"South Dorset"
UKPARL.2025.SDV,E14001484,"South Devon"
UKPARL.2025.SDW,N05000015,"South Down"
UKPARL.2025.SEC,E14001486,"South East Cornwall"
UKPARL.2025.SEF,E14001463,"Sefton Central"
UKPARL.2025.SER,E14001501,"Southend East and Rochford"
UKPARL.2025.SEV,E14001465,"Sevenoaks"
UKPARL.2025.SFC,E14001530,"Suffolk Coastal"
UKPARL.2025.SFD,E14001459,"Salford"
UKPARL.2025.SGF,N05000016,"Strangford"
UKPARL.2025.SGW,E14001523,"Stone, Great Wyrley and Penkridge"
UKPARL.2025.SHA,E14001468,"Sheffield Hallam"
UKPARL.2025.SHD,E14001487,"South Holland and The Deepings"
UKPARL.2025.SHE,E14001469,"Sheffield Heeley"
UKPARL.2025.SHN,E14001509,"St Helens North"
UKPARL.2025.SHR,E14001473,"Shrewsbury"
UKPARL.2025.SHS,E14001510,"St Helens South and Whiston"
UKPARL.2025.SHY,E14001472,"Shipley"
UKPARL.2025.SKN,E14001518,"Stockton North"
UKPARL.2025.SKW,E14001519,"Stockton West"
UKPARL.2025.SLE,E14001488,"South Leicestershire"
UKPARL.2025.SLO,E14001477,"Slough"
UKPARL.2025.SLR,E14001476,"Sleaford and North Hykeham"
UKPARL.2025.SMK,E14001478,"Smethwick"
UKPARL.2025.SNC,E14001512,"St Neots and Mid Cambridgeshire"
UKPARL.2025.SNF,E14001489,"South Norfolk"
UKPARL.2025.SNH,E14001490,"South Northamptonshire"
UKPARL.2025.SNN,E14001536,"Swindon North"
UKPARL.2025.SNQ,E14001508,"St Austell and Newquay"
UKPARL.2025.SNS,E14001537,"Swindon South"
UKPARL.2025.SOA,E14001526,"Stratford-on-Avon"
UKPARL.2025.SOI,E14001499,"Southampton Itchen"
UKPARL.2025.SOP,E14001504,"Southport"
UKPARL.2025.SOT,E14001500,"Southampton Test"
UKPARL.2025.SPL,E14001505,"Spelthorne"
UKPARL.2025.SPT,E14001517,"Stockport"
UKPARL.2025.SPV,E14001506,"Spen Valley"
UKPARL.2025.SRH,E14001532,"Surrey Heath"
UKPARL.2025.SRI,E14001491,"South Ribble"
UKPARL.2025.SSE,E14001470,"Sheffield South East"
UKPARL.2025.SSF,E14001494,"South Suffolk"
UKPARL.2025.SSH,E14001492,"South Shields"
UKPARL.2025.SSO,E14001493,"South Shropshire"
UKPARL.2025.STA,E14001507,"St Albans"
UKPARL.2025.STC,E14001520,"Stoke-on-Trent Central"
UKPARL.2025.STF,E14001513,"Stafford"
UKPARL.2025.STG,S14000105,"Stirling and Strathallan"
UKPARL.2025.STM,E14001514,"Staffordshire Moorlands"
UKPARL.2025.STN,E14001521,"Stoke-on-Trent North"
UKPARL.2025.STR,E14001529,"Stroud"
UKPARL.2025.STS,E14001522,"Stoke-on-Trent South"
UKPARL.2025.STV,E14001511,"St Ives"
UKPARL.2025.SUN,E14001531,"Sunderland Central"
UKPARL.2025.SUT,E14001535,"Sutton Coldfield"
UKPARL.2025.SVG,E14001516,"Stevenage"
UKPARL.2025.SWD,E14001495,"South West Devon"
UKPARL.2025.SWF,E14001471,"Sherwood Forest"
UKPARL.2025.SWG,E14001503,"Southgate and Wood Green"
UKPARL.2025.SWH,E14001496,"South West Hertfordshire"
UKPARL.2025.SWL,E14001502,"Southend West and Leigh"
UKPARL.2025.SWN,E14001497,"South West Norfolk"
UKPARL.2025.SWS,E14001479,"Solihull West and Shirley"
UKPARL.2025.SWT,W07000108,"Swansea West"
UKPARL.2025.SWW,E14001498,"South West Wiltshire"
UKPARL.2025.SXW,E14001533,"Sussex Weald"
UKPARL.2025.TAM,E14001544,"Thirsk and Malton"
UKPARL.2025.TAT,E14001539,"Tatton"
UKPARL.2025.TAV,E14001552,"Torridge and Tavistock"
UKPARL.2025.TAW,E14001540,"Taunton and Wellington"
UKPARL.2025.TAY,E14001545,"Thornbury and Yate"
UKPARL.2025.TEW,E14001542,"Tewkesbury"
UKPARL.2025.TFD,E14001541,"Telford"
UKPARL.2025.THK,E14001546,"Thurrock"
UKPARL.2025.TIP,E14001547,"Tipton and Wednesbury"
UKPARL.2025.TIV,E14001548,"Tiverton and Minehead"
UKPARL.2025.TMW,E14001538,"Tamworth"
UKPARL.2025.TNW,E14001555,"Tunbridge Wells"
UKPARL.2025.TON,E14001549,"Tonbridge"
UKPARL.2025.TOO,E14001550,"Tooting"
UKPARL.2025.TOR,W07000109,"Torfaen"
UKPARL.2025.TOT,E14001553,"Tottenham"
UKPARL.2025.TRB,E14001551,"Torbay"
UKPARL.2025.TRF,E14001554,"Truro and Falmouth"
UKPARL.2025.TWI,E14001556,"Twickenham"
UKPARL.2025.TYN,E14001557,"Tynemouth"
UKPARL.2025.UBN,N05000017,"Upper Bann"
UKPARL.2025.UXB,E14001558,"Uxbridge and South Ruislip"
UKPARL.2025.VCG,E14001559,"Vauxhall and Camberwell Green"
UKPARL.2025.VOG,W07000110,"Vale of Glamorgan"
UKPARL.2025.WAB,E14001562,"Walsall and Bloxwich"
UKPARL.2025.WAE,E14001582,"Wetherby and Easingwold"
UKPARL.2025.WAH,E14001584,"Widnes and Halewood"
UKPARL.2025.WAK,S14000111,"West Aberdeenshire and Kincardine"
UKPARL.2025.WAL,E14001580,"Westmorland and Lonsdale"
UKPARL.2025.WAN,E14001564,"Warrington North"
UKPARL.2025.WAS,E14001565,"Warrington South"
UKPARL.2025.WAT,E14001568,"Watford"
UKPARL.2025.WAV,E14001569,"Waveney Valley"
UKPARL.2025.WAW,E14001583,"Whitehaven and Workington"
UKPARL.2025.WBR,E14001571,"Wellingborough and Rushden"
UKPARL.2025.WBW,E14001574,"West Bromwich"
UKPARL.2025.WDB,S14000106,"West Dunbartonshire"
UKPARL.2025.WDS,E14001575,"West Dorset"
UKPARL.2025.WEL,E14001572,"Wells and Mendip Hills"
UKPARL.2025.WGN,E14001585,"Wigan"
UKPARL.2025.WGS,E14001567,"Washington and Gateshead South"
UKPARL.2025.WHB,E14001576,"West Ham and Beckton"
UKPARL.2025.WHT,E14001573,"Welwyn Hatfield"
UKPARL.2025.WHW,E14001563,"Walthamstow"
UKPARL.2025.WIM,E14001586,"Wimbledon"
UKPARL.2025.WIN,E14001587,"Winchester"
UKPARL.2025.WIR,E14001589,"Wirral West"
UKPARL.2025.WIT,E14001591,"Witney"
UKPARL.2025.WKF,E14001560,"Wakefield and Rothwell"
UKPARL.2025.WKL,E14001566,"Warwick and Leamington"
UKPARL.2025.WKM,E14001593,"Wokingham"
UKPARL.2025.WKT,E14001570,"Weald of Kent"
UKPARL.2025.WLA,E14001577,"West Lancashire"
UKPARL.2025.WLL,E14001561,"Wallasey"
UKPARL.2025.WND,E14001588,"Windsor"
UKPARL.2025.WNE,E14001594,"Wolverhampton North East"
UKPARL.2025.WOK,E14001592,"Woking"
UKPARL.2025.WOR,E14001597,"Worcester"
UKPARL.2025.WRE,W07000111,"Wrexham"
UKPARL.2025.WRH,E14001599,"Worthing West"
UKPARL.2025.WRK,E14001543,"The Wrekin"
UKPARL.2025.WSE,E14001595,"Wolverhampton South East"
UKPARL.2025.WSF,E14001578,"West Suffolk"
UKPARL.2025.WSL,E14001598,"Worsley and Eccles"
UKPARL.2025.WSM,E14001581,"Weston-super-Mare"
UKPARL.2025.WTM,E14001590,"Witham"
UKPARL.2025.WTY,N05000018,"West Tyrone"
UKPARL.2025.WWE,E14001596,"Wolverhampton West"
UKPARL.2025.WWR,E14001579,"West Worcestershire"
UKPARL.2025.WYC,E14001600,"Wycombe"
UKPARL.2025.WYF,E14001601,"Wyre Forest"
UKPARL.2025.WYT,E14001602,"Wythenshawe and Sale East"
UKPARL.2025.YEO,E14001603,"Yeovil"
UKPARL.2025.YNM,W07000112,"Ynys Môn"
UKPARL.2025.YOC,E14001604,"York Central"
UKPARL.2025.YOO,E14001605,"York Outer"
