PCON22CD,Cycle once a month 2016,Cycle once a month 2017,Cycle once a month 2018,Cycle once a month 2019,Cycle once a month 2020,Cycle once a month 2021,Cycle once a month 2022,Cycle once a week 2016,Cycle once a week 2017,Cycle once a week 2018,Cycle once a week 2019,Cycle once a week 2020,Cycle once a week 2021,Cycle once a week 2022,Cycle three times a week 2016,Cycle three times a week 2017,Cycle three times a week 2018,Cycle three times a week 2019,Cycle three times a week 2020,Cycle three times a week 2021,Cycle three times a week 2022,Cycle five times a week 2016,Cycle five times a week 2017,Cycle five times a week 2018,Cycle five times a week 2019,Cycle five times a week 2020,Cycle five times a week 2021,Cycle five times a week 2022,Walk once a month 2016,Walk once a month 2017,Walk once a month 2018,Walk once a month 2019,Walk once a month 2020,Walk once a month 2021,Walk once a month 2022,Walk once a week 2016,Walk once a week 2017,Walk once a week 2018,Walk once a week 2019,Walk once a week 2020,Walk once a week 2021,Walk once a week 2022,Walk three times a week 2016,Walk three times a week 2017,Walk three times a week 2018,Walk three times a week 2019,Walk three times a week 2020,Walk three times a week 2021,Walk three times a week 2022,Walk five times a week 2016,Walk five times a week 2017,Walk five times a week 2018,Walk five times a week 2019,Walk five times a week 2020,Walk five times a week 2021,Walk five times a week 2022
E14000585,20.9,21.1,17.4,18.6,17.4,20.7,17.9,15.2,14.1,12.9,12.6,14.5,13.8,13.0,8.2,6.3,6.5,6.9,0.0,0.0,5.4,5.1,4.0,3.0,4.5,0.0,0.0,0.0,77.9,83.7,82.0,82.7,74.5,82.1,80.0,68.0,72.8,71.8,73.4,67.9,73.4,73.2,39.0,44.4,45.6,46.5,44.5,43.8,51.6,26.5,30.3,32.5,35.3,36.4,32.2,36.8
E14000586,18.1,18.6,19.9,18.9,22.2,12.2,13.7,11.7,11.5,14.7,12.6,16.7,7.4,9.6,2.1,0.0,5.2,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.3,80.3,83.6,83.9,82.3,79.4,79.7,70.6,70.3,73.3,72.8,73.4,72.1,68.7,41.4,43.4,43.5,44.1,48.5,45.0,39.9,30.0,29.8,29.9,30.3,37.0,32.8,27.5
E14000587,13.1,10.4,11.6,10.0,10.2,10.2,8.0,7.3,4.7,7.5,6.5,7.4,7.5,5.9,3.4,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,75.0,74.3,75.4,69.7,70.6,66.5,59.9,61.4,64.7,65.7,60.8,61.8,56.6,37.7,36.5,40.3,35.5,36.1,37.4,33.7,28.7,25.7,27.3,26.5,28.3,26.1,24.0
E14000588,13.1,10.4,11.6,10.0,10.2,10.2,8.0,7.3,4.7,7.5,6.5,7.4,7.5,5.9,3.4,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,75.0,74.3,75.4,69.7,70.6,66.5,59.9,61.4,64.7,65.7,60.8,61.8,56.6,37.7,36.5,40.3,35.5,36.1,37.4,33.7,28.7,25.7,27.3,26.5,28.3,26.1,24.0
E14000589,13.1,10.4,11.6,10.0,10.2,10.2,8.0,7.3,4.7,7.5,6.5,7.4,7.5,5.9,3.4,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,75.0,74.3,75.4,69.7,70.6,66.5,59.9,61.4,64.7,65.7,60.8,61.8,56.6,37.7,36.5,40.3,35.5,36.1,37.4,33.7,28.7,25.7,27.3,26.5,28.3,26.1,24.0
E14000590,16.5,19.9,15.1,13.2,18.5,12.9,10.7,9.2,13.7,8.1,7.6,12.6,7.5,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.8,83.5,82.4,82.4,74.7,79.2,78.0,66.0,70.2,73.2,71.0,66.7,72.9,67.8,39.2,44.7,49.1,42.2,42.3,46.9,41.5,26.6,33.2,36.9,29.8,31.4,36.9,32.7
E14000591,11.2,9.8,16.0,13.9,12.6,12.2,11.7,7.2,7.4,12.9,9.0,9.9,8.3,10.5,0.0,0.0,7.1,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,72.1,75.2,73.3,68.5,70.3,65.1,62.7,66.2,69.8,66.9,63.2,63.5,59.3,39.4,41.0,44.9,42.7,34.1,35.2,36.9,25.9,30.6,35.6,32.4,23.7,25.1,23.8
E14000592,11.2,9.8,16.0,13.9,12.6,12.2,11.7,7.2,7.4,12.9,9.0,9.9,8.3,10.5,0.0,0.0,7.1,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.3,72.1,75.2,73.3,68.5,70.3,65.1,62.7,66.2,69.8,66.9,63.2,63.5,59.3,39.4,41.0,44.9,42.7,34.1,35.2,36.9,25.9,30.6,35.6,32.4,23.7,25.1,23.8
E14000593,13.3,13.1,19.3,15.9,15.7,16.0,13.8,9.5,10.3,14.9,10.8,10.0,11.5,7.7,0.0,5.5,8.5,4.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,72.5,77.9,75.0,66.0,70.5,73.1,64.0,66.5,70.7,69.2,58.7,63.5,64.2,39.2,39.4,44.2,43.0,35.1,32.9,38.4,26.9,28.1,36.1,31.4,27.6,24.8,28.3
E14000594,16.7,13.8,11.7,14.8,14.5,11.5,11.4,10.7,9.2,8.0,9.5,10.0,6.9,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.6,79.9,79.6,81.5,80.3,80.2,77.3,72.2,71.5,70.7,75.4,72.6,73.6,69.0,42.1,45.9,42.9,46.9,43.9,45.9,45.4,31.7,34.9,33.3,34.1,32.9,33.8,33.2
E14000595,21.4,24.2,20.3,19.8,18.0,16.7,17.5,15.3,18.6,15.0,12.5,12.9,11.5,12.6,3.5,6.7,6.3,2.8,2.7,0.0,0.0,0.0,4.1,0.0,1.6,0.0,0.0,0.0,74.8,81.4,77.5,80.5,77.8,77.8,78.9,66.7,73.1,68.2,71.0,69.2,67.1,71.2,40.5,46.7,42.0,45.2,46.0,40.2,45.1,28.4,34.6,30.3,33.4,34.4,30.1,33.0
E14000596,22.2,15.8,14.9,15.1,19.1,8.2,10.7,16.6,10.3,10.2,9.2,14.5,6.8,8.2,7.3,0.9,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,75.5,73.6,74.9,74.0,68.6,68.3,65.7,64.4,65.1,67.3,66.4,60.6,61.4,35.7,38.0,43.0,38.9,39.5,38.8,40.7,26.5,26.9,32.2,29.7,29.1,28.7,27.5
E14000597,28.2,22.5,25.6,22.2,21.1,16.8,23.5,21.2,17.1,19.3,16.0,15.7,11.3,18.5,13.2,6.7,10.5,6.2,7.0,0.0,9.4,9.6,0.0,0.0,0.0,0.0,0.0,0.0,85.8,87.5,86.3,88.2,80.3,82.9,79.5,78.3,79.5,78.4,83.2,74.4,76.3,73.1,53.1,52.0,52.3,59.4,56.5,53.1,54.3,37.6,42.0,39.3,43.6,46.7,36.5,40.5
E14000598,28.7,22.6,25.9,22.5,21.3,16.9,23.9,21.5,17.2,19.6,16.2,16.0,11.3,18.8,13.7,6.9,10.6,6.4,7.2,0.0,9.7,9.9,0.0,0.0,0.0,0.0,0.0,0.0,86.0,87.7,86.5,88.3,80.2,83.0,79.2,78.5,79.8,78.7,83.5,74.3,76.4,72.8,53.3,52.2,52.5,59.7,56.7,53.3,54.2,37.7,42.2,39.4,43.7,46.9,36.5,40.5
E14000599,25.8,28.8,26.3,26.2,24.8,21.8,21.8,19.7,20.6,21.3,20.7,18.0,16.0,17.0,11.9,11.4,12.4,11.6,9.1,9.2,9.6,7.9,7.3,8.7,7.1,5.1,4.8,5.7,81.1,83.3,81.5,84.8,79.4,83.0,80.8,72.1,75.3,73.9,77.2,72.4,76.3,74.7,47.4,48.4,48.8,50.9,44.1,49.0,48.1,33.8,34.3,35.6,38.4,31.5,36.7,35.6
E14000600,25.8,28.8,26.3,26.2,24.8,21.8,21.8,19.7,20.6,21.3,20.7,18.0,16.0,17.0,11.9,11.4,12.4,11.6,9.1,9.2,9.6,7.9,7.3,8.7,7.1,5.1,4.8,5.7,81.1,83.3,81.5,84.8,79.4,83.0,80.8,72.1,75.3,73.9,77.2,72.4,76.3,74.7,47.4,48.4,48.8,50.9,44.1,49.0,48.1,33.8,34.3,35.6,38.4,31.5,36.7,35.6
E14000601,25.8,28.8,26.3,26.2,24.8,21.8,21.8,19.7,20.6,21.3,20.7,18.0,16.0,17.0,11.9,11.4,12.4,11.6,9.1,9.2,9.6,7.9,7.3,8.7,7.1,5.1,4.8,5.7,81.1,83.3,81.5,84.8,79.4,83.0,80.8,72.1,75.3,73.9,77.2,72.4,76.3,74.7,47.4,48.4,48.8,50.9,44.1,49.0,48.1,33.8,34.3,35.6,38.4,31.5,36.7,35.6
E14000602,25.8,28.8,26.3,26.2,24.8,21.8,21.8,19.7,20.6,21.3,20.7,18.0,16.0,17.0,11.9,11.4,12.4,11.6,9.1,9.2,9.6,7.9,7.3,8.7,7.1,5.1,4.8,5.7,81.1,83.3,81.5,84.8,79.4,83.0,80.8,72.1,75.3,73.9,77.2,72.4,76.3,74.7,47.4,48.4,48.8,50.9,44.1,49.0,48.1,33.8,34.3,35.6,38.4,31.5,36.7,35.6
E14000603,21.2,21.8,20.0,18.5,20.6,16.1,13.1,12.8,13.5,11.7,12.2,16.0,11.2,8.5,4.8,1.1,5.7,6.6,6.2,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.4,81.2,78.3,77.2,80.4,78.4,78.8,68.2,72.3,71.7,69.2,73.9,71.6,70.3,37.8,44.0,43.3,40.0,47.8,46.9,42.1,25.8,29.9,31.0,29.6,39.4,35.6,28.1
E14000604,12.9,11.6,15.0,9.1,14.8,10.7,13.2,9.9,6.8,10.9,0.0,11.9,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.2,85.4,82.4,85.2,78.0,84.7,81.6,74.6,78.5,75.1,79.3,70.5,75.8,76.1,48.2,52.7,50.5,54.2,46.8,50.3,44.7,36.6,40.3,38.3,41.8,31.7,35.6,30.5
E14000605,10.1,13.2,14.1,11.2,12.4,8.8,9.4,7.5,8.9,10.0,7.9,10.2,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.7,77.5,75.7,84.2,76.7,81.2,81.4,67.1,64.4,65.8,74.3,68.9,72.6,70.8,42.1,39.7,37.2,42.5,42.7,44.4,42.5,31.2,27.8,27.6,29.4,29.2,33.9,31.5
E14000606,19.4,15.0,12.5,12.1,16.8,11.5,10.6,13.9,8.8,8.3,7.8,11.2,1.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,77.2,75.1,79.4,69.5,76.2,75.2,65.6,68.1,62.1,69.6,61.8,66.5,66.4,38.2,39.0,36.7,40.8,37.4,38.7,38.9,26.3,28.0,26.7,29.1,25.8,26.9,26.3
E14000607,20.5,21.0,21.0,21.0,18.0,11.7,12.4,16.1,14.8,14.7,14.5,14.7,9.5,10.2,8.6,0.0,0.0,7.7,6.6,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,77.2,82.1,80.5,82.5,81.3,84.3,80.0,68.8,73.7,71.9,74.5,73.9,75.1,71.6,41.9,45.9,42.6,43.3,45.4,51.0,45.8,28.8,33.0,33.4,29.9,31.9,37.3,31.9
E14000608,16.8,20.6,15.7,17.6,16.6,11.7,12.9,10.9,13.4,9.8,11.4,11.5,8.5,8.1,4.6,5.2,5.0,4.9,5.1,0.0,0.0,2.5,2.2,3.1,2.0,2.6,0.0,0.0,79.8,83.4,79.9,82.8,81.6,81.9,79.1,70.3,72.4,70.4,73.3,71.7,76.0,71.6,41.9,42.8,43.5,45.1,43.1,43.5,42.8,30.6,31.9,28.4,33.4,31.6,31.6,29.7
E14000609,8.1,11.0,7.3,11.0,10.4,0.0,6.9,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.6,77.1,71.1,73.8,68.4,73.3,71.1,64.0,65.3,60.1,64.1,60.0,64.3,63.8,32.4,40.9,32.2,37.5,34.8,39.0,36.1,24.3,29.6,23.7,28.1,23.5,28.7,24.7
E14000610,19.9,13.5,24.0,12.9,13.7,8.5,12.7,16.5,9.6,17.9,8.5,10.4,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.9,73.9,77.6,75.2,75.8,73.3,75.8,64.3,64.4,67.8,66.8,66.9,64.6,69.8,40.5,37.5,42.9,39.1,42.6,39.3,39.9,30.5,24.7,32.2,28.2,31.2,28.7,28.4
E14000611,12.5,12.5,10.6,13.8,9.7,7.5,8.9,10.0,8.2,8.6,8.9,7.2,4.1,4.7,3.8,0.0,4.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4,76.2,76.1,79.1,76.9,76.5,75.5,64.8,66.4,66.9,67.7,67.2,68.9,67.9,38.4,40.9,37.8,39.0,41.7,41.0,40.7,25.9,28.9,28.1,28.4,31.8,28.6,28.0
E14000612,12.5,12.5,10.6,13.8,9.7,7.5,8.9,10.0,8.2,8.6,8.9,7.2,4.1,4.7,3.8,0.0,4.5,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.4,76.2,76.1,79.1,76.9,76.5,75.5,64.8,66.4,66.9,67.7,67.2,68.9,67.9,38.4,40.9,37.8,39.0,41.7,41.0,40.7,25.9,28.9,28.1,28.4,31.8,28.6,28.0
E14000613,22.4,18.9,20.6,18.8,21.6,12.2,13.2,16.6,14.1,13.2,13.8,15.2,8.7,7.7,7.6,2.1,2.6,2.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,79.4,79.3,83.8,79.5,75.8,81.4,64.9,69.5,67.1,73.3,70.3,68.5,73.2,39.7,39.7,41.8,44.6,48.3,45.9,44.7,29.2,29.7,30.8,34.3,38.1,33.1,33.0
E14000614,10.6,11.6,11.1,13.6,13.5,9.1,7.0,0.0,8.2,7.3,8.7,8.6,5.8,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.6,73.4,79.7,79.2,75.5,74.5,73.2,62.5,63.7,71.1,70.7,65.9,66.4,64.1,38.9,40.4,45.4,43.1,40.9,38.8,36.6,26.5,30.1,35.3,27.0,29.8,28.4,28.2
E14000615,26.3,26.9,29.9,25.2,28.1,27.4,28.8,21.8,21.0,25.8,21.9,21.0,19.5,24.5,15.7,13.0,19.1,13.8,11.2,8.8,13.9,12.3,8.1,12.9,10.2,8.0,5.7,8.2,82.4,81.6,81.4,82.7,82.2,83.4,76.5,75.7,75.1,72.9,77.1,76.1,76.2,72.5,55.1,53.2,48.9,54.1,50.0,48.6,49.4,41.3,42.9,38.7,41.9,38.8,36.5,38.3
E14000616,16.5,13.8,12.8,14.7,12.0,12.8,15.3,9.1,9.7,9.5,9.6,8.6,9.8,9.1,2.9,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,79.7,78.5,83.8,78.0,86.5,81.7,71.8,69.9,71.0,76.4,70.8,75.4,74.0,46.6,41.4,46.3,49.6,46.5,51.2,48.4,36.2,30.4,34.8,36.1,32.5,36.9,39.6
E14000617,63.2,60.7,63.7,60.3,51.2,49.9,55.9,56.9,54.2,57.5,55.2,44.8,42.6,49.8,40.2,36.9,40.9,40.3,28.7,22.6,28.9,31.6,28.9,30.6,29.4,19.9,15.4,19.6,87.9,83.8,88.7,85.9,80.7,87.9,77.7,77.5,75.8,82.4,78.2,72.5,81.2,73.0,50.0,50.4,52.9,52.9,48.3,50.4,47.5,36.1,36.2,39.7,39.1,32.8,35.5,32.8
E14000618,9.9,8.1,14.2,11.8,12.7,8.9,9.5,7.4,6.0,10.1,7.3,9.5,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,69.2,74.2,75.2,73.1,74.6,74.5,65.4,60.4,59.9,60.2,64.3,68.6,65.6,36.8,36.8,33.4,33.2,38.9,39.3,35.7,28.4,27.9,22.3,23.0,26.4,33.1,24.7
E14000619,19.0,18.0,16.8,22.4,19.9,13.9,12.1,14.3,13.4,13.7,16.4,12.5,9.4,8.3,0.0,5.5,6.7,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.1,87.1,86.0,80.8,83.1,80.8,82.0,70.0,79.9,75.9,74.6,77.4,74.7,75.0,43.7,55.7,54.2,47.9,44.2,46.2,53.3,30.7,44.7,39.4,35.6,32.1,36.2,39.3
E14000620,16.3,19.0,15.3,16.8,14.9,12.1,10.6,11.6,14.2,9.6,11.3,8.7,8.2,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.9,80.2,77.5,78.6,74.6,80.7,76.7,67.4,71.9,69.0,67.7,66.6,71.8,71.4,40.5,45.4,45.0,39.1,45.2,46.7,45.0,30.2,32.8,37.4,28.4,34.4,34.2,33.0
E14000621,16.0,8.4,10.8,12.2,14.8,7.9,13.5,8.8,0.0,0.0,7.4,11.4,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.5,80.1,76.7,80.8,73.5,73.6,75.4,70.5,67.0,68.9,73.3,65.6,67.4,69.1,44.1,45.4,40.4,46.3,39.9,40.4,39.4,32.9,35.1,31.4,35.7,30.6,33.1,26.5
E14000622,18.3,12.4,15.3,12.5,13.8,11.4,9.4,12.7,8.6,10.4,8.2,10.5,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.5,74.2,76.8,81.4,76.8,76.0,76.7,61.4,64.3,68.7,73.4,68.9,66.5,70.0,41.5,36.9,43.8,45.8,38.6,41.8,45.5,33.6,28.0,33.3,30.5,29.1,31.6,34.0
E14000623,20.2,18.9,17.4,18.7,17.5,14.4,13.1,12.6,12.2,11.0,10.2,11.4,9.0,3.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.8,84.3,82.3,85.4,81.5,82.4,83.7,71.3,72.9,74.3,76.1,74.7,74.0,76.7,45.8,46.9,46.2,49.2,47.8,49.1,48.4,34.5,36.0,34.3,34.0,36.6,35.0,36.8
E14000624,24.2,19.6,21.0,19.0,19.1,14.2,15.9,17.6,14.8,13.9,14.3,14.8,10.6,10.5,6.5,3.9,3.9,3.7,5.8,0.0,0.0,1.5,1.2,1.3,1.4,0.0,0.0,0.0,78.9,80.0,79.5,81.7,78.6,76.6,82.5,68.0,70.4,68.3,72.7,70.1,69.6,72.8,41.9,41.7,43.4,44.8,48.3,44.7,44.2,30.1,30.0,32.0,33.4,35.8,32.6,32.5
E14000625,21.5,22.3,15.6,17.6,17.4,13.5,11.9,13.9,14.8,11.7,13.7,11.6,9.1,8.2,6.8,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.5,75.1,76.6,83.2,77.5,83.9,78.8,75.7,67.3,67.5,74.8,70.1,76.4,69.2,40.9,36.3,39.6,45.9,48.1,49.1,46.6,31.6,25.8,29.3,35.5,37.4,35.6,33.4
E14000626,12.9,13.0,12.4,12.9,15.8,7.8,10.9,8.0,8.5,5.5,7.9,11.3,5.7,4.7,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.2,79.6,80.3,80.6,73.5,80.1,76.3,69.0,69.9,69.1,70.6,64.9,71.2,66.7,41.2,43.8,41.7,43.6,41.3,39.0,37.4,31.2,30.3,31.1,30.8,31.0,27.6,26.9
E14000627,14.8,17.4,15.1,15.0,15.1,12.2,13.8,11.1,11.5,10.2,9.2,11.7,8.6,8.1,5.3,5.4,5.0,4.8,4.0,3.6,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,81.6,78.8,77.9,74.7,80.7,78.0,73.5,72.1,68.7,71.0,66.6,72.3,70.6,42.5,43.9,41.6,43.1,43.0,41.2,42.4,29.4,32.3,32.1,29.7,33.4,30.6,31.2
E14000628,25.1,17.7,20.2,14.0,19.6,12.0,17.7,16.4,13.6,14.4,10.3,16.0,8.0,11.2,7.4,7.0,7.3,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9,79.2,76.0,84.4,82.6,80.6,80.3,62.7,72.4,66.4,76.2,75.0,71.2,73.6,41.1,39.4,39.3,47.3,48.2,38.4,44.9,31.3,26.4,26.9,34.2,30.3,26.5,29.8
E14000629,29.5,24.2,22.3,24.5,25.3,26.0,25.6,21.3,17.8,18.2,15.6,20.0,20.9,18.7,12.4,11.0,11.2,9.0,11.3,10.3,9.4,6.4,5.2,4.9,3.4,4.5,0.0,5.2,84.0,81.9,81.1,87.1,82.6,84.2,82.7,77.4,76.8,74.3,81.5,76.9,79.2,78.5,56.3,55.1,52.3,59.9,53.6,57.1,55.9,46.7,42.2,42.6,47.7,39.4,43.5,45.7
E14000630,26.1,21.5,18.7,23.1,20.3,15.9,17.5,19.6,17.1,13.5,19.1,13.9,11.1,10.7,11.6,9.3,8.0,11.5,6.5,0.0,0.0,8.6,7.0,5.6,8.9,0.0,0.0,0.0,86.2,84.2,83.3,83.3,80.1,83.5,81.8,74.7,75.4,74.4,72.0,73.7,78.2,74.4,44.8,51.0,47.1,44.7,46.4,50.8,46.8,34.0,37.5,38.2,33.5,29.6,37.0,26.8
E14000631,16.8,20.6,15.7,17.6,16.6,11.7,12.9,10.9,13.4,9.8,11.4,11.5,8.5,8.1,4.6,5.2,5.0,4.9,5.1,0.0,0.0,2.5,2.2,3.1,2.0,2.6,0.0,0.0,79.8,83.4,79.9,82.8,81.6,81.9,79.1,70.3,72.4,70.4,73.3,71.7,76.0,71.6,41.9,42.8,43.5,45.1,43.1,43.5,42.8,30.6,31.9,28.4,33.4,31.6,31.6,29.7
E14000632,14.7,11.4,10.5,11.5,17.8,8.5,9.6,10.5,8.1,5.8,7.1,10.9,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.9,78.0,85.1,77.6,81.0,77.1,77.9,66.2,71.4,72.8,68.0,75.1,68.9,65.8,40.5,44.3,39.6,41.3,48.5,40.3,39.7,29.9,30.6,29.5,29.4,29.4,31.2,28.6
E14000633,30.3,27.2,23.4,23.8,19.2,19.9,19.2,20.4,15.6,18.1,19.0,14.7,14.8,13.1,7.5,6.1,7.6,9.9,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.7,86.0,82.4,84.7,78.4,86.1,80.2,73.2,73.7,75.6,76.1,71.7,79.4,73.1,48.0,46.5,50.3,50.0,45.9,53.8,45.7,34.8,35.6,41.2,35.2,34.8,41.6,36.1
E14000634,17.8,17.9,14.6,18.0,21.7,17.6,16.5,13.6,13.3,11.1,12.8,14.5,9.7,12.1,7.0,6.5,4.9,6.0,6.9,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3,82.8,77.1,78.9,69.8,74.9,74.3,71.0,77.4,71.7,73.0,62.3,69.3,68.0,49.3,51.9,49.1,49.6,39.4,37.3,44.1,37.1,41.5,36.1,37.3,29.1,23.6,32.8
E14000635,19.7,20.4,16.0,17.2,17.1,18.9,15.1,15.5,13.1,10.1,11.9,11.1,10.8,11.5,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.6,80.6,81.4,85.7,81.3,80.7,79.2,72.5,72.0,69.9,75.7,74.9,73.6,72.5,43.3,44.1,44.9,46.4,47.8,48.0,46.4,32.2,34.1,31.9,37.5,37.1,36.0,35.8
E14000636,10.7,11.7,7.2,12.7,10.2,10.9,11.4,7.6,8.0,0.0,9.5,7.1,7.5,7.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,75.6,80.3,76.4,72.9,76.2,74.5,69.2,67.3,71.5,69.3,66.7,68.3,66.3,41.7,46.5,44.6,46.1,42.0,44.3,44.6,30.1,32.9,30.1,33.5,29.4,31.1,32.2
E14000637,19.3,17.8,15.7,14.9,17.7,10.1,10.4,13.2,13.1,10.7,11.1,13.8,6.6,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.3,79.2,77.0,79.4,81.6,78.9,72.3,69.6,71.0,65.6,69.8,72.0,70.7,66.3,40.6,40.3,38.7,43.6,45.2,42.1,40.6,29.4,27.0,28.0,33.2,33.2,29.9,31.2
E14000638,20.9,20.9,17.5,18.8,17.6,20.0,17.6,15.1,13.9,13.0,12.8,14.4,13.5,12.8,8.1,6.2,6.4,6.8,0.0,0.0,5.0,5.0,3.9,3.1,4.4,0.0,0.0,0.0,78.0,83.5,82.0,82.7,75.1,82.1,80.2,68.1,72.7,71.9,73.5,68.5,73.7,73.3,39.1,44.5,45.8,46.6,44.6,44.1,51.3,26.7,30.4,32.8,35.3,36.3,32.5,36.8
E14000639,19.8,22.7,18.4,23.8,18.4,23.2,18.3,14.0,16.4,11.9,17.6,13.6,16.0,14.5,5.0,8.1,6.6,9.2,8.4,5.5,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,82.2,84.1,88.3,73.8,79.9,82.5,72.4,77.6,79.3,82.4,68.0,74.4,78.8,50.9,52.8,60.8,59.6,46.0,48.0,55.3,41.4,43.0,50.4,48.0,34.0,34.0,43.4
E14000640,19.3,17.5,16.8,14.2,15.4,12.6,12.1,11.5,12.6,13.0,8.7,10.3,9.7,8.9,4.3,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.1,79.4,81.5,79.1,75.2,80.5,75.1,68.3,73.2,74.6,69.0,67.1,74.0,66.6,42.1,44.4,41.6,43.2,41.7,48.3,41.3,31.0,32.9,30.4,27.6,33.0,32.7,30.5
E14000641,13.8,13.5,10.8,10.0,9.6,10.1,8.0,10.7,10.3,8.6,7.0,6.6,0.0,6.2,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.7,80.6,77.1,77.8,75.2,74.8,71.3,65.6,71.3,69.1,71.9,65.8,66.8,64.8,39.2,46.6,46.1,39.8,41.8,39.3,39.2,31.6,34.7,29.0,32.3,31.2,30.6,30.8
E14000642,12.9,19.4,13.6,14.1,13.3,11.7,9.7,10.2,13.7,9.4,10.5,8.5,6.1,7.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.2,77.4,76.1,79.0,74.6,74.3,75.2,63.5,68.3,65.1,69.8,67.2,65.7,67.1,39.2,44.4,38.4,41.5,44.9,38.0,39.0,26.5,33.5,26.8,30.7,33.9,29.4,28.7
