ONSConstID,ConstituencyName,RegNationID,RegNationName,NatComparator,con_pc→European Union,con_pc→Rest of world,con_pc→UK,rn_pc→European Union,rn_pc→Rest of world,rn_pc→UK,uk_pc→European Union,uk_pc→Rest of world,uk_pc→UK
E14001274,Hastings & Rye,E12000008,South East,England & Wales,0.048,0.06,0.892,0.06,0.097,0.842,0.06,0.101,0.84
E14001275,Havant,E12000008,South East,England & Wales,0.029,0.036,0.934,0.06,0.097,0.842,0.06,0.101,0.84
E14001276,Hayes & Harlington,E12000007,London,England & Wales,0.091,0.393,0.516,0.128,0.279,0.594,0.06,0.101,0.84
E14001277,Hazel Grove,E12000002,North West,England & Wales,0.02,0.034,0.946,0.041,0.075,0.883,0.06,0.101,0.84
E14001278,Hemel Hempstead,E12000006,East of England,England & Wales,0.072,0.095,0.833,0.066,0.083,0.851,0.06,0.101,0.84
E14001279,Hendon,E12000007,London,England & Wales,0.171,0.326,0.504,0.128,0.279,0.594,0.06,0.101,0.84
E14001280,Henley & Thame,E12000008,South East,England & Wales,0.048,0.067,0.885,0.06,0.097,0.842,0.06,0.101,0.84
E14001281,Hereford & South Herefordshire,E12000005,West Midlands,England & Wales,0.068,0.035,0.897,0.051,0.101,0.848,0.06,0.101,0.84
E14001282,Herne Bay & Sandwich,E12000008,South East,England & Wales,0.028,0.036,0.936,0.06,0.097,0.842,0.06,0.101,0.84
E14001283,Hertford & Stortford,E12000006,East of England,England & Wales,0.065,0.062,0.873,0.066,0.083,0.851,0.06,0.101,0.84
E14001284,Hertsmere,E12000006,East of England,England & Wales,0.091,0.132,0.777,0.066,0.083,0.851,0.06,0.101,0.84
E14001285,Hexham,E12000001,North East,England & Wales,0.016,0.027,0.957,0.023,0.044,0.932,0.06,0.101,0.84
E14001286,Heywood & Middleton North,E12000002,North West,England & Wales,0.047,0.079,0.874,0.041,0.075,0.883,0.06,0.101,0.84
E14001287,High Peak,E12000004,East Midlands,England & Wales,0.021,0.021,0.958,0.058,0.08,0.863,0.06,0.101,0.84
E14001288,Hinckley & Bosworth,E12000004,East Midlands,England & Wales,0.033,0.028,0.939,0.058,0.08,0.863,0.06,0.101,0.84
E14001289,Hitchin,E12000006,East of England,England & Wales,0.039,0.064,0.897,0.066,0.083,0.851,0.06,0.101,0.84
E14001290,Holborn & St Pancras,E12000007,London,England & Wales,0.138,0.31,0.552,0.128,0.279,0.594,0.06,0.101,0.84
E14001291,Honiton & Sidmouth,E12000009,South West,England & Wales,0.029,0.034,0.937,0.046,0.056,0.898,0.06,0.101,0.84
E14001292,Hornchurch & Upminster,E12000007,London,England & Wales,0.059,0.104,0.837,0.128,0.279,0.594,0.06,0.101,0.84
E14001293,Hornsey & Friern Barnet,E12000007,London,England & Wales,0.152,0.211,0.638,0.128,0.279,0.594,0.06,0.101,0.84
E14001294,Horsham,E12000008,South East,England & Wales,0.045,0.071,0.884,0.06,0.097,0.842,0.06,0.101,0.84
E14001295,Houghton & Sunderland South,E12000001,North East,England & Wales,0.012,0.015,0.973,0.023,0.044,0.932,0.06,0.101,0.84
E14001296,Hove & Portslade,E12000008,South East,England & Wales,0.085,0.113,0.802,0.06,0.097,0.842,0.06,0.101,0.84
E14001297,Huddersfield,E12000003,Yorkshire and The Humber,England & Wales,0.047,0.155,0.798,0.044,0.07,0.886,0.06,0.101,0.84
E14001298,Huntingdon,E12000006,East of England,England & Wales,0.068,0.076,0.856,0.066,0.083,0.851,0.06,0.101,0.84
E14001299,Hyndburn,E12000002,North West,England & Wales,0.028,0.062,0.909,0.041,0.075,0.883,0.06,0.101,0.84
E14001300,Ilford North,E12000007,London,England & Wales,0.104,0.342,0.554,0.128,0.279,0.594,0.06,0.101,0.84
E14001301,Ilford South,E12000007,London,England & Wales,0.106,0.394,0.5,0.128,0.279,0.594,0.06,0.101,0.84
E14001302,Ipswich,E12000006,East of England,England & Wales,0.104,0.088,0.808,0.066,0.083,0.851,0.06,0.101,0.84
E14001303,Isle of Wight East,E12000008,South East,England & Wales,0.03,0.031,0.939,0.06,0.097,0.842,0.06,0.101,0.84
E14001304,Isle of Wight West,E12000008,South East,England & Wales,0.026,0.035,0.939,0.06,0.097,0.842,0.06,0.101,0.84
E14001305,Islington North,E12000007,London,England & Wales,0.143,0.238,0.619,0.128,0.279,0.594,0.06,0.101,0.84
E14001306,Islington South & Finsbury,E12000007,London,England & Wales,0.145,0.271,0.584,0.128,0.279,0.594,0.06,0.101,0.84
E14001307,Jarrow & Gateshead East,E12000001,North East,England & Wales,0.017,0.027,0.956,0.023,0.044,0.932,0.06,0.101,0.84
E14001308,Keighley & Ilkley,E12000003,Yorkshire and The Humber,England & Wales,0.029,0.072,0.899,0.044,0.07,0.886,0.06,0.101,0.84
E14001309,Kenilworth & Southam,E12000005,West Midlands,England & Wales,0.035,0.052,0.912,0.051,0.101,0.848,0.06,0.101,0.84
E14001310,Kensington & Bayswater,E12000007,London,England & Wales,0.196,0.361,0.443,0.128,0.279,0.594,0.06,0.101,0.84
E14001311,Kettering,E12000004,East Midlands,England & Wales,0.071,0.068,0.861,0.058,0.08,0.863,0.06,0.101,0.84
E14001312,Kingston & Surbiton,E12000007,London,England & Wales,0.105,0.216,0.679,0.128,0.279,0.594,0.06,0.101,0.84
E14001313,Kingston upon Hull East,E12000003,Yorkshire and The Humber,England & Wales,0.044,0.023,0.934,0.044,0.07,0.886,0.06,0.101,0.84
E14001314,Kingston upon Hull North & Cottingham,E12000003,Yorkshire and The Humber,England & Wales,0.094,0.066,0.84,0.044,0.07,0.886,0.06,0.101,0.84
E14001315,Kingston upon Hull West & Haltemprice,E12000003,Yorkshire and The Humber,England & Wales,0.066,0.052,0.882,0.044,0.07,0.886,0.06,0.101,0.84
E14001316,Kingswinford & South Staffordshire,E12000005,West Midlands,England & Wales,0.011,0.02,0.968,0.051,0.101,0.848,0.06,0.101,0.84
E14001317,Knowsley,E12000002,North West,England & Wales,0.026,0.026,0.948,0.041,0.075,0.883,0.06,0.101,0.84
E14001318,Lancaster & Wyre,E12000002,North West,England & Wales,0.043,0.062,0.894,0.041,0.075,0.883,0.06,0.101,0.84
E14001319,Leeds Central & Headingley,E12000003,Yorkshire and The Humber,England & Wales,0.058,0.175,0.767,0.044,0.07,0.886,0.06,0.101,0.84
E14001320,Leeds East,E12000003,Yorkshire and The Humber,England & Wales,0.062,0.117,0.822,0.044,0.07,0.886,0.06,0.101,0.84
E14001321,Leeds North East,E12000003,Yorkshire and The Humber,England & Wales,0.049,0.158,0.793,0.044,0.07,0.886,0.06,0.101,0.84
E14001322,Leeds North West,E12000003,Yorkshire and The Humber,England & Wales,0.024,0.046,0.93,0.044,0.07,0.886,0.06,0.101,0.84
E14001323,Leeds South,E12000003,Yorkshire and The Humber,England & Wales,0.099,0.17,0.731,0.044,0.07,0.886,0.06,0.101,0.84
E14001324,Leeds South West & Morley,E12000003,Yorkshire and The Humber,England & Wales,0.032,0.044,0.923,0.044,0.07,0.886,0.06,0.101,0.84
E14001325,Leeds West & Pudsey,E12000003,Yorkshire and The Humber,England & Wales,0.051,0.073,0.876,0.044,0.07,0.886,0.06,0.101,0.84
E14001326,Leicester East,E12000004,East Midlands,England & Wales,0.045,0.46,0.495,0.058,0.08,0.863,0.06,0.101,0.84
E14001327,Leicester South,E12000004,East Midlands,England & Wales,0.083,0.317,0.6,0.058,0.08,0.863,0.06,0.101,0.84
E14001328,Leicester West,E12000004,East Midlands,England & Wales,0.131,0.197,0.672,0.058,0.08,0.863,0.06,0.101,0.84
E14001329,Leigh & Atherton,E12000002,North West,England & Wales,0.034,0.036,0.93,0.041,0.075,0.883,0.06,0.101,0.84
E14001330,Lewes,E12000008,South East,England & Wales,0.034,0.047,0.919,0.06,0.097,0.842,0.06,0.101,0.84
E14001331,Lewisham East,E12000007,London,England & Wales,0.107,0.244,0.648,0.128,0.279,0.594,0.06,0.101,0.84
E14001332,Lewisham North,E12000007,London,England & Wales,0.123,0.275,0.602,0.128,0.279,0.594,0.06,0.101,0.84
E14001333,Lewisham West & East Dulwich,E12000007,London,England & Wales,0.092,0.189,0.719,0.128,0.279,0.594,0.06,0.101,0.84
E14001334,Leyton & Wanstead,E12000007,London,England & Wales,0.156,0.254,0.59,0.128,0.279,0.594,0.06,0.101,0.84
E14001335,Lichfield,E12000005,West Midlands,England & Wales,0.022,0.021,0.957,0.051,0.101,0.848,0.06,0.101,0.84
E14001336,Lincoln,E12000004,East Midlands,England & Wales,0.088,0.052,0.859,0.058,0.08,0.863,0.06,0.101,0.84
E14001337,Liverpool Garston,E12000002,North West,England & Wales,0.034,0.046,0.92,0.041,0.075,0.883,0.06,0.101,0.84
E14001338,Liverpool Riverside,E12000002,North West,England & Wales,0.075,0.168,0.757,0.041,0.075,0.883,0.06,0.101,0.84
E14001339,Liverpool Walton,E12000002,North West,England & Wales,0.044,0.05,0.906,0.041,0.075,0.883,0.06,0.101,0.84
E14001340,Liverpool Wavertree,E12000002,North West,England & Wales,0.059,0.12,0.821,0.041,0.075,0.883,0.06,0.101,0.84
E14001341,Liverpool West Derby,E12000002,North West,England & Wales,0.036,0.064,0.901,0.041,0.075,0.883,0.06,0.101,0.84
E14001342,Loughborough,E12000004,East Midlands,England & Wales,0.054,0.098,0.848,0.058,0.08,0.863,0.06,0.101,0.84
E14001343,Louth & Horncastle,E12000004,East Midlands,England & Wales,0.019,0.019,0.962,0.058,0.08,0.863,0.06,0.101,0.84
E14001344,Lowestoft,E12000006,East of England,England & Wales,0.021,0.023,0.955,0.066,0.083,0.851,0.06,0.101,0.84
E14001345,Luton North,E12000006,East of England,England & Wales,0.094,0.238,0.668,0.066,0.083,0.851,0.06,0.101,0.84
E14001346,Luton South & South Bedfordshire,E12000006,East of England,England & Wales,0.158,0.241,0.601,0.066,0.083,0.851,0.06,0.101,0.84
E14001347,Macclesfield,E12000002,North West,England & Wales,0.028,0.039,0.933,0.041,0.075,0.883,0.06,0.101,0.84
E14001348,Maidenhead,E12000008,South East,England & Wales,0.071,0.134,0.796,0.06,0.097,0.842,0.06,0.101,0.84
E14001349,Maidstone & Malling,E12000008,South East,England & Wales,0.074,0.095,0.831,0.06,0.097,0.842,0.06,0.101,0.84
E14001350,Makerfield,E12000002,North West,England & Wales,0.021,0.021,0.958,0.041,0.075,0.883,0.06,0.101,0.84
E14001351,Maldon,E12000006,East of England,England & Wales,0.022,0.029,0.949,0.066,0.083,0.851,0.06,0.101,0.84
E14001352,Manchester Central,E12000002,North West,England & Wales,0.088,0.232,0.679,0.041,0.075,0.883,0.06,0.101,0.84
E14001353,Manchester Rusholme,E12000002,North West,England & Wales,0.081,0.318,0.601,0.041,0.075,0.883,0.06,0.101,0.84
E14001354,Manchester Withington,E12000002,North West,England & Wales,0.064,0.142,0.794,0.041,0.075,0.883,0.06,0.101,0.84
E14001355,Mansfield,E12000004,East Midlands,England & Wales,0.078,0.03,0.893,0.058,0.08,0.863,0.06,0.101,0.84
E14001356,Melksham & Devizes,E12000009,South West,England & Wales,0.036,0.039,0.925,0.046,0.056,0.898,0.06,0.101,0.84
E14001357,Melton & Syston,E12000004,East Midlands,England & Wales,0.032,0.055,0.913,0.058,0.08,0.863,0.06,0.101,0.84
E14001358,Meriden & Solihull East,E12000005,West Midlands,England & Wales,0.029,0.06,0.911,0.051,0.101,0.848,0.06,0.101,0.84
E14001359,Mid Bedfordshire,E12000006,East of England,England & Wales,0.041,0.058,0.901,0.066,0.083,0.851,0.06,0.101,0.84
E14001360,Mid Buckinghamshire,E12000008,South East,England & Wales,0.037,0.067,0.896,0.06,0.097,0.842,0.06,0.101,0.84
E14001361,Mid Cheshire,E12000002,North West,England & Wales,0.032,0.031,0.938,0.041,0.075,0.883,0.06,0.101,0.84
E14001362,Mid Derbyshire,E12000004,East Midlands,England & Wales,0.022,0.027,0.951,0.058,0.08,0.863,0.06,0.101,0.84
E14001363,Mid Dorset & North Poole,E12000009,South West,England & Wales,0.029,0.034,0.937,0.046,0.056,0.898,0.06,0.101,0.84
E14001364,Mid Leicestershire,E12000004,East Midlands,England & Wales,0.035,0.08,0.885,0.058,0.08,0.863,0.06,0.101,0.84
E14001365,Mid Norfolk,E12000006,East of England,England & Wales,0.046,0.03,0.924,0.066,0.083,0.851,0.06,0.101,0.84
E14001366,Mid Sussex,E12000008,South East,England & Wales,0.045,0.076,0.88,0.06,0.097,0.842,0.06,0.101,0.84
E14001367,Middlesbrough & Thornaby East,E12000001,North East,England & Wales,0.038,0.114,0.848,0.023,0.044,0.932,0.06,0.101,0.84
E14001368,Middlesbrough South & East Cleveland,E12000001,North East,England & Wales,0.012,0.02,0.968,0.023,0.044,0.932,0.06,0.101,0.84
E14001369,Milton Keynes Central,E12000008,South East,England & Wales,0.11,0.214,0.677,0.06,0.097,0.842,0.06,0.101,0.84
E14001370,Milton Keynes North,E12000008,South East,England & Wales,0.067,0.118,0.815,0.06,0.097,0.842,0.06,0.101,0.84
E14001371,Mitcham & Morden,E12000007,London,England & Wales,0.147,0.28,0.573,0.128,0.279,0.594,0.06,0.101,0.84
E14001372,Morecambe & Lunesdale,E12000002,North West,England & Wales,0.031,0.022,0.947,0.041,0.075,0.883,0.06,0.101,0.84
E14001373,New Forest East,E12000008,South East,England & Wales,0.026,0.036,0.939,0.06,0.097,0.842,0.06,0.101,0.84
E14001374,New Forest West,E12000008,South East,England & Wales,0.034,0.043,0.923,0.06,0.097,0.842,0.06,0.101,0.84
E14001375,Newark,E12000004,East Midlands,England & Wales,0.051,0.027,0.923,0.058,0.08,0.863,0.06,0.101,0.84
E14001376,Newbury,E12000008,South East,England & Wales,0.055,0.071,0.874,0.06,0.097,0.842,0.06,0.101,0.84
E14001377,Newcastle upon Tyne Central & West,E12000001,North East,England & Wales,0.064,0.161,0.775,0.023,0.044,0.932,0.06,0.101,0.84
E14001378,Newcastle upon Tyne East & Wallsend,E12000001,North East,England & Wales,0.043,0.075,0.882,0.023,0.044,0.932,0.06,0.101,0.84
E14001379,Newcastle upon Tyne North,E12000001,North East,England & Wales,0.033,0.087,0.88,0.023,0.044,0.932,0.06,0.101,0.84
E14001380,Newcastle-under-Lyme,E12000005,West Midlands,England & Wales,0.03,0.049,0.92,0.051,0.101,0.848,0.06,0.101,0.84
E14001381,Newton Abbot,E12000009,South West,England & Wales,0.024,0.027,0.949,0.046,0.056,0.898,0.06,0.101,0.84
E14001382,Newton Aycliffe & Spennymoor,E12000001,North East,England & Wales,0.018,0.018,0.964,0.023,0.044,0.932,0.06,0.101,0.84
E14001383,Normanton & Hemsworth,E12000003,Yorkshire and The Humber,England & Wales,0.048,0.018,0.935,0.044,0.07,0.886,0.06,0.101,0.84
E14001384,North Bedfordshire,E12000006,East of England,England & Wales,0.043,0.055,0.902,0.066,0.083,0.851,0.06,0.101,0.84
E14001385,North Cornwall,E12000009,South West,England & Wales,0.029,0.023,0.948,0.046,0.056,0.898,0.06,0.101,0.84
E14001386,North Cotswolds,E12000009,South West,England & Wales,0.037,0.048,0.915,0.046,0.056,0.898,0.06,0.101,0.84
E14001387,North Devon,E12000009,South West,England & Wales,0.024,0.031,0.945,0.046,0.056,0.898,0.06,0.101,0.84
E14001388,North Dorset,E12000009,South West,England & Wales,0.034,0.037,0.929,0.046,0.056,0.898,0.06,0.101,0.84
E14001389,North Durham,E12000001,North East,England & Wales,0.013,0.018,0.969,0.023,0.044,0.932,0.06,0.101,0.84
E14001390,North East Cambridgeshire,E12000006,East of England,England & Wales,0.096,0.029,0.875,0.066,0.083,0.851,0.06,0.101,0.84
E14001391,North East Derbyshire,E12000004,East Midlands,England & Wales,0.015,0.017,0.968,0.058,0.08,0.863,0.06,0.101,0.84
E14001392,North East Hampshire,E12000008,South East,England & Wales,0.042,0.069,0.889,0.06,0.097,0.842,0.06,0.101,0.84
E14001393,North East Hertfordshire,E12000006,East of England,England & Wales,0.038,0.056,0.906,0.066,0.083,0.851,0.06,0.101,0.84
E14001394,North East Somerset & Hanham,E12000009,South West,England & Wales,0.027,0.031,0.943,0.046,0.056,0.898,0.06,0.101,0.84
E14001395,North Herefordshire,E12000005,West Midlands,England & Wales,0.039,0.028,0.933,0.051,0.101,0.848,0.06,0.101,0.84
E14001396,North Norfolk,E12000006,East of England,England & Wales,0.022,0.023,0.956,0.066,0.083,0.851,0.06,0.101,0.84
E14001397,North Northumberland,E12000001,North East,England & Wales,0.018,0.02,0.962,0.023,0.044,0.932,0.06,0.101,0.84
E14001398,North Shropshire,E12000005,West Midlands,England & Wales,0.037,0.025,0.939,0.051,0.101,0.848,0.06,0.101,0.84
E14001399,North Somerset,E12000009,South West,England & Wales,0.034,0.038,0.928,0.046,0.056,0.898,0.06,0.101,0.84
E14001400,North Warwickshire & Bedworth,E12000005,West Midlands,England & Wales,0.036,0.034,0.931,0.051,0.101,0.848,0.06,0.101,0.84
E14001401,North West Cambridgeshire,E12000006,East of England,England & Wales,0.107,0.083,0.81,0.066,0.083,0.851,0.06,0.101,0.84
E14001402,North West Essex,E12000006,East of England,England & Wales,0.04,0.052,0.908,0.066,0.083,0.851,0.06,0.101,0.84
E14001403,North West Hampshire,E12000008,South East,England & Wales,0.058,0.07,0.872,0.06,0.097,0.842,0.06,0.101,0.84
E14001404,North West Leicestershire,E12000004,East Midlands,England & Wales,0.037,0.026,0.937,0.058,0.08,0.863,0.06,0.101,0.84
E14001405,North West Norfolk,E12000006,East of England,England & Wales,0.071,0.044,0.884,0.066,0.083,0.851,0.06,0.101,0.84
E14001406,Northampton North,E12000004,East Midlands,England & Wales,0.152,0.153,0.694,0.058,0.08,0.863,0.06,0.101,0.84
E14001407,Northampton South,E12000004,East Midlands,England & Wales,0.101,0.121,0.777,0.058,0.08,0.863,0.06,0.101,0.84
E14001408,Norwich North,E12000006,East of England,England & Wales,0.061,0.05,0.889,0.066,0.083,0.851,0.06,0.101,0.84
E14001409,Norwich South,E12000006,East of England,England & Wales,0.073,0.104,0.823,0.066,0.083,0.851,0.06,0.101,0.84
E14001410,Nottingham East,E12000004,East Midlands,England & Wales,0.108,0.2,0.692,0.058,0.08,0.863,0.06,0.101,0.84
E14001411,Nottingham North & Kimberley,E12000004,East Midlands,England & Wales,0.062,0.117,0.82,0.058,0.08,0.863,0.06,0.101,0.84
E14001412,Nottingham South,E12000004,East Midlands,England & Wales,0.066,0.151,0.784,0.058,0.08,0.863,0.06,0.101,0.84
E14001413,Nuneaton,E12000005,West Midlands,England & Wales,0.05,0.064,0.885,0.051,0.101,0.848,0.06,0.101,0.84
E14001414,Old Bexley & Sidcup,E12000007,London,England & Wales,0.05,0.111,0.839,0.128,0.279,0.594,0.06,0.101,0.84
E14001415,Oldham East & Saddleworth,E12000002,North West,England & Wales,0.041,0.107,0.852,0.041,0.075,0.883,0.06,0.101,0.84
E14001416,"Oldham West, Chadderton & Royton",E12000002,North West,England & Wales,0.042,0.16,0.798,0.041,0.075,0.883,0.06,0.101,0.84
E14001417,Orpington,E12000007,London,England & Wales,0.049,0.133,0.819,0.128,0.279,0.594,0.06,0.101,0.84
E14001418,Ossett & Denby Dale,E12000003,Yorkshire and The Humber,England & Wales,0.025,0.03,0.945,0.044,0.07,0.886,0.06,0.101,0.84
E14001419,Oxford East,E12000008,South East,England & Wales,0.119,0.226,0.655,0.06,0.097,0.842,0.06,0.101,0.84
E14001420,Oxford West & Abingdon,E12000008,South East,England & Wales,0.093,0.167,0.74,0.06,0.097,0.842,0.06,0.101,0.84
E14001421,Peckham,E12000007,London,England & Wales,0.101,0.323,0.576,0.128,0.279,0.594,0.06,0.101,0.84
E14001422,Pendle & Clitheroe,E12000002,North West,England & Wales,0.052,0.082,0.866,0.041,0.075,0.883,0.06,0.101,0.84
E14001423,Penistone & Stocksbridge,E12000003,Yorkshire and The Humber,England & Wales,0.014,0.019,0.967,0.044,0.07,0.886,0.06,0.101,0.84
E14001424,Penrith & Solway,E12000002,North West,England & Wales,0.024,0.02,0.956,0.041,0.075,0.883,0.06,0.101,0.84
E14001425,Peterborough,E12000006,East of England,England & Wales,0.172,0.148,0.679,0.066,0.083,0.851,0.06,0.101,0.84
E14001426,Plymouth Moor View,E12000009,South West,England & Wales,0.031,0.032,0.937,0.046,0.056,0.898,0.06,0.101,0.84
E14001427,Plymouth Sutton & Devonport,E12000009,South West,England & Wales,0.071,0.074,0.855,0.046,0.056,0.898,0.06,0.101,0.84
E14001428,"Pontefract, Castleford & Knottingley",E12000003,Yorkshire and The Humber,England & Wales,0.038,0.02,0.942,0.044,0.07,0.886,0.06,0.101,0.84
E14001429,Poole,E12000009,South West,England & Wales,0.061,0.061,0.879,0.046,0.056,0.898,0.06,0.101,0.84
E14001430,Poplar & Limehouse,E12000007,London,England & Wales,0.155,0.345,0.499,0.128,0.279,0.594,0.06,0.101,0.84
E14001431,Portsmouth North,E12000008,South East,England & Wales,0.05,0.067,0.884,0.06,0.097,0.842,0.06,0.101,0.84
E14001432,Portsmouth South,E12000008,South East,England & Wales,0.09,0.128,0.781,0.06,0.097,0.842,0.06,0.101,0.84
E14001433,Preston,E12000002,North West,England & Wales,0.078,0.138,0.784,0.041,0.075,0.883,0.06,0.101,0.84
E14001434,Putney,E12000007,London,England & Wales,0.143,0.255,0.602,0.128,0.279,0.594,0.06,0.101,0.84
E14001435,Queen's Park & Maida Vale,E12000007,London,England & Wales,0.149,0.337,0.514,0.128,0.279,0.594,0.06,0.101,0.84
E14001436,Rawmarsh & Conisbrough,E12000003,Yorkshire and The Humber,England & Wales,0.024,0.017,0.959,0.044,0.07,0.886,0.06,0.101,0.84
E14001437,Rayleigh & Wickford,E12000006,East of England,England & Wales,0.017,0.029,0.953,0.066,0.083,0.851,0.06,0.101,0.84
E14001438,Reading Central,E12000008,South East,England & Wales,0.127,0.245,0.628,0.06,0.097,0.842,0.06,0.101,0.84
E14001439,Reading West & Mid Berkshire,E12000008,South East,England & Wales,0.054,0.092,0.853,0.06,0.097,0.842,0.06,0.101,0.84
E14001440,Redcar,E12000001,North East,England & Wales,0.013,0.02,0.968,0.023,0.044,0.932,0.06,0.101,0.84
E14001441,Redditch,E12000005,West Midlands,England & Wales,0.065,0.041,0.894,0.051,0.101,0.848,0.06,0.101,0.84
E14001442,Reigate,E12000008,South East,England & Wales,0.052,0.115,0.833,0.06,0.097,0.842,0.06,0.101,0.84
E14001443,Ribble Valley,E12000002,North West,England & Wales,0.023,0.044,0.933,0.041,0.075,0.883,0.06,0.101,0.84
E14001444,Richmond & Northallerton,E12000003,Yorkshire and The Humber,England & Wales,0.028,0.039,0.932,0.044,0.07,0.886,0.06,0.101,0.84
E14001445,Richmond Park,E12000007,London,England & Wales,0.114,0.232,0.654,0.128,0.279,0.594,0.06,0.101,0.84
E14001446,Rochdale,E12000002,North West,England & Wales,0.044,0.153,0.804,0.041,0.075,0.883,0.06,0.101,0.84
E14001447,Rochester & Strood,E12000008,South East,England & Wales,0.05,0.076,0.874,0.06,0.097,0.842,0.06,0.101,0.84
E14001448,Romford,E12000007,London,England & Wales,0.08,0.138,0.782,0.128,0.279,0.594,0.06,0.101,0.84
E14001449,Romsey & Southampton North,E12000008,South East,England & Wales,0.055,0.085,0.86,0.06,0.097,0.842,0.06,0.101,0.84
E14001450,Rossendale & Darwen,E12000002,North West,England & Wales,0.021,0.026,0.954,0.041,0.075,0.883,0.06,0.101,0.84
E14001451,Rother Valley,E12000003,Yorkshire and The Humber,England & Wales,0.016,0.023,0.961,0.044,0.07,0.886,0.06,0.101,0.84
E14001452,Rotherham,E12000003,Yorkshire and The Humber,England & Wales,0.047,0.067,0.885,0.044,0.07,0.886,0.06,0.101,0.84
E14001453,Rugby,E12000005,West Midlands,England & Wales,0.1,0.085,0.814,0.051,0.101,0.848,0.06,0.101,0.84
E14001454,"Ruislip, Northwood & Pinner",E12000007,London,England & Wales,0.085,0.246,0.669,0.128,0.279,0.594,0.06,0.101,0.84
E14001455,Runcorn & Helsby,E12000002,North West,England & Wales,0.026,0.024,0.95,0.041,0.075,0.883,0.06,0.101,0.84
E14001456,Runnymede & Weybridge,E12000008,South East,England & Wales,0.074,0.133,0.793,0.06,0.097,0.842,0.06,0.101,0.84
E14001457,Rushcliffe,E12000004,East Midlands,England & Wales,0.029,0.061,0.91,0.058,0.08,0.863,0.06,0.101,0.84
E14001458,Rutland & Stamford,E12000004,East Midlands,England & Wales,0.033,0.05,0.917,0.058,0.08,0.863,0.06,0.101,0.84
E14001459,Salford,E12000002,North West,England & Wales,0.093,0.161,0.746,0.041,0.075,0.883,0.06,0.101,0.84
E14001460,Salisbury,E12000009,South West,England & Wales,0.047,0.06,0.892,0.046,0.056,0.898,0.06,0.101,0.84
E14001461,Scarborough & Whitby,E12000003,Yorkshire and The Humber,England & Wales,0.038,0.027,0.935,0.044,0.07,0.886,0.06,0.101,0.84
E14001462,Scunthorpe,E12000003,Yorkshire and The Humber,England & Wales,0.084,0.045,0.871,0.044,0.07,0.886,0.06,0.101,0.84
E14001463,Sefton Central,E12000002,North West,England & Wales,0.017,0.021,0.962,0.041,0.075,0.883,0.06,0.101,0.84
E14001464,Selby,E12000003,Yorkshire and The Humber,England & Wales,0.034,0.019,0.948,0.044,0.07,0.886,0.06,0.101,0.84
E14001465,Sevenoaks,E12000008,South East,England & Wales,0.043,0.074,0.883,0.06,0.097,0.842,0.06,0.101,0.84
E14001466,Sheffield Brightside & Hillsborough,E12000003,Yorkshire and The Humber,England & Wales,0.061,0.141,0.798,0.044,0.07,0.886,0.06,0.101,0.84
E14001467,Sheffield Central,E12000003,Yorkshire and The Humber,England & Wales,0.059,0.213,0.728,0.044,0.07,0.886,0.06,0.101,0.84
E14001468,Sheffield Hallam,E12000003,Yorkshire and The Humber,England & Wales,0.025,0.066,0.91,0.044,0.07,0.886,0.06,0.101,0.84
E14001469,Sheffield Heeley,E12000003,Yorkshire and The Humber,England & Wales,0.04,0.096,0.864,0.044,0.07,0.886,0.06,0.101,0.84
E14001470,Sheffield South East,E12000003,Yorkshire and The Humber,England & Wales,0.035,0.08,0.885,0.044,0.07,0.886,0.06,0.101,0.84
E14001471,Sherwood Forest,E12000004,East Midlands,England & Wales,0.024,0.025,0.952,0.058,0.08,0.863,0.06,0.101,0.84
E14001472,Shipley,E12000003,Yorkshire and The Humber,England & Wales,0.025,0.04,0.935,0.044,0.07,0.886,0.06,0.101,0.84
E14001473,Shrewsbury,E12000005,West Midlands,England & Wales,0.037,0.037,0.926,0.051,0.101,0.848,0.06,0.101,0.84
E14001474,Sittingbourne & Sheppey,E12000008,South East,England & Wales,0.044,0.039,0.917,0.06,0.097,0.842,0.06,0.101,0.84
E14001475,Skipton & Ripon,E12000003,Yorkshire and The Humber,England & Wales,0.026,0.03,0.944,0.044,0.07,0.886,0.06,0.101,0.84
E14001476,Sleaford & North Hykeham,E12000004,East Midlands,England & Wales,0.036,0.026,0.938,0.058,0.08,0.863,0.06,0.101,0.84
E14001477,Slough,E12000008,South East,England & Wales,0.121,0.323,0.556,0.06,0.097,0.842,0.06,0.101,0.84
E14001478,Smethwick,E12000005,West Midlands,England & Wales,0.063,0.232,0.704,0.051,0.101,0.848,0.06,0.101,0.84
E14001479,Solihull West & Shirley,E12000005,West Midlands,England & Wales,0.032,0.096,0.872,0.051,0.101,0.848,0.06,0.101,0.84
E14001480,South Basildon & East Thurrock,E12000006,East of England,England & Wales,0.045,0.074,0.881,0.066,0.083,0.851,0.06,0.101,0.84
E14001481,South Cambridgeshire,E12000006,East of England,England & Wales,0.067,0.119,0.814,0.066,0.083,0.851,0.06,0.101,0.84
E14001482,South Cotswolds,E12000009,South West,England & Wales,0.033,0.053,0.914,0.046,0.056,0.898,0.06,0.101,0.84
E14001483,South Derbyshire,E12000004,East Midlands,England & Wales,0.026,0.035,0.939,0.058,0.08,0.863,0.06,0.101,0.84
