Station name,Station code,Operator,PCON24CD,PCON24NM,Longitude,Latitude
Bathgate,BHG,ScotRail,S14000068,Bathgate and Linlithgow,-3.6361,55.89716
Batley,BTL,Northern Trains,E14001196,Dewsbury and Batley,-1.62295,53.70994
Battersby,BTT,Northern Trains,E14001444,Richmond and Northallerton,-1.09297,54.45768
Battersea Park,BAK,Govia Thameslink Railway (Southern),E14001081,Battersea,-0.14753,51.47696
Battle,BAT,Southeastern,E14001088,Bexhill and Battle,0.4947,50.91291
Battlesbridge,BLB,Greater Anglia,E14001351,Maldon,0.56529,51.62482
Bayford,BAY,Govia Thameslink Railway (Great Northern),E14001393,North East Hertfordshire,-0.09561,51.75771
Beaconsfield,BCF,Chiltern Railways,E14001082,Beaconsfield,-0.64382,51.61129
Bearley,BER,West Midlands Trains (West Midlands Railway),E14001526,Stratford-on-Avon,-1.75026,52.24441
Bearsden,BRN,ScotRail,S14000097,Mid Dunbartonshire,-4.33202,55.91713
Bearsted,BSD,Southeastern,E14001235,Faversham and Mid Kent,0.57758,51.27582
Beasdale,BSL,ScotRail,S14000094,"Inverness, Skye and West Ross-shire",-5.7638,56.89956
Beaulieu Road,BEU,South Western Railway,E14001373,New Forest East,-1.50475,50.85505
Beauly,BEL,ScotRail,S14000069,"Caithness, Sutherland and Easter Ross",-4.46987,57.47829
Bebington,BEB,Merseyrail,E14001091,Birkenhead,-3.00364,53.35766
Beccles,BCC,Greater Anglia,E14001344,Lowestoft,1.56949,52.45852
Beckenham Hill,BEC,Govia Thameslink Railway (Thameslink),E14001331,Lewisham East,-0.01595,51.42458
Beckenham Junction,BKJ,Southeastern,E14001083,Beckenham and Penge,-0.02602,51.41117
Bedford,BDM,Govia Thameslink Railway (Thameslink),E14001084,Bedford,-0.47944,52.13619
Bedford St Johns,BSJ,West Midlands Trains (London Northwestern Railway),E14001084,Bedford,-0.4675,52.12948
Bedhampton,BDH,South Western Railway,E14001275,Havant,-0.99583,50.85396
Bedminster,BMT,Great Western Railway,E14001135,Bristol South,-2.59415,51.44009
Bedworth,BEH,West Midlands Trains (West Midlands Railway),E14001400,North Warwickshire and Bedworth,-1.46739,52.4793
Bedwyn,BDW,Great Western Railway,E14001217,East Wiltshire,-1.59879,51.37964
Beeston,BEE,East Midlands Railway,E14001140,Broxtowe,-1.20766,52.92076
Bekesbourne,BKS,Southeastern,E14001151,Canterbury,1.13671,51.26135
Belle Vue,BLV,Northern Trains,E14001251,Gorton and Denton,-2.18051,53.46238
Bellgrove,BLG,ScotRail,S14000084,Glasgow East,-4.22437,55.85671
Bellingham,BGM,Govia Thameslink Railway (Thameslink),E14001331,Lewisham East,-0.01933,51.43291
Bellshill,BLH,ScotRail,S14000070,Coatbridge and Bellshill,-4.0245,55.81707
Belmont,BLM,Govia Thameslink Railway (Southern),E14001534,Sutton and Cheam,-0.19886,51.34381
Belper,BLP,East Midlands Railway,E14001362,Mid Derbyshire,-1.48251,53.02376
Beltring,BEG,Southeastern,E14001570,Weald of Kent,0.4035,51.20471
Belvedere,BVD,Southeastern,E14001229,Erith and Thamesmead,0.15229,51.49212
Bempton,BEM,Northern Trains,E14001127,Bridlington and The Wolds,-0.18046,54.12766
Ben Rhydding,BEY,Northern Trains,E14001308,Keighley and Ilkley,-1.79743,53.92572
Benfleet,BEF,c2c,E14001154,Castle Point,0.56171,51.54394
Bentham,BEN,Northern Trains,E14001475,Skipton and Ripon,-2.51068,54.11552
Bentley (Hampshire),BTY,South Western Railway,E14001214,East Hampshire,-0.86813,51.18123
Bentley (South Yorkshire),BYK,Northern Trains,E14001200,Doncaster North,-1.15095,53.54394
Bere Alston,BAS,Great Western Railway,E14001552,Torridge and Tavistock,-4.20036,50.4856
Bere Ferrers,BFE,Great Western Railway,E14001552,Torridge and Tavistock,-4.18144,50.45128
Berkhamsted,BKM,West Midlands Trains (London Northwestern Railway),E14001268,Harpenden and Berkhamsted,-0.56201,51.76313
Berkswell,BKW,West Midlands Trains (West Midlands Railway),E14001358,Meriden and Solihull East,-1.64284,52.39588
Bermuda Park,BEP,West Midlands Trains (West Midlands Railway),E14001413,Nuneaton,-1.47218,52.50143
Berney Arms,BYA,Greater Anglia,E14001136,Broadland and Fakenham,1.63038,52.58978
Berry Brow,BBW,Northern Trains,E14001297,Huddersfield,-1.79343,53.62104
Berrylands,BRS,South Western Railway,E14001312,Kingston and Surbiton,-0.28071,51.39904
Berwick (Sussex),BRK,Govia Thameslink Railway (Southern),E14001330,Lewes,0.16602,50.84038
Berwick-Upon-Tweed,BWK,London North Eastern Railway,E14001397,North Northumberland,-2.01097,55.77434
Bescar Lane,BES,Northern Trains,E14001577,West Lancashire,-2.91461,53.62386
Bescot Stadium,BSC,West Midlands Trains (West Midlands Railway),E14001547,Tipton and Wednesbury,-1.99111,52.56309
Betchworth,BTO,Great Western Railway,E14001201,Dorking and Horley,-0.26697,51.24819
Bethnal Green Rail,BET,London Overground,E14001086,Bethnal Green and Stepney,-0.05957,51.52392
Betws-y-Coed,BYC,TfW Rail,W07000083,Bangor Aberconwy,-3.80086,53.09207
Beverley,BEV,Northern Trains,E14001087,Beverley and Holderness,-0.42298,53.84227
Bexhill,BEX,Govia Thameslink Railway (Southern),E14001088,Bexhill and Battle,0.47702,50.84104
Bexley,BXY,Southeastern,E14001414,Old Bexley and Sidcup,0.1479,51.44022
Bexleyheath,BXH,Southeastern,E14001089,Bexleyheath and Crayford,0.13373,51.4635
Bicester North,BCS,Chiltern Railways,E14001090,Bicester and Woodstock,-1.15038,51.90348
Bicester Village,BIT,Chiltern Railways,E14001090,Bicester and Woodstock,-1.14876,51.89302
Bickley,BKL,Southeastern,E14001137,Bromley and Biggin Hill,0.04524,51.4001
Bidston,BID,Merseyrail,E14001091,Birkenhead,-3.07856,53.40914
Biggleswade,BIW,Govia Thameslink Railway (Great Northern),E14001384,North Bedfordshire,-0.26119,52.08468
Bilbrook,BBK,West Midlands Trains (West Midlands Railway),E14001316,Kingswinford and South Staffordshire,-2.18609,52.62372
Billericay,BIC,Greater Anglia,E14001077,Basildon and Billericay,0.41863,51.62888
Billingham,BIL,Northern Trains,E14001518,Stockton North,-1.27972,54.60561
Billingshurst,BIG,Govia Thameslink Railway (Southern),E14001294,Horsham,-0.4503,51.0152
Bingham,BIN,East Midlands Railway,E14001375,Newark,-0.95154,52.95419
