Time period,Station name,Scheduled stops,Recorded station stops,"Recorded station stops (percentage) [note 2]","Time to 3 (percentage) [note 3, 5]","Cancellations (percentage) [note 4, 5]"
Apr 2024 to Mar 2025 Period 11,Cuxton,1834,1796,99.7224,92.6503,1.7993
Apr 2024 to Mar 2025 Period 11,Cwmbach,1707,1616,99.6915,92.2649,5.0381
Apr 2024 to Mar 2025 Period 11,Cwmbran,1488,1365,94.9896,63.8828,3.4274
Apr 2024 to Mar 2025 Period 11,Cynghordy,172,41,24.6988,[u],3.4884
Apr 2024 to Mar 2025 Period 11,Dagenham Dock,2327,2270,100.0000,92.9515,2.4495
Apr 2024 to Mar 2025 Period 11,Daisy Hill,1661,1422,89.6030,86.8495,4.4551
Apr 2024 to Mar 2025 Period 11,Dalgety Bay,1730,1693,100.0000,88.7183,2.1387
Apr 2024 to Mar 2025 Period 11,Dalmally,320,42,13.2075,[u],0.6250
Apr 2024 to Mar 2025 Period 11,Dalmarnock,4536,4359,99.1132,88.8965,3.0423
Apr 2024 to Mar 2025 Period 11,Dalmeny,2368,2314,99.9568,88.3751,2.2382
Apr 2024 to Mar 2025 Period 11,Dalmuir,7750,7500,100.0000,85.8267,3.2258
Apr 2024 to Mar 2025 Period 11,Dalreoch,3297,3211,100.0000,85.8300,2.6084
Apr 2024 to Mar 2025 Period 11,Dalry,1850,1830,99.9454,89.9454,1.0270
Apr 2024 to Mar 2025 Period 11,Dalston (Cumbria),899,864,99.4246,81.9444,3.3370
Apr 2024 to Mar 2025 Period 11,Dalston Junction,14067,13839,100.0000,92.2465,1.6208
Apr 2024 to Mar 2025 Period 11,Dalston Kingsland,7372,6794,99.9853,77.4507,7.8269
Apr 2024 to Mar 2025 Period 11,Dalton (Cumbria),1013,838,86.9295,78.4010,4.8371
Apr 2024 to Mar 2025 Period 11,Dalwhinnie,240,237,100.0000,53.5865,1.2500
Apr 2024 to Mar 2025 Period 11,Danby,267,140,53.8462,87.8571,2.6217
Apr 2024 to Mar 2025 Period 11,Danescourt,1661,1575,99.6205,81.8413,4.8164
Apr 2024 to Mar 2025 Period 11,Danzey,791,679,89.1076,88.3652,3.6662
Apr 2024 to Mar 2025 Period 11,Darlington,5668,5458,100.0000,74.0198,3.7050
Apr 2024 to Mar 2025 Period 11,Darnall,995,862,92.2912,78.7703,6.1307
Apr 2024 to Mar 2025 Period 11,Darsham,891,453,51.0710,95.8057,0.4489
Apr 2024 to Mar 2025 Period 11,Dartford,11270,10932,100.0000,78.0461,2.9991
Apr 2024 to Mar 2025 Period 11,Darton,972,841,90.3330,70.3924,4.2181
Apr 2024 to Mar 2025 Period 11,Darwen,1622,1517,99.9341,76.5326,6.4118
Apr 2024 to Mar 2025 Period 11,Datchet,1960,1637,88.2004,88.8821,5.3061
Apr 2024 to Mar 2025 Period 11,Davenport,1808,1765,99.9434,85.4391,2.3230
Apr 2024 to Mar 2025 Period 11,Dawlish,2686,2573,99.9223,81.1893,4.1325
Apr 2024 to Mar 2025 Period 11,Dawlish Warren,1624,1565,100.0000,83.5144,3.6330
Apr 2024 to Mar 2025 Period 11,Deal,1220,1208,100.0000,80.9603,0.9836
Apr 2024 to Mar 2025 Period 11,Dean (Wilts),975,970,100.0000,83.7113,0.5128
Apr 2024 to Mar 2025 Period 11,Deansgate,4387,4168,100.0000,66.3388,4.9920
Apr 2024 to Mar 2025 Period 11,Deganwy,1369,867,66.3351,86.5052,4.5289
Apr 2024 to Mar 2025 Period 11,Deighton,1241,1211,100.0000,55.9042,2.4174
Apr 2024 to Mar 2025 Period 11,Delamere,980,762,81.1502,80.5774,4.1837
Apr 2024 to Mar 2025 Period 11,Denby Dale,850,444,55.7089,80.1802,6.2353
Apr 2024 to Mar 2025 Period 11,Denham,1657,1645,100.0000,94.0426,0.7242
Apr 2024 to Mar 2025 Period 11,Denham Golf Club,1001,992,100.0000,95.2621,0.8991
Apr 2024 to Mar 2025 Period 11,Denmark Hill,8952,8775,99.6706,85.2650,1.6533
Apr 2024 to Mar 2025 Period 11,Dent,352,216,63.3431,87.5000,3.1250
Apr 2024 to Mar 2025 Period 11,Denton,8,6,100.0000,[u],[u]
Apr 2024 to Mar 2025 Period 11,Deptford,4368,4065,99.9263,87.9951,6.8681
Apr 2024 to Mar 2025 Period 11,Derby,6709,6396,99.9844,68.7930,4.6505
Apr 2024 to Mar 2025 Period 11,Derby Road (Ipswich),943,927,100.0000,89.2125,1.6967
Apr 2024 to Mar 2025 Period 11,Devonport,848,769,92.8744,87.6463,2.3585
Apr 2024 to Mar 2025 Period 11,Dewsbury,3349,3203,100.0000,52.0450,4.3595
Apr 2024 to Mar 2025 Period 11,Didcot Parkway,6827,6681,100.0000,76.7550,2.1386
Apr 2024 to Mar 2025 Period 11,Digby and Sowton,1912,1062,57.1890,86.8173,2.8766
Apr 2024 to Mar 2025 Period 11,Dilton Marsh,232,30,13.3333,[u],3.0172
Apr 2024 to Mar 2025 Period 11,Dinas (Rhondda),1647,1252,77.8607,86.7412,2.3679
Apr 2024 to Mar 2025 Period 11,Dinas Powys,3248,3152,100.0000,83.3756,2.9557
Apr 2024 to Mar 2025 Period 11,Dingle Road,2717,807,32.0747,[u],7.3979
Apr 2024 to Mar 2025 Period 11,Dingwall,620,594,100.0000,80.3030,4.1935
Apr 2024 to Mar 2025 Period 11,Dinsdale,1709,1631,99.6944,88.1055,4.2715
Apr 2024 to Mar 2025 Period 11,Dinting,1799,1670,95.7569,83.1737,3.0573
Apr 2024 to Mar 2025 Period 11,Disley,1280,934,74.4223,87.7944,1.9531
Apr 2024 to Mar 2025 Period 11,Diss,1572,1548,100.0000,88.9535,1.5267
Apr 2024 to Mar 2025 Period 11,Dockyard (Devonport),680,555,83.4586,87.7477,2.2059
Apr 2024 to Mar 2025 Period 11,Dodworth,870,784,96.9098,74.2347,7.0115
Apr 2024 to Mar 2025 Period 11,Dolau,201,100,52.6316,74.0000,5.4726
Apr 2024 to Mar 2025 Period 11,Doleham,180,0,0.0000,[u],2.7778
Apr 2024 to Mar 2025 Period 11,Dolgarrog,205,64,32.4873,[u],3.9024
Apr 2024 to Mar 2025 Period 11,Dolwyddelan,198,69,35.9375,[u],3.0303
Apr 2024 to Mar 2025 Period 11,Doncaster,9196,8833,100.0000,74.7198,3.9474
Apr 2024 to Mar 2025 Period 11,Dorchester South,1732,1701,99.9412,71.2522,1.7321
Apr 2024 to Mar 2025 Period 11,Dorchester West,463,442,100.0000,82.8054,4.5356
Apr 2024 to Mar 2025 Period 11,Dore and Totley,1028,1003,100.0000,70.3888,2.4319
Apr 2024 to Mar 2025 Period 11,Dorking (Deepdene),1608,878,57.2733,76.4237,4.6642
Apr 2024 to Mar 2025 Period 11,Dorking (Main),2739,2706,100.0000,86.7332,1.2048
Apr 2024 to Mar 2025 Period 11,Dorking West,607,329,57.0191,88.4498,4.9423
Apr 2024 to Mar 2025 Period 11,Dormans,2028,1978,99.6474,93.9838,2.1203
Apr 2024 to Mar 2025 Period 11,Dorridge,3470,3373,100.0000,89.6531,2.7954
Apr 2024 to Mar 2025 Period 11,Dove Holes,656,467,72.9688,89.7216,2.4390
Apr 2024 to Mar 2025 Period 11,Dover Priory,3562,3529,100.0000,80.8444,0.9264
Apr 2024 to Mar 2025 Period 11,Dovercourt,1128,1111,99.0196,97.5698,0.5319
Apr 2024 to Mar 2025 Period 11,Dovey Junction,1151,1113,99.8206,86.4331,3.1277
Apr 2024 to Mar 2025 Period 11,Downham Market,1371,1291,100.0000,82.4942,5.8352
Apr 2024 to Mar 2025 Period 11,Drayton Green,1536,312,20.5805,[u],1.3021
Apr 2024 to Mar 2025 Period 11,Drayton Park,4689,4617,100.0000,88.2175,1.5355
Apr 2024 to Mar 2025 Period 11,Drem,943,935,100.0000,90.1604,0.8484
Apr 2024 to Mar 2025 Period 11,Driffield,1607,1267,84.6359,74.5067,6.8451
Apr 2024 to Mar 2025 Period 11,Drigg,768,705,96.8407,82.1277,5.2083
Apr 2024 to Mar 2025 Period 11,Droitwich Spa,2946,2893,99.9309,85.9661,1.7312
Apr 2024 to Mar 2025 Period 11,Dronfield,1012,944,98.6416,73.8347,5.4348
Apr 2024 to Mar 2025 Period 11,Drumchapel,3177,3045,98.8957,88.0788,3.0847
Apr 2024 to Mar 2025 Period 11,Drumfrochar,1314,76,5.8642,[u],1.3699
Apr 2024 to Mar 2025 Period 11,Drumgelloch,2161,2118,99.9057,89.2823,1.8973
Apr 2024 to Mar 2025 Period 11,Drumry,3177,3043,98.8308,86.3621,3.0847
Apr 2024 to Mar 2025 Period 11,Duddeston,3880,3766,99.9735,85.9267,2.9124
Apr 2024 to Mar 2025 Period 11,Dudley Port,1748,1733,99.8847,80.2654,0.7437
Apr 2024 to Mar 2025 Period 11,Duffield,963,938,100.0000,76.2260,2.5961
Apr 2024 to Mar 2025 Period 11,Duirinish,184,0,0.0000,[u],0.0000
Apr 2024 to Mar 2025 Period 11,Duke Street,1548,1185,77.6031,92.8270,1.3566
Apr 2024 to Mar 2025 Period 11,Dullingham,598,595,100.0000,94.2857,0.5017
Apr 2024 to Mar 2025 Period 11,Dumbarton Central,3662,3575,99.9441,82.4615,2.3211
Apr 2024 to Mar 2025 Period 11,Dumbarton East,3430,3306,98.5101,83.7568,2.1574
Apr 2024 to Mar 2025 Period 11,Dumbreck,1348,1326,99.2515,95.7768,0.8902
Apr 2024 to Mar 2025 Period 11,Dumfries,831,807,100.0000,89.4672,2.8881
Apr 2024 to Mar 2025 Period 11,Dumpton Park,1334,1311,100.0000,82.9901,1.7241
Apr 2024 to Mar 2025 Period 11,Dunbar,969,953,100.0000,81.6369,1.6512
Apr 2024 to Mar 2025 Period 11,Dunblane,2371,2305,99.7835,94.2299,2.5728
Apr 2024 to Mar 2025 Period 11,Duncraig,184,0,0.0000,[u],0.0000
Apr 2024 to Mar 2025 Period 11,Dundee,3442,3374,100.0000,84.3213,1.9756
Apr 2024 to Mar 2025 Period 11,Dunfermline City,1657,1618,100.0000,91.0383,2.3537
Apr 2024 to Mar 2025 Period 11,Dunfermline Queen Margaret,1657,1619,100.0000,90.3644,2.2933
Apr 2024 to Mar 2025 Period 11,Dunkeld and Birnam,460,454,99.7802,72.9075,1.0870
Apr 2024 to Mar 2025 Period 11,Dunlop,1572,192,12.5819,[u],2.9262
Apr 2024 to Mar 2025 Period 11,Dunrobin Castle,,,[z],[z],[z]
Apr 2024 to Mar 2025 Period 11,Dunston,1036,946,100.0000,83.0867,8.6873
Apr 2024 to Mar 2025 Period 11,Dunton Green,2067,2043,100.0000,75.8688,1.1611
Apr 2024 to Mar 2025 Period 11,Durham,3337,3215,99.9689,67.4961,3.6260
Apr 2024 to Mar 2025 Period 11,Durrington-On-Sea,3508,3391,99.9116,78.9443,3.2497
Apr 2024 to Mar 2025 Period 11,Dyce,1474,1434,99.9303,85.2859,2.6459
Apr 2024 to Mar 2025 Period 11,Dyffryn Ardudwy,375,289,77.6882,89.6194,0.8000
Apr 2024 to Mar 2025 Period 11,Eaglescliffe,2961,2834,99.7887,75.5116,4.0865
Apr 2024 to Mar 2025 Period 11,Ealing Broadway,10047,9256,99.9892,79.1811,7.8630
Apr 2024 to Mar 2025 Period 11,Earlestown,2758,2580,100.0000,70.5039,6.4540
Apr 2024 to Mar 2025 Period 11,Earley,1815,1761,99.8866,78.8756,2.8650
Apr 2024 to Mar 2025 Period 11,Earlsfield,10670,10318,99.9903,78.9979,3.2896
Apr 2024 to Mar 2025 Period 11,Earlswood (Surrey),2130,1878,99.8936,76.7306,11.7371
Apr 2024 to Mar 2025 Period 11,Earlswood (West Midlands),878,702,82.7830,89.1738,3.4169
Apr 2024 to Mar 2025 Period 11,East Croydon,22754,22021,100.0000,82.1080,3.2214
Apr 2024 to Mar 2025 Period 11,East Didsbury,2683,2486,99.8394,69.2277,7.1934
Apr 2024 to Mar 2025 Period 11,East Dulwich,3445,3406,99.9706,97.8861,1.1030
Apr 2024 to Mar 2025 Period 11,East Farleigh,1781,1756,99.9431,93.1663,1.3476
Apr 2024 to Mar 2025 Period 11,East Garforth,1830,1709,95.4216,61.3224,2.1311
Apr 2024 to Mar 2025 Period 11,East Grinstead,2134,2096,100.0000,94.7996,1.7807
Apr 2024 to Mar 2025 Period 11,East Kilbride,1293,1274,100.0000,93.4066,1.4695
Apr 2024 to Mar 2025 Period 11,East Linton,527,523,100.0000,88.7189,0.7590
Apr 2024 to Mar 2025 Period 11,East Malling,1236,1230,100.0000,83.7398,0.4854
Apr 2024 to Mar 2025 Period 11,East Midlands Parkway,3080,2979,100.0000,68.2779,3.2792
Apr 2024 to Mar 2025 Period 11,East Tilbury,2415,2372,100.0000,89.5868,1.7805
Apr 2024 to Mar 2025 Period 11,East Worthing,2076,2018,100.0000,87.3637,2.7938
Apr 2024 to Mar 2025 Period 11,Eastbourne,4671,4509,100.0000,84.8303,3.4682
Apr 2024 to Mar 2025 Period 11,Eastbrook,3248,3150,99.9683,83.0794,2.9865
Apr 2024 to Mar 2025 Period 11,Easterhouse,2986,2474,85.0172,89.7736,2.5452
Apr 2024 to Mar 2025 Period 11,Eastham Rake,4684,4294,99.7677,83.0927,8.1127
Apr 2024 to Mar 2025 Period 11,Eastleigh,3246,3180,100.0000,75.2516,2.0333
Apr 2024 to Mar 2025 Period 11,Eastrington,144,142,100.0000,71.8310,1.3889
Apr 2024 to Mar 2025 Period 11,Ebbsfleet International,3644,3596,99.9722,88.6541,1.2898
Apr 2024 to Mar 2025 Period 11,Ebbw Vale Parkway,1588,1142,76.7989,79.5096,6.3602
Apr 2024 to Mar 2025 Period 11,Ebbw Vale Town,1588,1487,100.0000,83.3894,6.3602
Apr 2024 to Mar 2025 Period 11,Eccles (Manchester),1073,1011,99.8026,60.5341,5.5918
Apr 2024 to Mar 2025 Period 11,Eccles Road,76,0,0.0000,[u],0.0000
Apr 2024 to Mar 2025 Period 11,Eccleston Park,1720,1223,74.4370,88.3074,4.4767
Apr 2024 to Mar 2025 Period 11,Edale,907,629,71.2344,77.7424,2.6461
Apr 2024 to Mar 2025 Period 11,Eden Park,2464,2402,99.9584,84.5962,2.4756
Apr 2024 to Mar 2025 Period 11,Edenbridge (Kent),1197,1173,99.8298,92.3274,1.8379
Apr 2024 to Mar 2025 Period 11,Edenbridge Town,1016,1007,100.0000,81.2314,0.8858
Apr 2024 to Mar 2025 Period 11,Edge Hill,3505,3344,99.8507,78.9474,4.4508
Apr 2024 to Mar 2025 Period 11,Edinburgh,19168,18719,100.0000,87.8092,2.3424
Apr 2024 to Mar 2025 Period 11,Edinburgh Gateway,4164,4082,99.9755,89.5639,1.9452
Apr 2024 to Mar 2025 Period 11,Edinburgh Park,3826,3718,99.9731,91.3663,2.7967
Apr 2024 to Mar 2025 Period 11,Edmonton Green,4521,4451,100.0000,95.4168,1.5483
Apr 2024 to Mar 2025 Period 11,Effingham Junction,2966,2896,100.0000,84.0815,2.3601
Apr 2024 to Mar 2025 Period 11,Eggesford,920,890,100.0000,80.5618,3.2609
Apr 2024 to Mar 2025 Period 11,Egham,3995,3891,99.8717,84.1429,2.4781
Apr 2024 to Mar 2025 Period 11,Egton,267,173,66.5385,83.2370,2.6217
Apr 2024 to Mar 2025 Period 11,Elephant and Castle,6496,6263,99.9840,86.4921,3.5714
Apr 2024 to Mar 2025 Period 11,Elgin,840,804,100.0000,78.6070,4.2857
Apr 2024 to Mar 2025 Period 11,Ellesmere Port,2060,1860,100.0000,90.1613,9.7087
Apr 2024 to Mar 2025 Period 11,Elmers End,3565,3494,100.0000,83.1998,1.9916
Apr 2024 to Mar 2025 Period 11,Elmstead Woods,3778,3746,100.0000,86.0384,0.8470
Apr 2024 to Mar 2025 Period 11,Elmswell,898,896,100.0000,91.2946,0.2227
Apr 2024 to Mar 2025 Period 11,Elsecar,1906,1805,99.9446,74.5706,5.2466
Apr 2024 to Mar 2025 Period 11,Elsenham (Essex),1403,1382,99.9277,90.4486,1.4255
Apr 2024 to Mar 2025 Period 11,Elstree and Borehamwood,5344,4989,99.9599,73.0006,6.6055
Apr 2024 to Mar 2025 Period 11,Eltham,4926,4812,99.9792,78.2419,2.2940
Apr 2024 to Mar 2025 Period 11,Elton and Orston,48,20,43.4783,[u],[u]
Apr 2024 to Mar 2025 Period 11,Ely,5114,4918,99.9390,78.3855,3.7740
Apr 2024 to Mar 2025 Period 11,Emerson Park,1545,0,0.0000,[u],0.0000
Apr 2024 to Mar 2025 Period 11,Emsworth,3645,3480,99.5423,81.4655,4.0878
Apr 2024 to Mar 2025 Period 11,Energlyn and Churchill Park,1446,1021,73.8250,80.3134,4.3568
Apr 2024 to Mar 2025 Period 11,Enfield Chase,2504,2472,99.9192,94.1748,1.1981
Apr 2024 to Mar 2025 Period 11,Enfield Lock,2564,2486,99.8795,89.3001,2.9251
Apr 2024 to Mar 2025 Period 11,Enfield Town,2462,2415,100.0000,98.0124,1.9090
Apr 2024 to Mar 2025 Period 11,Entwistle,970,584,62.9310,71.0616,4.3299
Apr 2024 to Mar 2025 Period 11,Epsom (Surrey),6018,5921,99.9831,87.6879,1.5952
Apr 2024 to Mar 2025 Period 11,Epsom Downs,1920,1898,100.0000,93.4668,1.1458
Apr 2024 to Mar 2025 Period 11,Erdington,3637,3446,99.9710,81.2246,5.2241
Apr 2024 to Mar 2025 Period 11,Eridge,1016,1003,99.8010,87.3380,1.0827
Apr 2024 to Mar 2025 Period 11,Erith,4300,4158,99.9519,91.8230,3.2558
Apr 2024 to Mar 2025 Period 11,Esher,1913,1849,99.7303,81.8280,3.0842
Apr 2024 to Mar 2025 Period 11,Eskbank,1505,1005,68.9300,83.3831,3.1229
Apr 2024 to Mar 2025 Period 11,Essex Road,4908,4812,99.9585,90.1912,1.9152
Apr 2024 to Mar 2025 Period 11,Etchingham,1584,1537,99.7404,69.3559,2.7146
Apr 2024 to Mar 2025 Period 11,Euxton Balshaw Lane,883,838,99.8808,83.6516,4.9830
Apr 2024 to Mar 2025 Period 11,Evesham,1132,1097,100.0000,73.1996,3.0919
Apr 2024 to Mar 2025 Period 11,Ewell East,2942,2900,99.8623,93.1034,1.2916
Apr 2024 to Mar 2025 Period 11,Ewell West,2238,2171,99.9080,82.4044,2.9044
Apr 2024 to Mar 2025 Period 11,Exeter Central,4213,4070,100.0000,85.6020,3.3943
Apr 2024 to Mar 2025 Period 11,Exeter St David's,7904,7659,99.9739,78.4175,3.0744
Apr 2024 to Mar 2025 Period 11,Exeter St Thomas,1344,1297,100.0000,82.2668,3.4970
Apr 2024 to Mar 2025 Period 11,Exhibition Centre (Glasgow),4758,4526,98.7778,88.7097,3.6990
Apr 2024 to Mar 2025 Period 11,Exmouth,1912,1863,100.0000,87.1176,2.5628
Apr 2024 to Mar 2025 Period 11,Exton,1402,565,41.6667,[u],3.2810
Apr 2024 to Mar 2025 Period 11,Eynsford,1927,1907,100.0000,89.6696,1.0379
Apr 2024 to Mar 2025 Period 11,Fairbourne,375,321,86.2903,87.5389,0.8000
Apr 2024 to Mar 2025 Period 11,Fairfield,876,855,100.0000,87.0175,2.3973
Apr 2024 to Mar 2025 Period 11,Fairlie,821,815,100.0000,89.9387,0.7308
Apr 2024 to Mar 2025 Period 11,Fairwater,1661,1575,99.6835,83.4921,4.8766
Apr 2024 to Mar 2025 Period 11,Falconwood,4926,4806,99.8546,81.1069,2.2940
Apr 2024 to Mar 2025 Period 11,Falkirk Grahamston,2548,2497,100.0000,92.9916,2.0016
Apr 2024 to Mar 2025 Period 11,Falkirk High,2208,2148,100.0000,94.5531,2.7174
Apr 2024 to Mar 2025 Period 11,Falls Of Cruachan,,,[z],[z],[z]
Apr 2024 to Mar 2025 Period 11,Falmer,3974,3868,99.9225,94.1055,2.5918
Apr 2024 to Mar 2025 Period 11,Falmouth Docks,1552,1518,100.0000,95.7839,2.1907
Apr 2024 to Mar 2025 Period 11,Falmouth Town,1552,1428,94.0711,94.4678,2.1907
Apr 2024 to Mar 2025 Period 11,Fareham,5023,4819,100.0000,77.0077,4.0613
Apr 2024 to Mar 2025 Period 11,Farnborough (Main),2404,2321,100.0000,76.7342,3.4526
Apr 2024 to Mar 2025 Period 11,Farnborough North,1147,628,56.9356,76.5924,3.8361
Apr 2024 to Mar 2025 Period 11,Farncombe,1972,1911,100.0000,83.5688,3.0933
Apr 2024 to Mar 2025 Period 11,Farnham,3454,3417,100.0000,91.1326,1.0712
Apr 2024 to Mar 2025 Period 11,Farningham Road,1276,1260,100.0000,87.1429,1.2539
Apr 2024 to Mar 2025 Period 11,Farnworth,893,360,41.7149,[u],3.3595
Apr 2024 to Mar 2025 Period 11,Farringdon,30172,28196,99.9929,84.2956,6.5425
Apr 2024 to Mar 2025 Period 11,Fauldhouse,876,861,99.8840,90.9408,1.5982
Apr 2024 to Mar 2025 Period 11,Faversham,4104,4069,100.0000,74.9078,0.8528
Apr 2024 to Mar 2025 Period 11,Faygate,480,458,99.7821,65.5022,4.3750
Apr 2024 to Mar 2025 Period 11,Fazakerley,3303,3125,99.1749,82.2400,4.6019
Apr 2024 to Mar 2025 Period 11,Fearn,318,304,99.6721,71.7105,4.0881
Apr 2024 to Mar 2025 Period 11,Featherstone,852,801,99.8753,74.1573,5.8685
Apr 2024 to Mar 2025 Period 11,Felixstowe,943,927,100.0000,91.8015,1.6967
Apr 2024 to Mar 2025 Period 11,Feltham,5908,5698,100.0000,88.1713,3.5545
Apr 2024 to Mar 2025 Period 11,Feniton,653,523,82.6224,73.9962,3.0628
Apr 2024 to Mar 2025 Period 11,Fenny Stratford,816,811,100.0000,93.2182,0.6127
Apr 2024 to Mar 2025 Period 11,Fernhill,1707,1627,99.8160,89.4284,4.5108
Apr 2024 to Mar 2025 Period 11,Ferriby,1031,977,99.8978,76.2538,5.1406
Apr 2024 to Mar 2025 Period 11,Ferryside,751,733,99.5924,60.7094,1.9973
Apr 2024 to Mar 2025 Period 11,Ffairfach,208,90,45.2261,[u],4.3269
Apr 2024 to Mar 2025 Period 11,Filey,746,626,88.9205,81.3099,5.6300
Apr 2024 to Mar 2025 Period 11,Filton Abbey Wood,4211,4088,100.0000,84.8826,2.9209
Apr 2024 to Mar 2025 Period 11,Finchley Road and Frognal,7734,7288,99.9863,76.7563,5.7538
Apr 2024 to Mar 2025 Period 11,Finsbury Park,10792,10528,100.0000,78.5904,2.4463
Apr 2024 to Mar 2025 Period 11,Finstock,40,12,33.3333,[u],[u]
Apr 2024 to Mar 2025 Period 11,Fishbourne (Sussex),1224,1174,100.0000,78.1090,4.0850
Apr 2024 to Mar 2025 Period 11,Fishersgate,1290,1268,100.0000,89.1167,1.7054
Apr 2024 to Mar 2025 Period 11,Fishguard and Goodwick,232,152,70.0461,74.3421,6.4655
Apr 2024 to Mar 2025 Period 11,Fishguard Harbour,232,217,100.0000,71.8894,6.4655
Apr 2024 to Mar 2025 Period 11,Fiskerton,972,936,100.0000,77.5641,3.7037
Apr 2024 to Mar 2025 Period 11,Fitzwilliam,2036,1938,99.7940,70.4850,4.6169
Apr 2024 to Mar 2025 Period 11,Five Ways,3713,3659,99.9727,79.2566,1.4274
Apr 2024 to Mar 2025 Period 11,Fleet,2316,2229,99.5089,76.3571,3.2815
Apr 2024 to Mar 2025 Period 11,Flimby,931,755,83.9822,81.8543,3.4372
Apr 2024 to Mar 2025 Period 11,Flint,1988,1919,99.9479,73.5800,3.4205
Apr 2024 to Mar 2025 Period 11,Flitwick,4129,3839,100.0000,84.5272,7.0235
Apr 2024 to Mar 2025 Period 11,Flixton,1191,881,78.4506,77.5255,5.7095
Apr 2024 to Mar 2025 Period 11,Flowery Field,1799,1585,90.8830,87.0032,3.0573
Apr 2024 to Mar 2025 Period 11,Folkestone Central,2308,2285,100.0000,84.3764,0.9965
Apr 2024 to Mar 2025 Period 11,Folkestone West,2321,2297,99.9130,84.2838,0.9479
Apr 2024 to Mar 2025 Period 11,Ford,4806,4704,99.9787,84.9065,2.1015
Apr 2024 to Mar 2025 Period 11,Forest Gate,8258,7594,98.5466,84.6721,6.6844
Apr 2024 to Mar 2025 Period 11,Forest Hill,9042,8881,99.9887,91.6676,1.7695
Apr 2024 to Mar 2025 Period 11,Formby,3702,3550,100.0000,92.7887,4.1059
Apr 2024 to Mar 2025 Period 11,Forres,840,803,99.8756,82.3163,4.2857
Apr 2024 to Mar 2025 Period 11,Forsinard,184,176,98.3240,57.9545,2.7174
Apr 2024 to Mar 2025 Period 11,Fort Matilda,1667,1650,99.8789,93.9394,0.8998
Apr 2024 to Mar 2025 Period 11,Fort William,199,195,100.0000,84.6154,2.0101
Apr 2024 to Mar 2025 Period 11,Four Oaks,3641,3473,100.0000,81.8313,4.6141
Apr 2024 to Mar 2025 Period 11,Foxfield,946,844,98.7135,83.7678,9.6195
Apr 2024 to Mar 2025 Period 11,Foxton,1347,1298,100.0000,68.5670,3.6377
Apr 2024 to Mar 2025 Period 11,Frant,1342,1308,100.0000,64.6789,2.5335
Apr 2024 to Mar 2025 Period 11,Fratton,8170,7939,100.0000,78.4734,2.8274
Apr 2024 to Mar 2025 Period 11,Freshfield,3702,3546,99.9718,91.7654,4.1869
Apr 2024 to Mar 2025 Period 11,Freshford,1046,1015,99.4123,85.6158,2.3901
Apr 2024 to Mar 2025 Period 11,Frimley,1937,1874,99.9467,93.9701,3.2008
Apr 2024 to Mar 2025 Period 11,Frinton-on-Sea,1084,1079,100.0000,98.9805,0.4613
Apr 2024 to Mar 2025 Period 11,Frizinghall,4147,3897,100.0000,86.5538,6.0285
Apr 2024 to Mar 2025 Period 11,Frodsham,2207,1456,68.0374,78.7775,3.0358
Apr 2024 to Mar 2025 Period 11,Frome,1045,987,100.0000,68.8956,5.5502
Apr 2024 to Mar 2025 Period 11,Fulwell,2045,1909,100.0000,77.6323,6.6504
Apr 2024 to Mar 2025 Period 11,Furness Vale,1256,1231,100.0000,89.2770,1.9904
Apr 2024 to Mar 2025 Period 11,Furze Platt,1295,478,38.6419,[u],4.4788
Apr 2024 to Mar 2025 Period 11,Gainsborough Central,30,30,100.0000,[u],[u]
Apr 2024 to Mar 2025 Period 11,Gainsborough Lea Road,1140,1073,99.9069,84.7158,5.7895
Apr 2024 to Mar 2025 Period 11,Galashiels,1505,1449,99.8622,87.7847,3.5880
Apr 2024 to Mar 2025 Period 11,Garelochhead,304,298,100.0000,59.0604,1.9737
Apr 2024 to Mar 2025 Period 11,Garforth,2835,2655,96.6509,57.0998,3.1041
Apr 2024 to Mar 2025 Period 11,Gargrave,756,730,100.0000,79.5890,3.4392
Apr 2024 to Mar 2025 Period 11,Garrowhill,2986,2870,98.6254,87.5261,2.5452
Apr 2024 to Mar 2025 Period 11,Garscadden,3199,3078,100.0000,88.2391,3.7824
Apr 2024 to Mar 2025 Period 11,Garsdale,396,315,82.2454,86.0317,3.2828
Apr 2024 to Mar 2025 Period 11,Garston (Hertfordshire),1050,788,77.4828,98.9848,3.1429
Apr 2024 to Mar 2025 Period 11,Garswood,1775,1692,99.9409,86.9976,4.6197
Apr 2024 to Mar 2025 Period 11,Gartcosh,1552,770,49.7738,[u],0.3222
Apr 2024 to Mar 2025 Period 11,Garth (Bridgend County),898,571,66.3953,57.6182,4.2316
Apr 2024 to Mar 2025 Period 11,Garth (Powys),172,29,17.4699,[u],3.4884
Apr 2024 to Mar 2025 Period 11,Garve,184,184,100.0000,82.6087,0.0000
Apr 2024 to Mar 2025 Period 11,Gathurst,1592,560,41.9790,[u],16.2060
Apr 2024 to Mar 2025 Period 11,Gatley,2527,2346,99.9148,67.3487,7.0835
Apr 2024 to Mar 2025 Period 11,Gatwick Airport,17027,16130,100.0000,73.2796,5.2681
Apr 2024 to Mar 2025 Period 11,Georgemas Junction,368,355,99.4398,67.0423,2.9891
Apr 2024 to Mar 2025 Period 11,Gerrards Cross,3174,3150,100.0000,93.5873,0.7561
