PCON24CD,Aldi,Asda,Co-op,Lidl,Morrisons,Other,Sainsbury's,Tesco,Spar,M&S,Waitrose,All
E14001541,3,1,2,1,1,0,1,1,0,0,0,10
E14001542,2,0,5,2,2,3,1,1,0,1,0,17
E14001543,3,1,2,2,1,6,0,1,1,0,1,18
E14001544,1,1,6,3,1,6,0,2,1,0,0,21
E14001545,2,0,2,1,1,3,0,3,0,1,1,14
E14001546,1,1,4,2,1,5,1,1,0,0,0,16
E14001547,0,3,1,2,1,7,0,0,0,0,0,14
E14001548,0,0,4,2,2,1,0,2,1,1,0,13
E14001549,1,0,3,2,0,4,1,1,0,1,2,14
E14001550,1,0,0,1,0,4,1,0,0,1,0,8
E14001551,1,1,3,2,1,2,1,0,0,0,0,11
E14001552,1,1,5,3,2,3,0,2,0,0,1,18
E14001553,2,1,1,1,0,18,2,1,0,0,0,26
E14001554,1,1,2,2,0,4,2,1,3,1,1,18
E14001555,1,1,1,1,0,1,1,2,0,0,2,10
E14001556,0,0,2,2,0,3,2,1,0,1,2,13
E14001557,2,1,4,1,2,4,1,1,1,0,0,17
E14001558,3,1,0,3,0,3,2,1,0,0,0,13
E14001559,0,0,2,2,1,8,1,1,1,1,0,17
E14001560,3,1,3,1,3,8,2,0,0,1,0,22
E14001561,1,1,1,2,1,2,0,0,0,0,0,8
E14001562,1,2,3,1,2,9,1,1,0,0,0,20
E14001563,1,1,2,2,0,10,1,3,0,0,0,20
E14001564,3,1,4,2,0,4,2,0,1,0,0,17
E14001565,2,2,2,2,1,6,1,1,0,1,0,18
E14001566,1,1,3,2,1,0,2,1,0,0,0,11
E14001567,3,1,1,2,1,3,2,0,0,0,0,13
E14001568,1,1,1,1,1,2,2,1,0,1,0,11
E14001569,1,0,3,1,1,2,0,1,0,0,0,9
E14001570,0,0,1,0,0,2,1,1,1,0,1,7
E14001571,1,1,6,3,1,6,1,1,0,2,1,23
E14001572,1,0,1,2,1,3,2,2,0,0,1,13
E14001573,2,1,2,1,1,1,1,3,0,0,1,13
E14001574,3,0,2,1,0,5,1,1,0,0,0,13
E14001575,0,0,4,2,1,5,1,1,0,0,2,16
E14001576,1,1,2,3,1,11,1,1,0,0,0,21
E14001577,4,1,0,2,1,4,0,1,0,1,0,14
E14001578,3,0,3,1,0,7,2,3,0,0,1,20
E14001579,1,1,3,1,1,3,0,1,1,0,1,13
E14001580,1,1,2,1,1,4,1,0,0,0,0,11
E14001581,2,1,1,2,1,4,1,2,1,0,1,16
E14001582,1,0,2,0,2,3,1,0,0,1,0,10
E14001583,2,3,4,0,2,4,0,2,0,0,0,17
E14001584,3,1,2,0,1,3,0,1,0,0,0,11
E14001585,2,1,1,4,0,1,0,1,0,1,0,11
E14001586,1,0,1,1,1,5,2,2,0,0,2,15
E14001587,1,0,2,0,0,1,2,1,0,0,1,8
E14001588,1,0,5,0,0,2,0,1,0,0,2,11
E14001589,2,1,0,0,1,1,1,1,0,1,0,8
E14001590,2,2,3,1,1,4,1,2,0,0,0,16
E14001591,2,1,3,1,1,1,1,1,1,0,2,14
E14001592,1,2,5,0,1,6,2,0,0,0,2,19
E14001593,1,0,2,1,1,0,2,1,0,0,2,10
E14001594,4,1,3,1,0,5,1,0,0,0,0,15
E14001595,3,1,0,2,3,0,0,1,0,0,0,10
E14001596,1,1,1,1,1,3,1,1,1,0,0,11
E14001597,3,1,8,3,0,2,2,2,1,1,1,24
E14001598,3,2,1,3,2,3,0,1,2,0,0,17
E14001600,3,1,0,2,1,7,1,3,0,1,1,20
E14001601,2,1,2,1,1,5,1,2,1,0,0,16
E14001602,3,2,0,1,0,3,1,2,0,1,0,13
E14001603,1,1,2,4,1,0,1,3,1,0,1,15
E14001604,1,1,10,2,2,7,0,0,1,1,1,26
E14001605,2,1,3,1,0,3,2,2,0,1,0,15
N05000001,0,1,0,4,0,5,1,1,1,1,0,14
N05000002,0,1,1,4,0,2,0,6,7,1,0,21
N05000003,0,0,0,3,0,11,1,3,5,3,0,26
N05000004,0,1,0,2,0,3,1,2,4,0,0,13
N05000005,0,1,0,2,0,3,1,1,3,1,0,12
N05000006,0,1,0,3,0,11,1,3,7,1,0,27
N05000007,0,1,0,3,0,9,1,2,9,0,0,25
N05000008,0,0,0,1,0,7,1,2,7,0,0,18
N05000009,0,0,0,2,0,7,1,1,9,0,0,20
N05000010,0,1,0,2,0,6,0,2,7,0,0,18
N05000011,0,0,0,3,0,13,2,1,5,1,0,25
N05000012,0,0,0,2,0,8,1,2,10,0,0,23
N05000013,0,1,0,1,0,0,1,3,5,0,0,11
N05000015,0,2,0,2,0,6,0,1,8,0,0,19
N05000016,0,1,0,2,0,3,0,1,13,0,0,20
N05000017,0,1,0,4,0,5,0,5,6,2,0,23
S14000021,1,2,1,2,1,2,0,1,0,0,1,11
S14000027,0,0,4,0,0,4,0,1,1,0,0,10
S14000045,2,1,3,3,1,3,1,2,0,1,0,17
S14000048,1,1,4,2,2,1,1,2,0,0,0,14
S14000051,0,0,5,1,0,9,0,2,0,0,0,17
S14000060,1,2,4,2,0,3,1,2,1,1,0,17
S14000061,3,2,5,2,1,7,1,1,3,0,0,25
S14000062,2,2,5,3,1,3,0,4,2,0,0,22
S14000063,1,1,2,1,1,6,0,1,1,0,0,14
S14000064,1,3,2,1,1,3,0,1,1,0,0,13
S14000065,2,1,6,4,0,5,0,3,0,0,0,21
S14000066,2,1,2,1,1,4,1,2,0,0,0,14
S14000067,1,0,11,1,2,1,0,2,2,1,0,21
S14000068,3,1,0,3,1,10,2,3,0,1,0,24
S14000069,0,1,9,5,1,2,0,5,1,0,0,24
S14000070,2,1,1,2,1,10,0,2,1,1,0,21
S14000071,4,2,3,2,2,4,1,1,0,1,0,20
S14000072,2,1,3,2,0,1,0,2,0,1,0,12
S14000073,4,0,4,2,2,5,1,5,1,0,0,24
S14000074,1,0,7,0,0,3,1,3,3,0,0,18
S14000075,3,3,0,5,1,5,0,3,0,0,0,20
S14000076,2,2,2,0,0,3,0,3,0,0,0,12
S14000077,3,0,1,2,2,2,2,1,0,1,0,14
S14000078,2,1,2,6,1,7,1,1,0,1,0,22
S14000079,1,1,1,3,2,6,0,2,0,0,1,17
S14000080,2,0,0,0,1,3,1,0,0,1,1,9
S14000081,4,1,1,3,1,11,2,2,0,1,0,26
S14000082,0,0,2,2,1,8,1,3,0,0,0,17
S14000083,2,1,1,2,1,7,1,3,4,1,0,23
S14000084,5,1,1,3,2,12,0,1,0,0,0,25
S14000085,0,1,2,3,0,8,0,1,0,1,0,16
S14000086,1,1,2,3,1,4,0,1,1,0,0,14
S14000087,1,1,2,2,1,5,1,0,0,0,0,13
S14000088,1,1,2,3,1,3,1,1,1,0,0,14
S14000089,2,0,0,3,2,10,2,1,0,2,1,23
S14000090,1,1,2,1,1,2,0,0,0,1,0,9
S14000091,2,1,5,1,1,2,0,4,0,0,0,16
S14000092,2,2,3,3,2,0,1,2,0,1,0,16
S14000093,2,0,4,2,1,2,0,2,0,0,0,13
S14000094,3,1,10,2,2,6,0,4,3,1,0,32
S14000095,3,1,1,2,2,8,1,0,0,0,0,18
S14000096,3,2,3,1,0,2,0,2,0,0,0,13
S14000097,2,2,4,0,1,3,2,2,0,3,1,20
S14000098,2,1,10,2,0,5,1,3,0,1,0,25
S14000099,3,1,0,3,1,3,0,2,0,0,0,13
S14000100,3,0,2,2,1,1,1,1,0,1,0,12
S14000101,3,0,1,1,2,0,2,2,0,1,0,12
S14000102,3,1,1,1,3,0,0,1,0,0,0,10
S14000103,3,1,3,1,1,3,1,2,0,1,0,16
S14000104,2,1,1,3,1,2,0,3,0,1,0,14
S14000105,1,0,8,2,1,6,1,2,1,2,1,25
S14000106,2,2,3,1,1,2,0,0,0,1,0,12
S14000107,2,2,6,1,1,0,0,1,5,0,0,18
S14000108,2,1,9,2,1,0,2,1,0,1,0,19
S14000109,2,2,1,0,1,2,2,1,1,1,0,13
S14000110,2,1,2,1,2,1,1,4,0,0,0,14
S14000111,2,1,12,0,1,6,0,3,0,1,0,26
W07000081,2,2,0,1,1,4,0,2,0,0,0,12
W07000082,4,2,0,1,2,6,1,1,0,1,0,18
W07000083,2,3,5,2,1,1,1,2,2,1,0,20
W07000084,1,1,1,2,2,2,0,2,0,0,0,11
W07000085,2,1,3,1,1,4,0,3,1,0,0,16
W07000086,2,1,3,2,0,3,1,2,3,0,0,17
W07000087,1,0,7,2,1,6,0,2,0,0,0,19
W07000088,3,1,1,2,1,1,1,2,1,0,0,13
W07000089,1,0,0,2,1,6,1,1,0,0,0,12
W07000090,3,2,3,2,1,2,1,1,0,0,1,16
W07000091,1,1,2,3,1,6,1,2,1,1,0,19
W07000092,1,1,4,2,0,3,0,1,0,0,0,12
W07000093,1,0,3,1,1,6,1,2,1,0,0,16
W07000094,4,0,2,3,0,2,0,4,3,0,0,18
W07000095,4,1,7,2,3,3,1,1,2,0,0,24
W07000096,2,2,5,2,1,3,0,2,6,0,0,23
W07000097,3,1,4,1,0,3,1,2,1,2,0,18
W07000098,2,1,3,2,1,5,0,1,1,0,0,16
W07000099,2,2,2,2,0,1,0,2,0,0,0,11
W07000100,2,1,3,3,1,5,1,3,1,0,0,20
W07000101,2,1,4,2,1,1,0,1,0,2,2,16
W07000102,3,0,5,1,2,1,0,3,4,0,0,19
W07000103,2,1,2,3,2,4,0,3,3,0,0,20
W07000104,2,1,0,1,1,8,1,1,1,1,0,17
W07000105,2,2,0,2,1,3,0,2,2,0,0,14
W07000106,2,0,2,1,0,5,2,2,0,0,0,14
W07000107,1,1,2,3,1,2,0,0,2,0,0,12
W07000108,1,0,1,3,0,12,1,1,1,0,0,20
W07000109,2,1,1,1,1,2,1,1,1,0,0,11
W07000110,1,1,2,1,1,4,0,2,2,1,1,16
W07000111,3,1,0,3,1,7,1,1,1,1,0,19
W07000112,2,2,5,2,1,0,0,1,0,0,1,14
N05000018,0,2,0,3,0,6,0,0,7,0,0,18
N05000014,0,2,1,2,0,1,0,2,4,0,0,12
E14001599,1,1,2,1,1,12,0,1,1,0,1,21
