Constituency ID,Constituency Name,Region,A*-C % / 2011,A*-C % / 2012,A*-C % / 2013,A*-C % / 2014,A*-C % / 2015,A*-C % / 2016,A*-C % / 2017,A*-C % / 2018,A*-C % / 2019,A*-C % / 2020,A*-C % / 2021,A*-C % / 2022,KS4 Attainment 8 / 2011,KS4 Attainment 8 / 2012,KS4 Attainment 8 / 2013,KS4 Attainment 8 / 2014,KS4 Attainment 8 / 2015,KS4 Attainment 8 / 2016,KS4 Attainment 8 / 2017,KS4 Attainment 8 / 2018,KS4 Attainment 8 / 2019,KS4 Attainment 8 / 2020,KS4 Attainment 8 / 2021,KS4 Attainment 8 / 2022,KS2 met expected / 2022
E14000728,Harborough,East Midlands,64,64,64,62,65,71,70,68,72,76,77,78,,,,,,,47.5,47.2,48.33,,,52.90,67
E14000729,Harlow,East,46,54,53,61,57,61,58,58,53,70,66,59,,,,,,,43.1,42.1,41.18,,,41.00,60
E14000730,Harrogate and Knaresborough,Yorkshire and The Humber,72,74,76,71,74,73,76,77,77,81,82,79,,,,,,,52.3,52.5,52.67,,,54.00,62
E14000731,Harrow East,London,72,67,72,68,66,72,71,75,75,78,79,78,,,,,,,50.3,52.9,52.99,,,56.00,67
E14000732,Harrow West,London,66,65,65,63,61,65,73,68,70,74,73,73,,,,,,,50.9,51.2,51.41,,,54.20,70
E14000733,Hartlepool,North East,57,50,60,58,56,55,60,60,60,66,70,65,,,,,,,44.0,42.3,43.01,,,45.00,63
E14000734,Harwich and North Essex,East,55,55,59,61,52,59,56,51,56,61,67,62,,,,,,,41.1,39.1,42.71,,,44.80,55
E14000735,Hastings and Rye,South East,48,47,49,50,50,51,50,49,52,56,56,48,,,,,,,40.4,38.9,38.67,,,35.90,57
E14000736,Havant,South East,53,54,51,51,55,57,57,54,56,63,65,58,,,,,,,42.7,41.1,41.88,,,41.30,53
E14000737,Hayes and Harlington,London,51,58,59,52,54,59,62,62,64,71,70,76,,,,,,,46.0,45.3,46.41,,,50.60,63
E14000738,Hazel Grove,North West,63,67,67,55,52,57,61,58,59,62,67,65,,,,,,,43.0,42.0,42.33,,,45.20,57
E14000739,Hemel Hempstead,East,59,56,53,55,56,59,63,64,64,70,68,66,,,,,,,43.8,45.5,45.34,,,45.60,52
E14000740,Hemsworth,Yorkshire and The Humber,56,54,65,62,59,62,61,56,64,67,72,67,,,,,,,44.3,41.0,44.29,,,46.40,50
E14000741,Hendon,London,65,65,69,66,66,67,72,71,75,81,81,78,,,,,,,49.6,51.8,53.42,,,54.50,68
E14000742,Henley,South East,62,63,61,64,62,72,73,67,70,74,76,78,,,,,,,48.6,45.0,47.27,,,50.20,60
E14000743,Hereford and South Herefordshire,West Midlands,54,56,51,56,58,60,63,63,59,72,70,66,,,,,,,44.0,44.8,43.18,,,46.10,60
E14000744,Hertford and Stortford,East,75,72,73,74,75,76,78,79,78,83,83,82,,,,,,,53.5,53.7,52.59,,,55.80,62
E14000745,Hertsmere,East,67,66,64,70,68,71,73,75,72,79,77,75,,,,,,,51.1,53.5,51.09,,,53.50,59
E14000746,Hexham,North East,69,68,66,68,68,74,73,74,70,76,79,73,,,,,,,50.2,52.6,50.53,,,51.70,65
E14000747,Heywood and Middleton,North West,55,53,58,56,44,56,57,58,60,66,64,64,,,,,,,44.0,44.2,44.73,,,45.80,55
E14000748,High Peak,East Midlands,57,60,62,59,53,62,66,64,64,72,71,67,,,,,,,46.6,46.4,46.61,,,47.10,54
E14000749,Hitchin and Harpenden,East,79,77,78,80,79,81,80,81,84,88,86,84,,,,,,,54.8,56.7,57.80,,,58.60,70
E14000750,Holborn and St Pancras,London,62,60,62,65,59,65,68,69,69,74,77,77,,,,,,,48.9,49.6,49.40,,,53.90,68
E14000751,Hornchurch and Upminster,London,69,68,72,69,65,69,73,73,72,81,78,75,,,,,,,49.5,49.2,49.74,,,51.60,60
E14000752,Hornsey and Wood Green,London,63,64,68,64,62,68,66,64,67,74,76,75,,,,,,,48.8,47.6,50.13,,,53.40,70
E14000753,Horsham,South East,73,75,76,74,74,73,80,76,72,80,82,80,,,,,,,54.5,51.8,51.48,,,54.60,61
E14000754,Houghton and Sunderland South,North East,55,59,56,46,47,56,56,50,53,62,65,57,,,,,,,41.7,38.6,40.45,,,42.50,66
E14000755,Hove,South East,54,60,69,61,68,68,71,71,71,78,79,76,,,,,,,48.2,48.7,47.80,,,51.90,61
E14000756,Huddersfield,Yorkshire and The Humber,53,54,56,58,56,55,53,54,51,61,61,57,,,,,,,40.5,39.6,38.60,,,40.70,51
E14000757,Huntingdon,East,59,54,56,54,57,65,64,61,63,69,68,69,,,,,,,44.0,44.1,45.06,,,48.30,56
E14000758,Hyndburn,North West,58,60,62,51,54,58,60,62,59,65,67,62,,,,,,,43.4,43.7,43.29,,,44.70,51
E14000759,Ilford North,London,65,66,66,64,62,67,70,70,73,76,76,76,,,,,,,49.0,50.8,51.72,,,54.90,70
E14000760,Ilford South,London,69,73,72,70,60,71,73,75,76,79,78,78,,,,,,,50.5,52.8,53.55,,,54.80,69
E14000761,Ipswich,East,55,51,54,45,55,55,62,60,59,69,66,68,,,,,,,44.7,44.8,43.88,,,46.00,53
E14000762,Isle of Wight,South East,50,45,51,48,51,52,55,55,58,68,67,61,,,,,,,40.1,40.8,41.75,,,43.70,46
E14000763,Islington North,London,52,57,62,58,52,56,56,58,58,65,71,66,,,,,,,41.9,43.7,43.82,,,47.40,64
E14000764,Islington South and Finsbury,London,47,51,69,69,71,77,76,72,70,79,76,76,,,,,,,50.7,49.9,48.61,,,52.80,63
E14000765,Jarrow,North East,57,56,59,48,59,58,54,59,51,63,66,62,,,,,,,41.0,41.7,40.63,,,44.60,58
E14000766,Keighley,Yorkshire and The Humber,55,60,60,50,52,57,59,58,55,63,65,58,,,,,,,43.5,44.7,43.35,,,44.70,58
E14000767,Kenilworth and Southam,West Midlands,70,75,79,75,76,79,78,81,79,84,84,79,,,,,,,52.6,53.3,53.98,,,55.40,66
E14000768,Kensington,London,77,85,84,81,73,81,80,78,77,84,84,80,,,,,,,57.5,55.1,55.96,,,54.70,73
E14000769,Kettering,East Midlands,58,57,58,59,54,59,63,66,68,71,74,70,,,,,,,44.7,47.1,48.28,,,48.90,57
E14000770,Kingston and Surbiton,London,69,67,69,69,72,74,75,76,75,79,82,78,,,,,,,52.7,54.6,53.23,,,56.30,62
E14000771,Kingston upon Hull East,Yorkshire and The Humber,48,50,51,46,44,46,52,57,56,61,63,55,,,,,,,42.2,42.3,42.69,,,42.80,57
E14000772,Kingston upon Hull North,Yorkshire and The Humber,51,52,53,54,61,59,54,61,57,68,70,64,,,,,,,45.3,46.2,46.03,,,46.40,60
E14000773,Kingston upon Hull West and Hessle,Yorkshire and The Humber,44,53,53,52,49,56,51,56,56,64,65,61,,,,,,,42.3,42.5,43.31,,,43.60,56
E14000774,Kingswood,South West,52,53,53,55,56,57,57,59,58,69,69,66,,,,,,,40.2,42.3,41.29,,,46.20,60
E14000775,Knowsley,North West,37,37,41,35,39,36,45,38,39,51,53,49,,,,,,,35.7,34.0,33.58,,,36.10,55
E14000776,Lancaster and Fleetwood,North West,72,66,70,73,75,70,76,74,74,80,79,76,,,,,,,52.0,52.9,52.55,,,55.50,58
E14000777,Leeds Central,Yorkshire and The Humber,34,38,40,31,35,40,42,40,44,50,51,50,,,,,,,35.3,34.1,35.72,,,38.50,46
E14000778,Leeds East,Yorkshire and The Humber,48,51,50,45,48,50,51,52,50,55,59,56,,,,,,,41.0,39.7,39.71,,,40.50,48
E14000779,Leeds North East,Yorkshire and The Humber,51,51,60,53,62,63,66,65,67,76,76,75,,,,,,,46.4,46.7,48.24,,,51.20,64
E14000780,Leeds North West,Yorkshire and The Humber,58,59,54,59,58,62,63,63,63,73,76,67,,,,,,,47.3,47.1,46.40,,,48.80,69
E14000781,Leeds West,Yorkshire and The Humber,45,47,53,50,54,56,56,61,64,65,66,67,,,,,,,44.4,45.5,46.06,,,47.80,49
E14000782,Leicester East,East Midlands,60,55,62,60,58,61,61,60,59,65,68,67,,,,,,,44.2,44.3,45.19,,,48.50,59
E14000783,Leicester South,East Midlands,52,50,58,51,54,57,57,56,55,62,62,65,,,,,,,43.5,43.8,42.93,,,46.00,59
E14000784,Leicester West,East Midlands,42,49,43,46,45,52,48,51,51,59,64,60,,,,,,,41.2,39.5,41.52,,,44.70,56
E14000785,Leigh,North West,55,63,66,60,61,63,62,59,64,71,71,69,,,,,,,46.6,45.7,45.57,,,48.40,59
E14000786,Lewes,London,65,61,63,58,61,67,66,67,70,75,76,74,,,,,,,46.7,49.2,48.63,,,51.60,57
E14000787,Lewisham East,London,56,52,56,53,53,56,60,59,57,63,65,64,,,,,,,43.7,42.8,42.39,,,43.70,57
E14000788,Lewisham West and Penge,London,54,61,63,58,59,53,59,62,60,73,73,74,,,,,,,44.3,45.6,45.56,,,52.30,61
E14000789,"Lewisham, Deptford",London,62,59,60,57,51,61,60,65,61,67,68,66,,,,,,,45.9,47.5,45.02,,,49.40,64
E14000790,Leyton and Wanstead,London,54,58,62,59,59,70,64,66,69,77,74,73,,,,,,,47.1,47.3,48.06,,,50.70,75
E14000791,Lichfield,West Midlands,62,62,66,68,66,69,72,70,71,77,78,77,,,,,,,48.9,49.3,51.14,,,53.60,63
E14000792,Lincoln,East Midlands,58,56,56,57,54,57,59,54,58,66,63,60,,,,,,,45.0,43.4,42.78,,,42.50,53
E14000793,"Liverpool, Riverside",North West,63,65,69,67,63,69,72,74,69,77,78,72,,,,,,,49.5,50.4,48.30,,,51.50,58
E14000794,"Liverpool, Walton",North West,48,48,45,45,42,45,46,47,45,56,57,47,,,,,,,38.9,38.3,37.77,,,37.60,50
E14000795,"Liverpool, Wavertree",North West,55,62,63,60,61,61,64,63,61,67,72,73,,,,,,,50.5,48.2,46.85,,,52.90,59
E14000796,"Liverpool, West Derby",North West,63,60,58,51,50,58,58,57,59,72,64,60,,,,,,,41.9,43.0,43.61,,,44.70,50
E14000797,Loughborough,East Midlands,59,59,54,56,58,64,68,66,64,72,74,71,,,,,,,45.0,45.8,46.29,,,50.00,61
E14000798,Louth and Horncastle,East Midlands,57,63,64,57,54,64,64,62,62,71,70,66,,,,,,,45.7,45.8,46.84,,,47.70,54
E14000799,Ludlow,West Midlands,61,62,61,55,60,67,71,63,71,75,74,68,,,,,,,47.8,47.0,48.44,,,48.70,59
E14000800,Luton North,East,58,60,59,60,58,58,57,59,60,66,65,66,,,,,,,43.4,43.6,42.92,,,46.60,61
E14000801,Luton South,East,56,54,60,54,52,54,56,53,56,63,65,59,,,,,,,44.2,42.4,43.68,,,44.40,61
E14000802,Macclesfield,North West,63,64,68,67,68,72,73,75,74,80,78,78,,,,,,,50.8,52.0,51.40,,,54.10,60
E14000803,Maidenhead,South East,66,61,71,67,67,75,77,75,73,81,81,78,,,,,,,51.4,51.6,50.77,,,52.80,65
E14000804,Maidstone and The Weald,South East,70,71,74,71,71,75,71,73,75,80,81,76,,,,,,,51.0,52.4,53.03,,,53.90,59
E14000805,Makerfield,North West,61,67,65,65,60,63,66,66,66,72,70,70,,,,,,,46.7,45.6,46.03,,,48.20,63
E14000806,Maldon,East,60,56,58,59,62,67,62,62,61,66,73,69,,,,,,,45.2,45.3,44.20,,,46.50,57
E14000807,Manchester Central,North West,52,55,60,51,47,55,54,55,52,65,65,63,,,,,,,42.7,43.0,41.47,,,48.10,50
E14000808,"Manchester, Gorton",North West,54,55,54,56,51,55,57,60,62,67,67,68,,,,,,,45.0,46.2,46.96,,,49.30,52
E14000809,"Manchester, Withington",North West,58,62,60,64,54,61,61,61,64,71,69,73,,,,,,,46.2,46.1,45.73,,,50.80,59
E14000810,Mansfield,East Midlands,53,56,58,56,52,57,57,58,60,66,66,63,,,,,,,42.2,42.2,42.87,,,44.90,56
E14000811,Meon Valley,South East,60,55,61,59,62,67,66,66,70,74,73,71,,,,,,,46.7,47.0,46.28,,,47.10,60
E14000812,Meriden,West Midlands,56,58,62,54,56,62,60,62,62,70,72,67,,,,,,,45.4,45.4,45.70,,,47.10,59
E14000813,Mid Bedfordshire,East,72,68,68,60,63,68,76,74,73,75,76,75,,,,,,,48.9,49.0,47.96,,,49.10,53
E14000814,Mid Derbyshire,East Midlands,73,68,73,72,73,74,76,75,75,78,79,76,,,,,,,50.9,50.4,51.69,,,52.80,66
E14000815,Mid Dorset and North Poole,South West,61,57,61,60,59,67,70,74,74,78,79,79,,,,,,,49.5,51.0,51.87,,,52.10,60
E14000816,Mid Norfolk,East,62,59,61,61,64,68,68,70,68,73,77,75,,,,,,,46.4,48.2,46.61,,,50.70,53
E14000817,Mid Sussex,South East,66,61,63,62,68,74,71,72,69,76,78,72,,,,,,,48.0,49.9,48.36,,,51.60,60
E14000818,Mid Worcestershire,West Midlands,57,61,59,55,60,66,64,63,65,69,71,66,,,,,,,44.6,45.0,45.34,,,45.60,53
E14000819,Middlesbrough,North East,40,48,49,51,49,54,57,58,57,64,64,58,,,,,,,42.8,41.9,41.33,,,42.50,57
E14000820,Middlesbrough South and East Cleveland,North East,51,55,56,52,51,57,59,62,57,68,70,70,,,,,,,42.5,43.4,41.99,,,47.20,62
E14000821,Milton Keynes North,South East,49,61,63,52,58,60,65,61,66,69,71,65,,,,,,,45.9,45.6,46.71,,,46.60,61
E14000822,Milton Keynes South,South East,55,58,61,50,52,60,61,60,59,65,68,67,,,,,,,44.3,43.9,43.92,,,46.60,57
E14000823,Mitcham and Morden,London,49,52,57,54,44,61,58,58,55,66,57,61,,,,,,,43.2,43.1,44.55,,,45.60,59
E14000824,Mole Valley,South East,66,66,72,65,67,68,71,68,68,74,76,76,,,,,,,48.9,48.9,48.84,,,52.60,64
E14000825,Morecambe and Lunesdale,North West,50,44,51,49,50,48,48,52,48,54,57,51,,,,,,,39.6,39.6,38.03,,,39.10,47
E14000826,Morley and Outwood,Yorkshire and The Humber,64,66,72,68,73,76,76,77,76,80,81,79,,,,,,,51.9,49.8,50.31,,,52.30,64
E14000827,New Forest East,South East,55,54,54,57,57,65,64,63,63,70,71,63,,,,,,,44.4,45.6,45.06,,,44.60,65
E14000828,New Forest West,South East,68,66,66,67,71,72,73,75,75,77,81,78,,,,,,,49.0,51.2,49.82,,,52.10,64
E14000829,Newark,East Midlands,65,68,70,67,60,69,72,74,74,77,77,76,,,,,,,50.1,50.4,50.72,,,51.40,59
E14000830,Newbury,South East,66,62,62,65,67,69,69,71,68,75,77,75,,,,,,,47.8,49.5,47.83,,,52.50,54
E14000831,Newcastle upon Tyne Central,North East,52,59,56,60,58,63,52,57,55,64,63,59,,,,,,,42.5,43.7,42.80,,,44.50,58
E14000832,Newcastle upon Tyne East,North East,53,53,56,60,56,60,61,62,61,67,67,64,,,,,,,43.0,44.8,43.58,,,46.80,65
E14000833,Newcastle upon Tyne North,North East,54,55,61,63,64,62,57,66,58,73,76,69,,,,,,,44.7,47.5,44.55,,,50.20,64
E14000834,Newcastle-under-Lyme,West Midlands,60,64,63,54,56,55,59,53,52,67,67,60,,,,,,,43.0,41.2,40.45,,,43.90,60
E14000835,Newton Abbot,South West,57,58,57,58,54,62,60,60,59,74,70,66,,,,,,,43.9,43.8,43.56,,,44.50,50
E14000836,"Normanton, Pontefract and Castleford",Yorkshire and The Humber,57,55,60,51,58,59,56,61,66,70,70,68,,,,,,,43.8,45.4,45.11,,,48.70,59
E14000837,North Cornwall,South West,50,55,58,54,57,60,59,57,61,66,66,60,,,,,,,44.8,43.8,44.22,,,44.30,50
E14000838,North Devon,South West,54,51,57,49,57,62,62,61,64,69,68,67,,,,,,,45.0,44.4,45.68,,,48.00,51
E14000839,North Dorset,South West,60,57,58,61,60,62,62,67,66,72,76,72,,,,,,,43.7,47.6,45.93,,,49.20,60
E14000840,North Durham,North East,61,62,62,56,56,61,54,54,55,63,70,64,,,,,,,42.5,41.8,42.18,,,47.60,61
E14000841,North East Bedfordshire,East,55,51,61,65,61,65,65,61,63,70,71,69,,,,,,,45.9,45.1,45.48,,,48.30,53
E14000842,North East Cambridgeshire,East,46,49,54,54,51,58,50,53,54,62,65,57,,,,,,,39.8,41.4,41.62,,,40.80,49
E14000843,North East Derbyshire,East Midlands,64,61,60,59,62,69,62,63,65,72,71,68,,,,,,,45.3,44.7,47.00,,,47.30,57
E14000844,North East Hampshire,South East,74,70,75,69,71,80,76,78,81,84,85,81,,,,,,,51.8,51.3,52.86,,,54.40,67
E14000845,North East Hertfordshire,East,64,63,66,67,59,62,65,67,66,68,72,71,,,,,,,45.6,47.4,47.50,,,50.70,50
E14000846,North East Somerset,South West,66,55,63,63,68,70,70,67,67,74,78,73,,,,,,,47.3,47.0,47.62,,,50.20,64
E14000847,North Herefordshire,West Midlands,64,59,65,67,65,65,68,67,68,75,78,69,,,,,,,47.9,47.6,47.22,,,47.60,61
E14000848,North Norfolk,East,55,59,55,59,57,62,63,61,61,66,70,66,,,,,,,44.1,42.6,44.52,,,46.90,47
E14000849,North Shropshire,West Midlands,60,55,58,58,55,60,62,62,63,69,73,65,,,,,,,44.9,44.5,44.80,,,45.80,50
E14000850,North Somerset,South West,63,60,60,62,67,72,73,72,72,77,81,75,,,,,,,48.4,49.6,49.14,,,52.40,64
E14000851,North Swindon,South West,48,48,54,49,54,58,59,60,64,68,70,62,,,,,,,40.5,42.1,44.50,,,44.00,58
E14000852,North Thanet,South East,38,46,51,44,42,45,43,43,47,58,55,55,,,,,,,32.9,35.4,35.75,,,37.80,56
E14000853,North Tyneside,North East,53,61,59,54,57,60,55,56,56,63,66,65,,,,,,,42.8,43.0,42.94,,,46.00,54
E14000854,North Warwickshire,West Midlands,48,54,57,47,56,57,58,59,64,69,71,58,,,,,,,42.3,43.2,43.79,,,42.00,58
E14000855,North West Cambridgeshire,East,57,57,62,60,59,64,60,63,62,70,72,70,,,,,,,44.9,45.4,44.96,,,50.00,59
E14000856,North West Durham,North East,66,64,66,64,59,65,62,64,61,76,71,68,,,,,,,48.9,47.8,46.93,,,49.10,59
E14000857,North West Hampshire,South East,52,57,58,59,60,64,67,66,65,72,72,67,,,,,,,44.7,46.4,46.23,,,46.90,53
E14000858,North West Leicestershire,East Midlands,56,60,58,55,54,63,60,64,61,67,66,63,,,,,,,42.8,45.2,43.32,,,43.60,59
E14000859,North West Norfolk,East,47,53,55,49,53,52,55,54,54,66,67,60,,,,,,,41.4,41.0,40.17,,,42.10,51
E14000860,North Wiltshire,South West,62,57,64,57,62,73,69,74,70,74,75,71,,,,,,,47.6,50.0,48.35,,,50.30,61
E14000861,Northampton North,East Midlands,46,48,50,49,44,54,55,53,53,60,66,67,,,,,,,40.8,40.2,41.43,,,47.30,54
E14000862,Northampton South,East Midlands,62,58,66,61,69,71,76,80,75,81,76,73,,,,,,,52.0,52.9,51.47,,,50.60,59
E14000863,Norwich North,East,57,59,54,53,56,63,62,65,64,70,68,66,,,,,,,44.7,46.5,46.75,,,45.00,51
E14000864,Norwich South,East,55,54,49,54,51,57,63,62,63,71,73,65,,,,,,,43.2,45.2,45.58,,,46.20,47
E14000865,Nottingham East,East Midlands,43,43,49,43,45,49,45,49,50,53,54,55,,,,,,,39.1,39.0,41.74,,,41.70,58
E14000866,Nottingham North,East Midlands,35,39,42,38,33,33,35,43,39,51,51,51,,,,,,,33.6,34.9,35.00,,,39.20,50
E14000867,Nottingham South,East Midlands,57,62,59,59,56,62,63,66,65,73,77,73,,,,,,,44.9,47.0,47.88,,,50.50,62
E14000868,Nuneaton,West Midlands,54,56,57,56,53,60,61,57,61,66,68,66,,,,,,,44.7,42.9,44.02,,,44.90,56
E14000869,Old Bexley and Sidcup,London,71,72,74,72,75,75,78,75,75,80,80,78,,,,,,,53.2,52.6,53.38,,,55.90,68
E14000870,Oldham East and Saddleworth,North West,65,62,65,58,61,64,64,65,62,68,71,63,,,,,,,45.6,46.4,43.97,,,45.40,54
E14000871,Oldham West and Royton,North West,51,56,54,54,48,52,58,55,54,59,62,63,,,,,,,42.5,42.3,41.24,,,44.20,50
E14000872,Orpington,London,76,77,75,70,72,77,79,75,76,79,80,79,,,,,,,57.4,55.5,55.71,,,57.80,66
E14000873,Oxford East,South East,42,43,50,51,54,49,55,49,50,61,62,58,,,,,,,42.3,37.4,40.05,,,42.70,53
E14000874,Oxford West and Abingdon,South East,61,59,62,67,63,68,73,73,71,77,77,77,,,,,,,50.6,52.0,50.96,,,54.30,61
E14000875,Pendle,North West,51,48,52,45,49,49,54,58,55,60,61,57,,,,,,,40.7,42.1,40.81,,,41.60,57
E14000876,Penistone and Stocksbridge,Yorkshire and The Humber,55,57,68,59,62,65,65,65,63,72,72,74,,,,,,,47.7,46.9,47.29,,,52.30,65
E14000877,Penrith and The Border,North West,65,65,65,65,67,70,73,70,66,73,77,71,,,,,,,49.1,48.2,47.40,,,49.50,58
E14000878,Peterborough,East,47,46,53,49,48,50,52,50,53,59,58,61,,,,,,,40.9,40.0,41.29,,,43.20,51
E14000879,"Plymouth, Moor View",South West,46,46,52,44,44,44,42,42,40,59,63,58,,,,,,,36.2,36.2,35.52,,,41.60,55
E14000880,"Plymouth, Sutton and Devonport",South West,73,71,73,73,67,70,69,70,68,76,79,73,,,,,,,51.7,52.0,50.61,,,54.10,59
E14000881,Poole,South West,57,61,65,62,69,72,76,73,76,81,80,81,,,,,,,53.4,50.5,53.39,,,55.70,59
E14000882,Poplar and Limehouse,London,59,62,61,54,63,61,62,62,65,67,70,67,,,,,,,45.2,45.3,46.37,,,47.90,71
E14000883,Portsmouth North,South East,49,56,47,51,51,54,55,53,53,63,67,59,,,,,,,41.0,39.0,39.13,,,41.70,46
E14000884,Portsmouth South,South East,42,47,52,57,55,66,65,65,61,68,70,65,,,,,,,44.7,44.7,43.63,,,45.60,53
E14000885,Preston,North West,50,52,49,51,53,55,54,64,57,70,72,68,,,,,,,41.3,45.3,43.67,,,46.80,52
E14000886,Pudsey,Yorkshire and The Humber,65,66,67,61,65,67,66,71,68,77,82,76,,,,,,,47.0,48.4,48.29,,,51.40,69
E14000887,Putney,London,60,57,62,59,54,70,75,73,68,73,71,77,,,,,,,50.7,51.1,48.62,,,53.10,65
E14000888,Rayleigh and Wickford,East,64,64,63,66,64,63,67,58,63,69,73,68,,,,,,,45.3,42.3,44.07,,,45.80,64
E14000889,Reading East,South East,66,70,69,69,72,73,76,70,73,81,80,75,,,,,,,55.9,55.2,56.03,,,56.40,58
E14000890,Reading West,South East,46,47,56,52,52,54,57,55,53,64,66,59,,,,,,,41.4,41.2,41.26,,,44.80,53
E14000891,Redcar,North East,57,54,56,52,58,63,62,62,64,71,73,70,,,,,,,45.1,44.0,44.62,,,47.60,65
E14000892,Redditch,West Midlands,55,65,69,61,56,61,59,62,61,67,65,59,,,,,,,43.3,44.2,43.87,,,43.10,54
E14000893,Reigate,South East,63,58,63,63,63,66,70,69,71,77,81,74,,,,,,,48.1,48.9,47.78,,,51.50,63
E14000894,Ribble Valley,North West,69,61,65,67,66,67,68,70,71,75,77,70,,,,,,,48.1,49.4,49.38,,,48.70,61
E14000895,Richmond (Yorks),Yorkshire and The Humber,65,67,64,62,63,66,69,61,62,71,72,69,,,,,,,47.5,45.6,45.28,,,48.40,51
E14000896,Richmond Park,London,70,75,78,74,77,82,82,81,82,85,87,89,,,,,,,59.6,59.4,60.11,,,64.00,77
E14000897,Rochdale,North West,54,53,57,57,54,61,56,60,55,65,63,58,,,,,,,41.6,43.0,41.27,,,42.30,58
E14000898,Rochester and Strood,South East,63,66,67,67,71,73,68,70,73,78,76,72,,,,,,,50.2,49.4,51.42,,,53.20,59
E14000899,Rochford and Southend East,East,58,53,52,59,60,63,66,64,66,65,71,66,,,,,,,46.6,47.0,46.57,,,50.00,52
E14000900,Romford,London,61,57,60,60,55,59,64,64,70,74,76,68,,,,,,,45.1,44.8,47.70,,,48.50,64
E14000901,Romsey and Southampton North,South East,66,59,63,59,67,71,69,68,67,72,73,73,,,,,,,47.4,47.8,48.08,,,51.10,58
E14000902,Rossendale and Darwen,North West,59,59,56,53,57,61,63,58,67,72,74,65,,,,,,,45.1,44.3,47.65,,,45.90,58
E14000903,Rother Valley,Yorkshire and The Humber,67,65,72,71,67,69,63,64,64,73,73,68,,,,,,,46.1,45.2,45.50,,,47.90,62
E14000904,Rotherham,Yorkshire and The Humber,51,61,57,54,51,56,56,57,57,68,68,64,,,,,,,44.6,42.9,43.70,,,45.70,51
E14000905,Rugby,West Midlands,64,66,70,65,60,66,72,74,73,78,77,72,,,,,,,50.8,52.7,51.57,,,52.30,60
E14000906,"Ruislip, Northwood and Pinner",London,63,66,66,68,64,70,71,69,70,79,78,76,,,,,,,48.4,49.1,48.91,,,52.20,66
E14000907,Runnymede and Weybridge,South East,67,65,73,57,70,73,79,75,77,81,77,81,,,,,,,53.8,51.6,52.41,,,54.50,70
E14000908,Rushcliffe,East Midlands,74,72,75,70,71,76,77,78,79,82,84,82,,,,,,,53.4,54.2,54.70,,,56.90,72
E14000909,Rutland and Melton,East Midlands,58,59,66,59,67,72,73,72,72,79,79,77,,,,,,,50.1,49.9,49.15,,,51.40,61
E14000910,Saffron Walden,East,67,67,60,64,67,73,70,68,69,74,78,70,,,,,,,49.2,49.3,49.24,,,50.10,65
E14000911,Salford and Eccles,North West,50,51,55,47,50,52,52,54,52,57,62,60,,,,,,,40.1,40.0,38.17,,,42.90,50
E14000912,Salisbury,South West,66,66,59,64,68,71,65,72,74,79,76,71,,,,,,,48.8,51.7,54.03,,,52.20,55
E14000913,Scarborough and Whitby,Yorkshire and The Humber,54,57,57,51,52,56,57,55,54,69,65,61,,,,,,,41.6,40.9,40.28,,,42.50,45
E14000914,Scunthorpe,Yorkshire and The Humber,47,50,51,55,58,62,64,61,60,69,66,62,,,,,,,43.0,42.6,41.65,,,42.60,59
E14000915,Sedgefield,North East,54,60,65,65,64,60,63,64,65,71,76,69,,,,,,,46.7,45.3,46.33,,,49.10,56
E14000916,Sefton Central,North West,62,63,66,58,61,64,65,68,63,72,75,70,,,,,,,46.8,46.9,45.32,,,48.70,67
E14000917,Selby and Ainsty,Yorkshire and The Humber,60,63,63,58,61,67,71,68,70,73,76,74,,,,,,,48.8,47.1,48.18,,,50.30,60
E14000918,Sevenoaks,London,43,44,40,45,43,44,49,47,60,70,70,62,,,,,,,39.2,38.7,41.94,,,44.50,65
E14000919,Sheffield Central,Yorkshire and The Humber,46,51,64,64,62,63,56,57,58,64,64,60,,,,,,,45.1,43.6,45.54,,,43.50,53
E14000920,Sheffield South East,Yorkshire and The Humber,49,60,61,54,56,58,53,53,55,64,67,60,,,,,,,44.1,42.7,42.92,,,43.90,56
E14000921,"Sheffield, Brightside and Hillsborough",Yorkshire and The Humber,33,43,45,45,42,45,44,42,42,53,55,50,,,,,,,37.4,34.0,35.14,,,37.10,47
E14000922,"Sheffield, Hallam",Yorkshire and The Humber,68,67,69,68,67,75,75,76,75,80,80,81,,,,,,,51.4,52.6,53.14,,,54.80,69
E14000923,"Sheffield, Heeley",Yorkshire and The Humber,46,50,52,51,49,55,58,58,58,60,60,63,,,,,,,41.7,44.4,43.25,,,44.60,54
E14000924,Sherwood,East Midlands,56,57,61,53,49,60,57,59,60,68,68,62,,,,,,,44.8,43.8,44.73,,,45.00,62
E14000925,Shipley,Yorkshire and The Humber,55,65,61,58,57,64,64,63,61,73,74,68,,,,,,,45.4,45.1,44.31,,,47.40,65
E14000926,Shrewsbury and Atcham,West Midlands,59,60,63,59,60,63,66,64,66,70,71,67,,,,,,,46.3,45.5,44.78,,,45.90,54
E14000927,Sittingbourne and Sheppey,South East,55,57,57,46,56,60,55,57,54,64,62,58,,,,,,,42.6,42.3,40.56,,,42.70,53
E14000928,Skipton and Ripon,Yorkshire and The Humber,72,72,70,69,71,76,80,74,78,79,82,77,,,,,,,56.4,53.5,54.82,,,53.50,60
