const_id,const_name,2023,GE 2019,2019 party,2019 MP,2019 electorate,2019 turnout,Pre GE 2019,GE 2017,2017 turnout,GE 2015
E14001045,Witham,Con,Con,Conservative and Unionist Party,Priti Patel,70402,70.1,Con,Con,71.5,Con
E14001046,Witney,Con,Con,Conservative and Unionist Party,Robert Alexander Courts,,,Con,Con,73.8,Con
E14001047,Woking,Con,Con,Conservative and Unionist Party,Jonathan Lord,,,Con,Con,72.7,Con
E14001048,Wokingham,Con,Con,Conservative and Unionist Party,John Redwood,83953,73.8,Con,Con,75.7,Con
E14001049,Wolverhampton North East,Con,Con,Conservative and Unionist Party,Jane Stevenson,,,Lab,Lab,60.2,Lab
E14001050,Wolverhampton South East,Lab,Lab,Labour Party,Pat McFadden,,,Lab,Lab,60.3,Lab
E14001051,Wolverhampton South West,Con,Con,Conservative and Unionist Party,Stuart Paul Anderson,,,Lab,Lab,70.8,Lab
E14001052,Worcester,Con,Con,Conservative and Unionist Party,Robin Walker,73403,69.3,Con,Con,69.7,Con
E14001053,Workington,Con,Con,Conservative and Unionist Party,Mark Jenkinson,61370,67.8,Lab,Lab,69.2,Lab
E14001054,Worsley and Eccles South,Lab,Lab,Labour Party,Barbara Keeley,75219,59.6,Lab,Lab,62.1,Lab
E14001055,Worthing West,Con,Con,Conservative and Unionist Party,Peter Bottomley,78587,69.5,Con,Con,70.2,Con
E14001056,Wycombe,Con,Con,Conservative and Unionist Party,Steve Baker,78094,70.1,Con,Con,69.6,Con
E14001057,Wyre and Preston North,Con,Con,Conservative and Unionist Party,Ben Wallace,,,Con,Con,73,Con
E14001058,Wyre Forest,Con,Con,Conservative and Unionist Party,Mark Garnier,78079,64.8,Con,Con,65.9,Con
E14001059,Wythenshawe and Sale East,Lab,Lab,Labour Party,Mike Kane,76313,58.7,Lab,Lab,60.1,Lab
E14001060,Yeovil,Con,Con,Conservative and Unionist Party,Marcus Fysh,,,Con,Con,71.8,Con
E14001061,York Central,Lab,Lab,Labour and Co-operative Party,Rachael Maskell,74801,66.2,Lab,Lab,68.9,Lab
E14001062,York Outer,Con,Con,Conservative and Unionist Party,Julian Sturdy,74586,74.2,Con,Con,75.9,Con
N06000001,Belfast East,DUP,DUP,Democratic Unionist Party - D.U.P.,Gavin Robinson,66245,64.1,DUP,DUP,67.7,DUP
N06000002,Belfast North,SF,SF,Sinn Féin,John Finucane,72225,67.9,DUP,DUP,67.5,DUP
N06000003,Belfast South,SDLP,SDLP,SDLP (Social Democratic & Labour Party),Claire Hanna,69984,67.7,DUP,DUP,66.3,SDLP
N06000004,Belfast West,SF,SF,Sinn Féin,Paul Maskey,65644,59.1,SF,SF,65.4,SF
N06000005,East Antrim,DUP,DUP,Democratic Unionist Party - D.U.P.,Sammy Wilson,64830,57.5,DUP,DUP,60.8,DUP
N06000006,East Londonderry,DUP,DUP,Democratic Unionist Party - D.U.P.,Gregory Campbell,69246,56.8,DUP,DUP,61.4,DUP
N06000007,Fermanagh and South Tyrone,SF,SF,Sinn Féin,Michelle Gildernew,72848,69.7,SF,SF,76.1,UUP
N06000008,Foyle,SDLP,SDLP,SDLP (Social Democratic & Labour Party),Colum Eastwood,74346,63.4,SF,SF,65.6,SDLP
N06000009,Lagan Valley,DUP,DUP,Democratic Unionist Party - D.U.P.,Jeffrey M. Donaldson,75735,60,DUP,DUP,62.2,DUP
N06000010,Mid Ulster,SF,SF,Sinn Féin,Francie Molloy,70449,63.3,SF,SF,68.6,SF
N06000011,Newry and Armagh,SF,SF,Sinn Féin,Mickey Brady,81226,62.5,SF,SF,68.9,SF
N06000012,North Antrim,DUP,DUP,Democratic Unionist Party - D.U.P.,Ian Paisley Jr,77134,57.1,DUP,DUP,64.2,DUP
N06000013,North Down,Alliance,Alliance,Alliance - Alliance Party of Northern Ireland,Stephen Anthony Farry,67099,60.6,Ind,Ind,61,Ind
N06000014,South Antrim,DUP,DUP,Democratic Unionist Party - D.U.P.,Paul Girvan,71711,59.9,DUP,DUP,63.4,UUP
N06000015,South Down,SF,SF,Sinn Féin,Chris Hazzard,79175,62.9,SF,SF,67.5,SDLP
N06000016,Strangford,DUP,DUP,Democratic Unionist Party - D.U.P.,Jim Shannon,66928,56,DUP,DUP,60.4,DUP
N06000017,Upper Bann,DUP,DUP,Democratic Unionist Party - D.U.P.,Carla Lockhart,82887,60.4,DUP,DUP,64.2,DUP
N06000018,West Tyrone,SF,SF,Sinn Féin,Órfhlaith Begley,66259,62.2,SF,SF,68.2,SF
S14000001,Aberdeen North,SNP,SNP,Scottish National Party (SNP),Kirsty Blackman,62489,59.9,SNP,SNP,59.2,SNP
S14000002,Aberdeen South,SNP,SNP,Scottish National Party (SNP),Stephen Flynn,65719,69.4,Con,Con,68.6,SNP
S14000003,Airdrie and Shotts,SNP,SNP,Scottish National Party (SNP),Neil Gray,64008,62.1,SNP,SNP,59.3,SNP
S14000004,Angus,SNP,SNP,Scottish National Party (SNP),Dave Doogan,63952,67.5,Con,Con,63.1,SNP
S14000005,Argyll and Bute,SNP,SNP,Scottish National Party (SNP),Brendan O'Hara,66525,72.2,SNP,SNP,71.6,SNP
S14000006,"Ayr, Carrick and Cumnock",SNP,SNP,Scottish National Party (SNP),Allan Dorans,71970,64.7,Con,Con,65,SNP
S14000007,Banff and Buchan,Con,Con,Conservative and Unionist Party,David Duguid,66655,63.4,Con,Con,61.7,SNP
S14000008,"Berwickshire, Roxburgh and Selkirk",Con,Con,Conservative and Unionist Party,John Lamont,74518,71.3,Con,Con,71.7,SNP
S14000009,"Caithness, Sutherland and Easter Ross",LD,LD,Liberal Democrats,Jamie Stone,46930,67,LD,LD,66,SNP
S14000010,Central Ayrshire,SNP,SNP,Scottish National Party (SNP),Philippa Whitford,69742,66.7,SNP,SNP,65.5,SNP
S14000011,"Coatbridge, Chryston and Bellshill",SNP,SNP,Scottish National Party (SNP),Steven Bonnar,72943,66.1,Lab,Lab,63.4,SNP
S14000012,"Cumbernauld, Kilsyth and Kirkintilloch East",SNP,SNP,Scottish National Party (SNP),Stuart McDonald,66079,69.1,SNP,SNP,65.9,SNP
S14000013,Dumfries and Galloway,Con,Con,Conservative and Unionist Party,Alister Jack,74580,69,Con,Con,69.6,SNP
S14000014,"Dumfriesshire, Clydesdale and Tweeddale",Con,Con,Conservative and Unionist Party,David Mundell,68330,71.9,Con,Con,72.4,Con
S14000015,Dundee East,SNP,SNP,Scottish National Party (SNP),Stewart Hosie,66210,68.4,SNP,SNP,65.3,SNP
S14000016,Dundee West,SNP,SNP,Scottish National Party (SNP),Chris Law,64431,64.5,SNP,SNP,61.9,SNP
S14000017,Dunfermline and West Fife,SNP,SNP,Scottish National Party (SNP),Douglas Chapman,76652,69.8,SNP,SNP,67.5,SNP
S14000018,East Dunbartonshire,SNP,SNP,Scottish National Party (SNP),Amy Callaghan,66075,80.3,LD,LD,78.2,SNP
S14000019,"East Kilbride, Strathaven and Lesmahagow",SNP,SNP,Scottish National Party (SNP),Lisa Cameron,81224,69.4,SNP,SNP,67.4,SNP
S14000020,East Lothian,SNP,SNP,Scottish National Party (SNP),Kenny MacAskill,81600,71.7,Lab,Lab,70.7,SNP
S14000021,East Renfrewshire,SNP,SNP,Scottish National Party (SNP),Kirsten Oswald,72232,76.6,Con,Con,76.8,SNP
S14000022,Edinburgh East,SNP,SNP,Scottish National Party (SNP),Tommy Sheppard,69424,68.9,SNP,SNP,66.2,SNP
S14000023,Edinburgh North and Leith,SNP,SNP,Scottish National Party (SNP),Deidre Brock,81336,73,SNP,SNP,71.2,SNP
S14000024,Edinburgh South,Lab,Lab,Labour Party,Ian Murray,66188,75.1,Lab,Lab,74.2,Lab
S14000025,Edinburgh South West,SNP,SNP,Scottish National Party (SNP),Joanna Cherry,73501,70.9,SNP,SNP,69.5,SNP
S14000026,Edinburgh West,LD,LD,Liberal Democrats,Christine Jardine,72507,75.2,LD,LD,73.9,SNP
S14000027,Na h-Eileanan an Iar,SNP,SNP,Scottish National Party (SNP),Angus MacNeil,21106,68.6,SNP,SNP,69.7,SNP
S14000028,Falkirk,SNP,SNP,Scottish National Party (SNP),John McNally,84472,66.1,SNP,SNP,65.5,SNP
S14000029,Glasgow Central,SNP,SNP,Scottish National Party (SNP),Alison Thewliss,69230,57.9,SNP,SNP,56.1,SNP
S14000030,Glasgow East,SNP,SNP,Scottish National Party (SNP),David Linden,67381,57.1,SNP,SNP,54.7,SNP
