Pcon,Constituency name,MP name,Party name,Emissions from homes (%),EPC band DEFG (%),Fuel poor hhlds (UK Gov data) (%),Air pollution: LSOAs above WHO (%),Air pollution: LSOAs twice WHO (%),Air pollution: LSOAs above WHO (number),Air pollution: LSOAs twice WHO (number),Respiratory disease (%),Bustrips: 2010 to 2023 change (%),Car ownership: households without cars/vans (%),EV chargers: current number,EV chargers: target,Commuters: bicycle (%),Commuters: potential bikes/ebikes (%),Greenspace: m2 per person,Flooding: Properties at risk from rivers or seas,Flooding: Properties at risk from surface water,High heat and enhanced risk: MSOAs (number),High heat and enhanced risk: MSOA (%),High heat and enhanced risk: population,High heat 2022 max temp (°C),Tree canopy (%),Sewage overflows: number of outflows,Sewage overflows: total spills,Sewage overflows: total spill duration hours,Opinion poll: Climate change should a high priority,Opinion poll: Government should go faster on climate change,Opinion poll: Support onshore wind in local area,Opinion poll: Nature is most important issue,Green economy: jobs FTE
E14001169,Chipping Barnet,Dan Tomlinson,Lab,40.5,55.2,8.7,100.0,0.0,68,0,6.1,30.3,21.7,200,499,0.7,21.4,36,612,9293,3,25.0,27857,40,25.3,8,106,357,58.0,59.3,69.8,72.7,788
E14001170,Chorley,Lindsay Hoyle,Spk,21.5,48.4,9.5,100.0,0.0,60,0,9.9,-22.5,15.6,88,446,1.0,22.2,274,472,5540,1,8.3,5331,37,14.2,32,1355,6677,53.0,55.7,68.2,75.0,665
E14001171,Christchurch,Christopher Chope,Con,28.7,53.8,7.7,100.0,0.0,56,0,10.2,-68.6,13.5,81,390,2.5,28.7,264,4781,4790,0,0.0,0,33,26.0,20,227,835,53.0,49.8,69.3,75.0,933
E14001172,Cities of London and Westminster,Rachel Blake,Lab,10.5,40.7,7.8,100.0,100.0,77,77,4.0,-30.9,67.9,1614,561,2.8,37.8,35,18925,30510,13,81.3,103105,40,16.1,7,135,276,61.0,65.2,67.7,73.2,29258
E14001173,City of Durham,Mary Foy,Lab,26.9,51.1,11.5,98.3,0.0,59,0,8.4,-46.0,23.6,148,452,0.7,19.5,55,816,6514,0,0.0,0,37,13.1,116,2519,15159,56.0,55.5,69.1,71.0,740
E14001174,Clacton,Nigel Farage,RUK,28.2,65.0,13.1,100.0,0.0,60,0,12.2,-25.7,21.8,39,440,1.6,25.1,20,9330,6129,5,45.5,38850,37,7.0,18,324,2737,48.0,41.5,66.5,69.2,632
E14001175,Clapham and Brixton Hill,Bell Ribeiro-Addy,Lab,35.7,49.7,7.4,100.0,83.3,60,50,5.7,6.2,59.1,224,456,6.4,33.5,5,1053,9821,12,92.3,105933,40,11.9,0,0,0,63.0,73.2,66.4,76.6,950
E14001176,Colchester,Pam Cox,Lab,26.9,42.3,9.1,100.0,0.0,71,0,7.8,-7.2,21.8,40,507,3.2,26.6,33,2062,4049,3,25.0,36037,38,21.6,17,291,695,55.0,55.6,67.7,71.0,1055
E14001177,Colne Valley,Paul Davies,Lab,31.2,60.1,12.9,100.0,0.0,54,0,9.3,-27.6,17.5,55,412,0.7,19.7,636,1813,2864,1,8.3,6638,38,5.1,61,1722,9186,54.0,54.4,69.3,72.0,731
E14001178,Congleton,Sarah Russell,Lab,19.2,51.0,8.7,100.0,0.0,52,0,9.1,-67.6,11.5,52,408,1.0,24.2,20,1132,5217,0,0.0,0,38,13.9,44,1379,7248,53.0,52.6,69.7,75.0,979
E14001179,Corby and East Northamptonshire,Lee Barron,Lab,21.5,45.1,10.5,100.0,0.0,67,0,9.2,-47.4,15.9,97,519,1.6,23.4,125,1401,5486,2,15.4,17054,40,10.9,44,1207,13532,51.0,53.0,69.2,73.0,1149
E14001180,Coventry East,Mary Creagh,Lab,28.0,56.2,19.2,100.0,0.0,70,0,7.7,-39.9,30.0,758,531,1.3,30.1,19,272,5508,12,80.0,100411,39,6.4,0,0,0,53.0,56.7,67.9,68.2,1762
E14001181,Coventry North West,Taiwo Owatemi,Lab,28.1,61.3,17.3,100.0,0.0,66,0,7.0,-31.0,24.2,839,476,1.7,30.1,20,1881,5089,5,33.3,39765,39,9.9,9,48,68,54.0,55.6,69.3,70.0,1662
E14001182,Coventry South,Zarah Sultana,Lab,28.1,55.7,20.1,100.0,0.0,67,0,6.3,-31.8,28.6,981,544,1.7,30.1,27,4567,13203,4,33.3,43258,39,12.1,1,35,101,55.0,57.9,68.2,68.8,1687
E14001183,Cramlington and Killingworth,Emma Foody,Lab,27.7,42.4,8.2,100.0,0.0,61,0,10.9,-57.4,21.0,75,432,1.3,26.2,43,344,7710,0,0.0,0,36,9.2,31,428,1682,52.0,54.5,69.7,71.0,844
E14001184,Crawley,Peter Lamb,Lab,23.4,42.1,7.7,100.0,0.0,67,0,8.2,-23.9,20.6,221,526,1.8,31.5,26,3733,9355,2,15.4,22939,40,12.3,2,49,554,53.0,53.2,65.2,72.0,2468
E14001185,Crewe and Nantwich,Connor Naismith,Lab,19.2,52.8,11.2,100.0,0.0,71,0,8.3,-40.8,20.0,105,492,3.3,24.2,30,1542,9099,3,21.4,21636,38,11.5,18,464,3825,52.0,53.2,69.9,72.0,1336
E14001186,Croydon East,Natasha Irons,Lab,42.4,60.6,9.9,100.0,0.0,67,0,6.9,22.6,29.9,105,478,0.6,22.7,28,194,7876,6,46.2,49770,39,26.8,0,0,0,56.0,59.6,67.9,71.3,796
E14001187,Croydon South,Chris Philp,Con,42.3,56.4,7.8,100.0,0.0,60,0,6.4,25.8,20.9,98,448,0.7,22.7,41,2886,9107,3,23.1,22376,39,28.8,0,0,0,56.0,58.0,66.8,73.8,713
E14001188,Croydon West,Sarah Jones,Lab,42.4,48.6,12.0,100.0,0.0,71,0,5.8,22.7,46.0,144,545,0.9,22.7,9,3550,14873,12,92.3,118525,39,8.5,2,6,7,58.0,67.9,66.5,72.1,844
E14001189,Dagenham and Rainham,Margaret Mullane,Lab,27.8,58.6,11.1,100.0,0.0,66,0,6.4,30.8,27.8,75,529,0.8,24.9,51,6002,17913,9,69.2,86220,40,7.3,1,15,105,50.0,55.6,69.1,67.1,717
E14001190,Darlington,Lola McEvoy,Lab,25.2,58.4,11.1,100.0,0.0,60,0,9.9,-31.2,26.7,105,433,1.6,29.4,22,1015,8094,2,15.4,18989,38,9.4,31,276,1005,51.0,52.2,66.5,71.1,927
E14001191,Dartford,Jim Dickson,Lab,18.7,41.1,8.6,100.0,0.0,62,0,6.8,-31.9,17.2,151,488,0.8,20.1,44,4924,5553,2,16.7,21102,39,14.4,4,4,10,51.0,53.5,64.2,73.0,1381
E14001192,Daventry,Stuart Andrew,Con,19.2,50.4,10.1,100.0,0.0,56,0,8.3,-56.1,10.3,122,463,0.9,24.0,39,832,6572,0,0.0,0,40,9.2,67,3917,53840,51.0,52.0,69.2,75.8,1227
E14001193,Derby North,Catherine Atkinson,Lab,25.9,56.4,12.9,100.0,0.0,60,0,8.4,-52.2,25.5,57,458,2.4,30.6,21,4614,8081,3,25.0,22615,39,13.5,27,448,1377,53.0,54.7,69.0,72.0,2112
E14001194,Derby South,Baggy Shanker,Lab,25.9,58.2,14.5,100.0,0.0,66,0,8.2,-46.7,30.6,112,526,2.5,30.6,19,3547,13001,8,57.1,85442,39,9.9,19,167,558,51.0,53.0,67.8,69.0,2323
E14001195,Derbyshire Dales,John Whitby,Lab,15.3,58.9,13.0,100.0,0.0,55,0,9.2,-53.4,12.1,96,398,0.8,15.4,808,6237,5654,0,0.0,0,39,13.1,102,3898,30129,53.0,54.0,70.3,76.4,1071
E14001196,Dewsbury and Batley,Iqbal Mohamed,Ind,31.0,57.7,16.3,100.0,0.0,61,0,10.3,-23.7,25.3,32,455,0.5,19.7,24,4791,5915,10,71.4,75678,38,6.8,34,462,1903,52.0,54.6,65.5,70.3,824
E14001197,Didcot and Wantage,Olly Glover,LD,22.3,40.6,8.0,100.0,0.0,63,0,8.0,70.4,11.7,97,480,2.9,23.5,52,2261,5658,0,0.0,0,38,9.4,10,914,13852,57.0,56.5,68.0,76.1,1339
E14001198,Doncaster Central,Sally Jameson,Lab,19.8,58.3,16.9,100.0,0.0,74,0,9.5,-31.3,27.9,121,496,1.9,27.4,34,5746,9684,5,35.7,45962,40,9.8,21,266,1250,48.0,52.1,68.4,68.1,1034
E14001199,Doncaster East and the Isle of Axholme,Lee Pitcher,Lab,8.7,56.3,13.4,100.0,0.0,57,0,10.1,-30.2,16.2,41,414,1.2,27.6,301,20046,7395,3,25.0,25996,40,6.9,20,536,5693,48.0,50.2,67.1,70.1,882
E14001200,Doncaster North,Ed Miliband,Lab,19.7,63.9,16.7,100.0,0.0,63,0,10.7,-30.0,23.9,42,432,1.3,27.4,38,15047,6792,7,58.3,55603,40,7.8,37,849,4236,47.0,54.5,68.6,68.0,881
E14001201,Dorking and Horley,Chris Coghlan,LD,28.1,55.0,8.6,100.0,0.0,56,0,7.9,-35.4,11.3,93,417,1.4,19.1,265,1527,5941,0,0.0,0,39,29.1,19,510,5946,56.0,53.8,67.8,77.3,1416
E14001202,Dover and Deal,Mike Tapp,Lab,26.2,53.7,12.7,100.0,0.0,61,0,9.1,-22.5,21.1,100,456,1.3,20.1,123,5234,6390,3,25.0,31110,39,12.7,5,19,171,52.0,49.3,68.2,73.0,821
E14001203,Droitwich and Evesham,Nigel Huddleston,Con,15.6,49.8,14.0,100.0,0.0,60,0,9.0,-62.6,12.6,108,456,1.3,20.5,36,2272,7585,1,6.3,6270,38,10.5,39,1447,14823,53.0,49.6,68.2,73.0,973
E14001204,Dudley,Sonia Kumar,Lab,33.9,56.2,17.1,100.0,0.0,62,0,9.4,-29.8,23.8,50,449,0.7,24.0,28,21,6412,8,57.1,64206,37,18.1,12,127,231,49.0,49.2,65.3,69.3,779
E14001205,Dulwich and West Norwood,Helen Hayes,Lab,33.9,55.1,8.6,100.0,38.1,63,24,6.1,7.1,49.6,468,464,5.5,34.4,18,0,10923,10,90.9,89281,40,20.1,0,0,0,64.0,71.4,70.1,75.8,1275
E14001206,Dunstable and Leighton Buzzard,Alex Mayer,Lab,23.8,42.6,8.0,100.0,0.0,65,0,8.5,-44.5,14.6,147,488,1.1,19.3,23,1223,9785,3,23.1,25616,39,9.9,6,303,4095,53.0,53.9,70.1,73.0,861
E14001207,Ealing Central and Acton,Rupa Huq,Lab,31.1,47.1,8.9,100.0,38.2,76,29,5.1,10.7,46.3,596,593,3.1,28.2,15,219,20055,14,93.3,124620,40,11.1,1,2,4,62.0,66.6,70.8,74.0,1156
E14001208,Ealing North,James Murray,Lab,31.0,51.5,11.1,100.0,0.0,70,0,6.6,14.3,29.6,241,562,1.3,27.0,17,1931,12375,10,66.7,92723,40,14.1,5,6,22,57.0,62.6,67.1,71.0,962
E14001209,Ealing Southall,Deirdre Costigan,Lab,31.2,53.2,10.5,100.0,1.6,64,1,6.1,11.4,35.7,282,555,1.7,27.0,13,285,11343,9,69.2,89048,40,10.3,5,107,489,58.0,63.3,66.3,72.2,893
E14001210,Earley and Woodley,Yuan Yang,Lab,31.8,44.4,7.3,100.0,0.0,64,0,6.7,-73.2,12.7,128,474,2.3,26.2,25,1215,4917,1,8.3,13070,38,16.4,1,47,654,58.0,59.7,65.9,76.2,1780
E14001211,Easington,Grahame Morris,Lab,26.8,51.8,12.1,100.0,0.0,63,0,11.9,-69.3,28.2,45,415,0.5,19.4,112,171,5264,0,0.0,0,36,10.0,54,962,4777,49.0,48.9,65.5,69.4,789
E14001212,East Grinstead and Uckfield,Mims Davies,Con,31.9,53.4,9.5,100.0,0.0,58,0,8.4,-43.0,10.0,179,425,0.8,17.8,339,777,3304,0,0.0,0,38,26.2,48,1683,17475,56.0,56.6,68.9,76.0,728
E14001213,East Ham,Stephen Timms,Lab,25.8,64.5,17.6,100.0,86.4,66,57,5.4,20.8,45.5,110,582,0.7,27.3,13,11622,6649,14,100.0,125422,40,13.5,2,34,129,58.0,68.9,69.4,68.0,1040
E14001214,East Hampshire,Damian Hinds,Con,29.9,52.0,9.1,100.0,0.0,53,0,8.5,-40.3,10.1,25,404,1.1,17.2,305,920,3305,1,9.1,6602,36,23.0,12,513,7392,55.0,53.4,66.9,77.0,835
E14001215,East Surrey,Claire Coutinho,Con,24.4,55.4,8.6,100.0,0.0,57,0,7.7,-30.6,11.7,50,442,0.7,16.0,79,1276,5692,0,0.0,0,38,22.4,11,686,7910,55.0,52.5,66.7,76.0,821
E14001216,East Thanet,Polly Billington,Lab,30.6,58.3,14.7,100.0,0.0,65,0,9.7,-22.2,28.5,54,463,1.6,29.2,29,1082,7000,7,53.9,59998,36,8.0,2,0,0,52.0,53.9,69.0,71.2,635
E14001217,East Wiltshire,Danny Kruger,Con,21.3,52.4,10.4,100.0,0.0,57,0,9.2,-36.5,10.5,151,452,2.0,23.6,204,1237,3078,0,0.0,0,36,11.8,25,1357,20956,54.0,50.6,66.5,74.0,980
E14001218,East Worthing and Shoreham,Tom Rutland,Lab,35.0,63.2,10.1,100.0,0.0,64,0,9.7,-59.7,18.8,98,439,3.0,31.0,50,5223,5154,4,33.3,35057,34,8.1,6,5,3,55.0,56.6,72.7,75.0,784
E14001219,Eastbourne,Josh Babarinde,LD,39.7,52.3,11.5,100.0,0.0,60,0,9.3,-21.1,26.5,69,450,1.9,31.7,75,20171,7367,3,23.1,21349,37,9.2,0,0,0,54.0,53.1,66.3,74.0,689
E14001220,Eastleigh,Liz Jarvis,LD,28.1,45.2,7.1,100.0,0.0,57,0,8.3,-40.8,12.6,91,417,1.9,24.3,38,1167,3959,0,0.0,0,35,23.5,7,130,1441,56.0,55.2,68.7,75.5,1581
E14001221,Edmonton and Winchmore Hill,Kate Osamor,Lab,28.6,63.7,12.3,100.0,13.7,73,10,5.7,-6.8,34.5,145,548,0.7,25.5,16,11420,12478,9,69.2,86995,40,13.7,1,26,231,56.0,63.8,66.9,70.1,899
E14001222,Ellesmere Port and Bromborough,Justin Madders,Lab,16.2,50.6,10.6,100.0,0.0,63,0,9.8,-52.4,20.7,36,419,1.8,25.4,35,319,7360,2,14.3,15026,37,11.1,8,240,876,55.0,59.2,71.7,73.7,944
E14001223,Eltham and Chislehurst,Clive Efford,Lab,33.0,55.0,9.8,100.0,0.0,66,0,7.0,64.6,28.3,64,489,1.2,22.4,53,711,8724,7,46.7,59789,40,24.8,2,55,153,55.0,57.4,68.5,72.3,724
E14001224,Ely and East Cambridgeshire,Charlotte Cane,LD,8.2,49.4,9.6,100.0,0.0,62,0,9.5,-12.5,12.3,131,473,3.2,19.5,42,5147,9145,0,0.0,0,40,5.1,56,1330,11952,55.0,55.0,66.7,74.3,1173
E14001225,Enfield North,Feryal Clark,Lab,28.6,57.7,11.0,100.0,0.0,67,0,6.3,-15.4,29.7,82,560,1.0,25.5,17,2994,11146,11,78.6,104355,40,15.9,1,0,0,56.0,62.1,65.2,70.0,850
E14001226,Epping Forest,Neil Hudson,Con,18.4,57.3,8.2,100.0,0.0,61,0,7.1,-57.5,15.6,95,451,0.6,16.8,279,2730,10410,3,23.1,24841,39,26.2,6,228,1740,52.0,56.4,67.6,72.0,965
E14001227,Epsom and Ewell,Helen Maguire,LD,38.4,55.8,8.1,100.0,0.0,63,0,7.1,-4.0,14.1,155,477,1.7,23.0,112,1232,8886,1,7.7,8197,39,24.9,3,93,1262,57.0,55.7,67.8,76.2,1234
E14001228,Erewash,Adam Thompson,Lab,24.5,61.0,11.9,100.0,0.0,62,0,10.0,-62.2,20.8,31,419,2.5,26.0,21,14232,8803,3,25.0,23619,40,10.3,21,587,5061,50.0,50.9,68.2,73.0,689
E14001229,Erith and Thamesmead,Abena Oppong-Asare,Lab,31.7,48.7,10.2,100.0,2.7,73,2,6.3,35.4,38.0,57,589,0.8,22.5,27,21606,10849,11,73.3,103316,40,19.8,0,0,0,54.0,62.4,69.1,69.7,837
E14001230,Esher and Walton,Monica Harding,LD,35.9,55.1,7.6,100.0,0.0,60,0,6.3,-35.9,11.6,53,459,2.6,22.6,51,11332,6978,0,0.0,0,39,22.2,1,78,1262,58.0,57.2,68.4,77.9,1029
E14001231,Exeter,Steve Race,Lab,26.2,51.9,10.8,57.1,0.0,36,0,7.6,-44.1,28.2,141,464,4.1,30.6,27,9171,6900,1,8.3,11620,32,20.9,50,540,1262,59.0,60.7,67.9,73.0,2282
E14001232,Exmouth and Exeter East,David Reed,Con,20.4,42.6,8.8,25.0,0.0,14,0,9.6,-23.4,14.5,210,451,2.4,22.6,121,5636,5835,0,0.0,0,32,14.5,29,808,5480,51.0,50.9,66.6,73.1,1145
E14001233,Fareham and Waterlooville,Suella Braverman,Con,28.5,50.9,8.3,100.0,0.0,63,0,9.8,-39.8,14.7,40,437,2.0,24.6,40,1773,7602,0,0.0,0,33,21.2,20,391,4361,55.0,50.6,66.9,75.9,1209
E14001234,Farnham and Bordon,Greg Stafford,Con,36.4,51.5,8.7,100.0,0.0,63,0,7.9,-76.7,10.4,67,447,1.0,17.1,176,1328,3103,0,0.0,0,36,38.8,9,203,1726,57.0,54.4,67.8,78.3,945
E14001235,Faversham and Mid Kent,Helen Whately,Con,19.7,47.5,9.8,100.0,0.0,59,0,8.3,-26.0,13.6,102,450,0.9,20.8,81,1392,5276,1,8.3,12185,39,17.3,15,148,788,52.0,50.8,69.5,73.7,1001
E14001236,Feltham and Heston,Seema Malhotra,Lab,26.9,50.7,10.1,100.0,18.2,66,12,5.5,2.9,29.0,151,594,1.5,30.7,27,48,11656,9,69.2,92855,40,12.2,2,2,1,54.0,56.7,68.3,68.0,1467
E14001237,Filton and Bradley Stoke,Claire Hazelgrove,Lab,18.9,39.7,6.3,100.0,0.0,66,0,7.7,-60.1,12.9,189,489,3.8,25.0,23,368,8819,0,0.0,0,36,13.6,14,338,1878,56.0,57.9,68.1,74.0,1436
E14001238,Finchley and Golders Green,Sarah Sackman,Lab,40.4,55.3,9.4,100.0,5.6,72,4,4.8,24.8,34.1,389,556,1.4,21.4,19,614,12123,9,60.0,79399,40,21.8,7,37,59,61.0,60.5,70.1,74.0,834
E14001239,Folkestone and Hythe,Tony Vaughan,Lab,27.2,55.9,13.3,100.0,0.0,57,0,9.6,0.0,22.5,169,404,1.3,22.1,202,14454,6873,4,33.3,28841,38,4.5,3,25,366,52.0,49.6,67.5,72.0,994
E14001240,Forest of Dean,Matt Bishop,Lab,22.3,59.3,12.1,100.0,0.0,53,0,10.0,-50.7,11.9,105,407,0.8,15.5,1068,2541,4338,0,0.0,0,37,25.8,39,1869,19613,53.0,51.6,69.5,75.0,714
E14001241,Frome and East Somerset,Anna Sabine,LD,20.4,55.7,10.1,100.0,0.0,56,0,9.7,-60.0,12.0,60,410,1.2,22.7,28,1261,4711,1,9.1,8797,35,13.1,81,2776,19250,55.0,55.4,67.1,76.5,1156
E14001242,Fylde,Andrew Snowden,Con,20.6,58.3,10.7,100.0,0.0,60,0,10.3,-59.1,16.5,88,432,1.8,30.4,22,3218,6913,1,9.1,10049,38,6.0,28,946,3523,53.0,51.8,71.7,73.2,971
E14001243,Gainsborough,Edward Leigh,Con,16.3,53.7,13.0,100.0,0.0,53,0,10.4,-34.8,14.1,42,425,1.4,21.0,204,8574,7456,2,18.2,17972,40,7.3,38,868,8145,50.0,48.3,69.1,73.0,675
E14001244,Gateshead Central and Whickham,Mark Ferguson,Lab,26.9,52.7,9.8,100.0,0.0,63,0,10.0,-38.2,34.9,169,434,1.0,22.8,28,2257,4550,0,0.0,0,37,15.9,36,1218,3582,52.0,57.6,69.5,70.2,1074
E14001245,Gedling,Michael Payne,Lab,37.6,60.4,10.4,100.0,0.0,67,0,9.1,-61.4,20.0,71,445,1.4,24.2,49,5597,8254,3,23.1,23662,40,11.5,15,460,1736,52.0,55.9,70.2,72.9,592
E14001246,Gillingham and Rainham,Naushabah Khan,Lab,35.3,59.9,12.2,100.0,0.0,64,0,7.6,-44.1,20.0,110,454,0.9,18.5,24,1294,4958,4,28.6,30051,39,18.3,23,246,437,52.0,51.8,69.0,72.0,1117
E14001247,Glastonbury and Somerton,Sarah Dyke,LD,16.7,55.3,11.5,100.0,0.0,53,0,9.5,-62.9,10.9,101,409,1.7,24.0,65,2951,6692,0,0.0,0,35,7.8,87,3684,45252,55.0,51.7,69.4,76.5,929
E14001248,Gloucester,Alex McIntyre,Lab,29.3,49.3,9.0,100.0,0.0,72,0,9.1,-5.9,21.3,102,516,3.4,33.6,30,4773,13505,5,38.5,46951,37,10.9,8,66,143,53.0,54.3,67.1,73.0,2029
E14001249,Godalming and Ash,Jeremy Hunt,Con,34.2,55.2,9.2,100.0,0.0,61,0,8.0,-62.2,10.1,90,432,1.3,18.9,453,2948,5190,0,0.0,0,37,34.1,14,384,4450,57.0,55.5,68.6,77.5,1028
E14001250,Goole and Pocklington,David Davis,Con,15.2,53.7,12.4,100.0,0.0,60,0,8.8,-61.3,13.3,40,462,2.9,25.3,64,26315,6912,2,16.7,18073,40,6.2,46,1146,8011,51.0,50.9,69.4,72.4,914
E14001251,Gorton and Denton,Andrew Gwynne,Lab,27.0,61.1,16.1,100.0,0.0,63,0,8.9,-14.4,32.5,40,504,1.6,31.6,22,619,7978,9,69.2,85418,38,11.4,22,721,2417,57.0,62.5,69.7,71.2,1394
E14001252,Gosport,Caroline Dinenage,Con,37.6,50.2,9.4,100.0,0.0,65,0,9.9,-35.3,19.4,67,425,6.8,32.9,94,1345,3527,0,0.0,0,31,13.1,12,48,137,52.0,49.6,63.3,72.0,486
E14001253,Grantham and Bourne,Gareth Davies,Con,17.6,54.6,11.1,100.0,0.0,57,0,9.1,-42.5,15.3,72,438,2.1,23.2,76,3313,7691,1,9.1,7441,40,5.7,26,973,9227,50.0,50.4,69.4,74.0,961
E14001254,Gravesham,Lauren Sullivan,Lab,28.1,53.4,11.4,100.0,0.0,65,0,6.5,-30.4,19.7,66,470,0.6,18.3,59,2207,5231,4,30.8,34063,39,16.3,4,43,32,51.0,50.1,66.7,71.0,725
E14001255,Great Grimsby and Cleethorpes,Melanie Onn,Lab,17.9,67.1,18.8,100.0,0.0,75,0,10.2,-23.1,32.6,47,472,3.9,37.7,31,33830,15374,1,6.3,5757,37,7.9,3,59,225,48.0,48.0,64.5,68.6,1091
E14001256,Great Yarmouth,Rupert Lowe,RUK,30.6,57.8,13.1,100.0,0.0,60,0,11.2,-49.5,25.4,84,439,2.5,31.4,93,12346,7861,0,0.0,0,36,9.0,10,256,286,49.0,44.7,66.1,69.0,896
E14001257,Greenwich and Woolwich,Matthew Pennycook,Lab,29.6,31.9,7.5,100.0,62.7,67,42,5.8,33.6,52.7,138,527,2.2,23.1,21,14383,14887,14,100.0,117450,40,17.4,3,3,1,60.0,68.6,66.3,72.0,749
E14001258,Guildford,Zöe Franklin,LD,27.0,54.6,9.5,100.0,0.0,59,0,6.7,-40.4,16.2,131,456,1.9,21.5,166,2379,6374,0,0.0,0,39,27.3,6,203,1726,58.0,57.2,68.4,75.5,1284
E14001259,Hackney North and Stoke Newington,Diane Abbott,Lab,38.4,45.8,10.1,100.0,98.5,67,66,5.7,-17.0,60.0,633,512,9.4,40.2,14,2399,22890,14,100.0,114995,40,17.5,0,0,0,62.0,73.2,67.7,75.8,1351
E14001260,Hackney South and Shoreditch,Meg Hillier,Lab,38.4,31.7,8.0,100.0,100.0,63,63,5.8,-20.5,68.9,449,505,9.4,40.2,7,1667,34186,13,100.0,117834,40,13.9,0,0,0,61.0,74.0,72.0,74.2,1291
E14001261,Halesowen,Alex Ballinger,Lab,32.5,61.7,16.2,100.0,0.0,56,0,9.8,-21.7,20.3,38,414,0.7,24.8,19,300,6260,4,36.4,36774,38,16.4,10,192,1266,50.0,53.1,67.1,71.6,759
E14001262,Halifax,Kate Dearden,Lab,27.9,64.1,15.7,100.0,0.0,66,0,9.8,-35.1,28.7,43,478,0.5,17.9,75,1063,4578,8,53.3,56735,38,6.5,41,1531,7914,52.0,52.4,69.7,70.1,1115
E14001263,Hamble Valley,Paul Holmes,Con,27.8,40.8,6.2,100.0,0.0,61,0,8.6,-59.1,8.8,101,460,1.9,24.3,105,698,3232,0,0.0,0,34,26.5,15,324,2804,54.0,53.1,67.5,75.1,1330
E14001264,Hammersmith and Chiswick,Andy Slaughter,Lab,29.7,48.6,7.8,100.0,81.9,72,59,5.1,-9.7,53.8,1397,517,5.0,33.9,13,7094,33375,13,86.7,96303,40,12.8,1,4,5,61.0,65.4,69.5,73.4,1718
E14001265,Hampstead and Highgate,Tulip Siddiq,Lab,24.4,54.2,8.3,100.0,86.5,74,64,5.2,-2.2,55.8,371,520,3.9,33.6,33,0,17129,10,66.7,76369,40,33.9,0,0,0,63.0,67.6,71.6,75.6,4238
E14001266,"Harborough, Oadby and Wigston",Neil O'Brien,Con,25.2,53.1,8.9,100.0,0.0,61,0,8.3,-60.3,14.9,99,454,1.9,26.0,19,1902,9438,1,9.1,8230,39,8.4,25,1118,11570,53.0,55.5,69.2,75.0,824
E14001267,Harlow,Chris Vince,Lab,20.8,47.5,8.4,100.0,0.0,68,0,8.1,-58.4,19.4,54,494,1.5,24.5,112,1628,19162,6,42.9,51034,40,14.7,6,364,4828,49.0,50.8,67.2,69.4,1088
E14001268,Harpenden and Berkhamsted,Victoria Collins,LD,25.1,56.2,7.9,100.0,0.0,60,0,7.2,-17.0,10.5,58,419,0.9,19.5,128,845,5511,0,0.0,0,39,14.8,8,427,5999,57.0,54.9,70.0,75.3,1598
E14001269,Harrogate and Knaresborough,Tom Gordon,LD,15.2,58.7,11.1,100.0,0.0,66,0,8.6,-23.5,17.7,185,452,1.7,22.1,25,571,8266,0,0.0,0,39,15.6,57,1339,5109,55.0,53.5,67.5,75.0,1145
E14001270,Harrow East,Bob Blackman,Con,49.8,60.3,11.0,100.0,0.0,64,0,5.5,37.2,21.3,37,519,0.3,23.0,28,1648,10521,3,25.0,27150,40,24.2,7,126,290,56.0,56.9,66.6,70.7,685
E14001271,Harrow West,Gareth Thomas,Lab,53.1,51.4,10.3,100.0,0.0,65,0,6.3,47.2,30.7,50,542,0.6,22.3,10,483,12941,10,71.4,92224,40,13.9,0,0,0,58.0,62.4,67.4,71.9,642
E14001272,Hartlepool,Jonathan Brash,Lab,18.9,53.3,10.6,100.0,0.0,57,0,11.0,-52.2,29.6,49,412,1.1,32.1,96,1661,10884,0,0.0,0,37,5.7,24,428,1852,48.0,48.0,68.1,68.0,1090
E14001273,Harwich and North Essex,Bernard Jenkin,Con,27.5,56.0,11.0,100.0,0.0,58,0,8.3,-24.4,15.7,45,438,2.1,26.0,34,5940,3819,1,8.3,8905,38,10.8,30,700,6037,54.0,50.8,68.7,71.9,737
E14001274,Hastings and Rye,Helena Dollimore,Lab,41.1,58.8,14.9,100.0,0.0,62,0,9.5,-14.9,27.2,46,460,0.9,22.2,115,8201,16165,6,50.0,49431,36,15.4,22,712,6504,53.0,53.1,68.2,71.1,637
E14001275,Havant,Alan Mak,Con,36.1,51.4,9.2,100.0,0.0,61,0,10.6,-41.5,18.7,37,419,2.1,26.5,41,4338,4987,4,30.8,29322,33,16.4,5,6,37,51.0,49.0,65.5,72.0,1572
E14001276,Hayes and Harlington,John McDonnell,Lab,21.7,52.6,10.9,100.0,19.4,67,13,6.0,28.1,25.9,134,569,0.9,26.9,33,1659,12984,9,75.0,94890,40,8.9,0,0,0,54.0,57.8,69.9,68.0,1670
E14001277,Hazel Grove,Lisa Smart,LD,34.7,63.1,9.6,100.0,0.0,63,0,9.8,-46.1,17.7,37,415,1.1,28.8,44,983,7128,2,14.3,15863,38,19.4,28,768,4767,54.0,55.0,69.1,75.0,2443
E14001278,Hemel Hempstead,David Taylor,Lab,27.7,47.4,8.1,100.0,0.0,63,0,7.5,-41.7,16.3,154,458,0.8,19.9,43,1003,6059,4,30.8,33182,39,16.9,0,0,0,53.0,52.9,67.7,71.3,2190
