Code,Constituency,Slug,Region,Food banks
N05000007,Fermanagh and South Tyrone,fermanagh-and-south-tyrone,,2
N05000008,Foyle,foyle,,1
N05000009,Lagan Valley,lagan-valley,,1
N05000010,Mid Ulster,mid-ulster,,1
N05000011,Newry and Armagh,newry-and-armagh,,1
N05000012,North Antrim,north-antrim,,4
N05000013,North Down,north-down,,2
N05000014,South Antrim,south-antrim,,2
N05000015,South Down,south-down,,1
N05000016,Strangford,strangford,,2
N05000017,Upper Bann,upper-bann,,1
N05000018,West Tyrone,west-tyrone,,1
S14000021,East Renfrewshire,east-renfrewshire,,1
S14000027,Na h-Eileanan an Iar,na-h-eileanan-an-iar,,4
S14000045,Midlothian,midlothian,,2
S14000048,North Ayrshire and Arran,north-ayrshire-and-arran,,2
S14000051,Orkney and Shetland,orkney-and-shetland,,2
S14000060,Aberdeen North,aberdeen-north,,2
S14000061,Aberdeen South,aberdeen-south,,2
S14000062,Aberdeenshire North and Moray East,aberdeenshire-north-and-moray-east,,0
S14000063,Airdrie and Shotts,airdrie-and-shotts,,1
S14000064,Alloa and Grangemouth,alloa-and-grangemouth,,2
S14000065,Angus and Perthshire Glens,angus-and-perthshire-glens,,0
S14000066,Arbroath and Broughty Ferry,arbroath-and-broughty-ferry,,0
S14000067,"Argyll, Bute and South Lochaber","argyll,-bute-and-south-lochaber",,6
S14000068,Bathgate and Linlithgow,bathgate-and-linlithgow,,1
S14000069,"Caithness, Sutherland and Easter Ross","caithness,-sutherland-and-easter-ross",,6
S14000070,Coatbridge and Bellshill,coatbridge-and-bellshill,,1
S14000071,Cowdenbeath and Kirkcaldy,cowdenbeath-and-kirkcaldy,,1
S14000072,Cumbernauld and Kirkintilloch,cumbernauld-and-kirkintilloch,,2
S14000073,Dumfries and Galloway,dumfries-and-galloway,,6
S14000074,"Dumfriesshire, Clydesdale and Tweeddale","dumfriesshire,-clydesdale-and-tweeddale",,1
S14000075,Dundee Central,dundee-central,,1
S14000076,Dunfermline and Dollar,dunfermline-and-dollar,,2
S14000077,East Kilbride and Strathaven,east-kilbride-and-strathaven,,2
S14000078,Edinburgh East and Musselburgh,edinburgh-east-and-musselburgh,,0
S14000079,Edinburgh North and Leith,edinburgh-north-and-leith,,1
S14000080,Edinburgh South,edinburgh-south,,1
S14000081,Edinburgh South West,edinburgh-south-west,,3
S14000082,Edinburgh West,edinburgh-west,,0
S14000083,Falkirk,falkirk,,2
S14000084,Glasgow East,glasgow-east,,3
S14000085,Glasgow North,glasgow-north,,1
S14000086,Glasgow North East,glasgow-north-east,,0
S14000087,Glasgow South,glasgow-south,,2
S14000088,Glasgow South West,glasgow-south-west,,4
S14000089,Glasgow West,glasgow-west,,3
S14000090,Glenrothes and Mid Fife,glenrothes-and-mid-fife,,3
S14000091,Gordon and Buchan,gordon-and-buchan,,1
S14000092,Hamilton and Clyde Valley,hamilton-and-clyde-valley,,2
S14000093,Inverclyde and Renfrewshire West,inverclyde-and-renfrewshire-west,,1
S14000094,"Inverness, Skye and West Ross-shire","inverness,-skye-and-west-ross-shire",,2
S14000095,Livingston,livingston,,0
S14000096,Lothian East,lothian-east,,2
S14000097,Mid Dunbartonshire,mid-dunbartonshire,,1
S14000098,"Moray West, Nairn and Strathspey","moray-west,-nairn-and-strathspey",,2
S14000099,"Motherwell, Wishaw and Carluke","motherwell,-wishaw-and-carluke",,1
S14000100,North East Fife,north-east-fife,,4
S14000101,Paisley and Renfrewshire North,paisley-and-renfrewshire-north,,1
S14000102,Paisley and Renfrewshire South,paisley-and-renfrewshire-south,,0
S14000103,Perth and Kinross-shire,perth-and-kinross-shire,,2
S14000104,Rutherglen,rutherglen,,1
S14000105,Stirling and Strathallan,stirling-and-strathallan,,2
S14000106,West Dunbartonshire,west-dunbartonshire,,3
S14000107,"Ayr, Carrick and Cumnock","ayr,-carrick-and-cumnock",,0
S14000108,"Berwickshire, Roxburgh and Selkirk","berwickshire,-roxburgh-and-selkirk",,2
S14000109,Central Ayrshire,central-ayrshire,,1
S14000110,Kilmarnock and Loudoun,kilmarnock-and-loudoun,,1
S14000111,West Aberdeenshire and Kincardine,west-aberdeenshire-and-kincardine,,1
W07000081,Aberafan Maesteg,aberafan-maesteg,,1
W07000082,Alyn and Deeside,alyn-and-deeside,,0
W07000083,Bangor Aberconwy,bangor-aberconwy,,3
W07000084,Blaenau Gwent and Rhymney,blaenau-gwent-and-rhymney,,2
W07000085,"Brecon, Radnor and Cwm Tawe","brecon,-radnor-and-cwm-tawe",,6
W07000086,Bridgend,bridgend,,1
W07000087,Caerfyrddin,caerfyrddin,,3
W07000088,Caerphilly,caerphilly,,3
W07000089,Cardiff East,cardiff-east,,0
W07000090,Cardiff North,cardiff-north,,0
W07000091,Cardiff South and Penarth,cardiff-south-and-penarth,,1
W07000092,Cardiff West,cardiff-west,,1
W07000093,Ceredigion Preseli,ceredigion-preseli,,3
W07000094,Clwyd East,clwyd-east,,3
W07000095,Clwyd North,clwyd-north,,5
W07000096,Dwyfor Meirionnydd,dwyfor-meirionnydd,,3
W07000097,Gower,gower,,3
W07000098,Llanelli,llanelli,,3
W07000099,Merthyr Tydfil and Aberdare,merthyr-tydfil-and-aberdare,,1
W07000100,Mid and South Pembrokeshire,mid-and-south-pembrokeshire,,2
W07000101,Monmouthshire,monmouthshire,,3
W07000102,Montgomeryshire and Glyndŵr,montgomeryshire-and-glyndŵr,,1
W07000103,Neath and Swansea East,neath-and-swansea-east,,4
W07000104,Newport East,newport-east,,4
W07000105,Newport West and Islwyn,newport-west-and-islwyn,,2
W07000106,Pontypridd,pontypridd,,1
W07000107,Rhondda and Ogmore,rhondda-and-ogmore,,1
W07000108,Swansea West,swansea-west,,1
W07000109,Torfaen,torfaen,,1
W07000110,Vale of Glamorgan,vale-of-glamorgan,,1
W07000111,Wrexham,wrexham,,1
W07000112,Ynys Môn,ynys-môn,,2
