PCON24CD,PCON24NM,Scenario 1,Scenario 1,Scenario 1,Scenario 2,Scenario 2,Scenario 2,Scenario 3,Scenario 3,Scenario 3,Scenario 4,Scenario 4,Scenario 4,Scenario 5,Scenario 5,Scenario 5,Scenario 6,Scenario 6,Scenario 6,Scenario 7,Scenario 7,Scenario 7
E14001225,Enfield North,51078,46428,90.9,51078,46439,90.9,51078,7089,13.9,51078,6405,12.5,51078,15423,30.2,51078,2414,4.7,51078,8610,16.9
E14001226,Epping Forest,43707,42255,96.7,43707,42447,97.1,43707,11773,26.9,43707,11836,27.1,43707,26362,60.3,43707,7515,17.2,43707,15131,34.6
E14001227,Epsom and Ewell,45672,44190,96.8,45672,44440,97.3,45672,8354,18.3,45672,9486,20.8,45672,26861,58.8,45672,4573,10.0,45672,11419,25.0
E14001228,Erewash,45222,38080,84.2,45222,41894,92.6,45222,6180,13.7,45222,3455,7.6,45222,10115,22.4,45222,1215,2.7,45222,7180,15.9
E14001229,Erith and Thamesmead,53649,50187,93.5,53649,50187,93.5,53649,9898,18.4,53649,11335,21.1,53649,27434,51.1,53649,4213,7.9,53649,13048,24.3
E14001230,Esher and Walton,43880,40056,91.3,43880,41458,94.5,43880,7670,17.5,43880,4619,10.5,43880,14950,34.1,43880,3182,7.3,43880,9107,20.8
E14001231,Exeter,50290,46758,93.0,50290,46890,93.2,50290,8132,16.2,50290,4707,9.4,50290,11853,23.6,50290,1026,2.0,50290,9319,18.5
E14001232,Exmouth and Exeter East,47947,36663,76.5,47947,42562,88.8,47947,6543,13.6,47947,4114,8.6,47947,9866,20.6,47947,536,1.1,47947,7142,14.9
E14001233,Fareham and Waterlooville,45244,35072,77.5,45244,39394,87.1,45244,3355,7.4,45244,1901,4.2,45244,4117,9.1,45244,307,0.7,45244,3604,8.0
E14001234,Farnham and Bordon,45106,44342,98.3,45106,44479,98.6,45106,9286,20.6,45106,8033,17.8,45106,28163,62.4,45106,4391,9.7,45106,12239,27.1
E14001235,Faversham and Mid Kent,44827,37048,82.6,44827,42405,94.6,44827,4552,10.2,44827,1577,3.5,44827,8934,19.9,44827,548,1.2,44827,5149,11.5
E14001236,Feltham and Heston,45796,43049,94.0,45796,43049,94.0,45796,9171,20.0,45796,9748,21.3,45796,27865,60.8,45796,4797,10.5,45796,12357,27.0
E14001237,Filton and Bradley Stoke,45912,38744,84.4,45912,39108,85.2,45912,5489,12.0,45912,5052,11.0,45912,13494,29.4,45912,1479,3.2,45912,6598,14.4
E14001238,Finchley and Golders Green,53446,51017,95.5,53446,51017,95.5,53446,6515,12.2,53446,8335,15.6,53446,17733,33.2,53446,1958,3.7,53446,8339,15.6
E14001239,Folkestone and Hythe,45656,40624,89.0,45656,45422,99.5,45656,7416,16.2,45656,6126,13.4,45656,16220,35.5,45656,1974,4.3,45656,8750,19.2
E14001240,Forest of Dean,43172,38970,90.3,43172,43038,99.7,43172,11889,27.5,43172,10898,25.2,43172,21402,49.6,43172,8241,19.1,43172,14053,32.6
E14001241,Frome and East Somerset,41049,34592,84.3,41049,40404,98.4,41049,5069,12.3,41049,2418,5.9,41049,162,0.4,41049,35,0.1,41049,5073,12.4
E14001242,Fylde,50485,39882,79.0,50485,44495,88.1,50485,6238,12.4,50485,4015,8.0,50485,8484,16.8,50485,1101,2.2,50485,7127,14.1
E14001243,Gainsborough,45983,29257,63.6,45983,39817,86.6,45983,4255,9.3,45983,823,1.8,45983,894,1.9,45983,151,0.3,45983,4295,9.3
E14001244,Gateshead Central and Whickham,48088,47185,98.1,48088,47714,99.2,48088,9857,20.5,48088,8138,16.9,48088,25609,53.3,48088,2616,5.4,48088,12084,25.1
E14001245,Gedling,47171,39020,82.7,47171,41989,89.0,47171,4876,10.3,47171,2649,5.6,47171,9441,20.0,47171,1219,2.6,47171,5774,12.2
E14001246,Gillingham and Rainham,43678,40495,92.7,43678,40988,93.8,43678,5845,13.4,43678,5413,12.4,43678,5834,13.4,43678,1116,2.6,43678,6704,15.3
E14001247,Glastonbury and Somerton,43796,29010,66.2,43796,42321,96.6,43796,4912,11.2,43796,1360,3.1,43796,3427,7.8,43796,419,1.0,43796,5182,11.8
E14001248,Gloucester,52847,50011,94.6,52847,52103,98.6,52847,8946,16.9,52847,6788,12.8,52847,16245,30.7,52847,2205,4.2,52847,10696,20.2
E14001249,Godalming and Ash,44195,42075,95.2,44195,42522,96.2,44195,10350,23.4,44195,10367,23.5,44195,23185,52.5,44195,6549,14.8,44195,12538,28.4
E14001250,Goole and Pocklington,48331,31450,65.1,48331,40627,84.1,48331,3970,8.2,48331,1570,3.2,48331,2187,4.5,48331,88,0.2,48331,4049,8.4
E14001251,Gorton and Denton,46853,45794,97.7,46853,45794,97.7,46853,9043,19.3,46853,8154,17.4,46853,25870,55.2,46853,2553,5.4,46853,11423,24.4
E14001252,Gosport,44262,42210,95.4,44262,42288,95.5,44262,6364,14.4,44262,3981,9.0,44262,12584,28.4,44262,1094,2.5,44262,7668,17.3
E14001253,Grantham and Bourne,45975,28511,62.0,45975,39069,85.0,45975,4003,8.7,45975,2536,5.5,45975,9192,20.0,45975,685,1.5,45975,4448,9.7
E14001254,Gravesham,45140,34502,76.4,45140,39681,87.9,45140,6169,13.7,45140,3320,7.4,45140,4554,10.1,45140,187,0.4,45140,6391,14.2
E14001255,Great Grimsby and Cleethorpes,49347,38037,77.1,49347,38037,77.1,49347,6357,12.9,49347,7021,14.2,49347,3335,6.8,49347,456,0.9,49347,6821,13.8
E14001256,Great Yarmouth,49517,41575,84.0,49517,47494,95.9,49517,5862,11.8,49517,2004,4.0,49517,2035,4.1,49517,98,0.2,49517,6028,12.2
E14001257,Greenwich and Woolwich,58773,48855,83.1,58773,48855,83.1,58773,9591,16.3,58773,10568,18.0,58773,34977,59.5,58773,4188,7.1,58773,13039,22.2
E14001258,Guildford,44704,43716,97.8,44704,44145,98.7,44704,10378,23.2,44704,8924,20.0,44704,28653,64.1,44704,5946,13.3,44704,13224,29.6
E14001259,Hackney North and Stoke Newington,49337,48344,98.0,49337,48344,98.0,49337,12553,25.4,49337,15224,30.9,49337,43441,88.0,49337,8469,17.2,49337,18530,37.6
E14001260,Hackney South and Shoreditch,58826,57104,97.1,58826,57104,97.1,58826,12485,21.2,58826,17581,29.9,58826,36888,62.7,58826,7506,12.8,58826,18472,31.4
E14001261,Halesowen,41035,40131,97.8,41035,40823,99.5,41035,4125,10.1,41035,3241,7.9,41035,13479,32.8,41035,1188,2.9,41035,5206,12.7
E14001262,Halifax,49245,47858,97.2,49245,49191,99.9,49245,8351,17.0,49245,6773,13.8,49245,22462,45.6,49245,3068,6.2,49245,10197,20.7
E14001263,Hamble Valley,46368,41600,89.7,46368,42741,92.2,46368,6724,14.5,46368,4367,9.4,46368,16124,34.8,46368,1370,3.0,46368,7859,16.9
E14001264,Hammersmith and Chiswick,61241,60434,98.7,61241,60576,98.9,61241,11100,18.1,61241,11570,18.9,61241,31467,51.4,61241,3515,5.7,61241,13491,22.0
E14001265,Hampstead and Highgate,63110,55863,88.5,63110,55863,88.5,63110,7304,11.6,63110,9631,15.3,63110,33819,53.6,63110,4254,6.7,63110,10682,16.9
E14001266,"Harborough, Oadby and Wigston",44822,39502,88.1,44822,42900,95.7,44822,5123,11.4,44822,1551,3.5,44822,5117,11.4,44822,203,0.5,44822,5382,12.0
E14001267,Harlow,48540,47485,97.8,48540,48512,99.9,48540,15653,32.2,48540,14107,29.1,48540,32435,66.8,48540,7924,16.3,48540,19901,41.0
E14001268,Harpenden and Berkhamsted,40607,37849,93.2,40607,40189,99.0,40607,8323,20.5,40607,7418,18.3,40607,17705,43.6,40607,3764,9.3,40607,10106,24.9
E14001269,Harrogate and Knaresborough,48926,45062,92.1,48926,48133,98.4,48926,6718,13.7,48926,7256,14.8,48926,18633,38.1,48926,2523,5.2,48926,8764,17.9
E14001270,Harrow East,41280,38447,93.1,41280,38448,93.1,41280,5144,12.5,41280,4617,11.2,41280,15902,38.5,41280,1948,4.7,41280,6870,16.6
E14001271,Harrow West,46155,38915,84.3,46155,38915,84.3,46155,4541,9.8,46155,3067,6.6,46155,7641,16.6,46155,907,2.0,46155,5343,11.6
E14001272,Hartlepool,45665,39961,87.5,45665,43738,95.8,45665,5973,13.1,45665,4297,9.4,45665,4722,10.3,45665,165,0.4,45665,6153,13.5
E14001273,Harwich and North Essex,45880,40129,87.5,45880,45135,98.4,45880,7249,15.8,45880,3614,7.9,45880,6039,13.2,45880,802,1.7,45880,7919,17.3
E14001274,Hastings and Rye,53302,50560,94.9,53302,52305,98.1,53302,10863,20.4,53302,10464,19.6,53302,29361,55.1,53302,5376,10.1,53302,14065,26.4
E14001275,Havant,43797,38665,88.3,43797,39680,90.6,43797,4792,10.9,43797,4140,9.5,43797,9259,21.1,43797,1606,3.7,43797,5790,13.2
E14001276,Hayes and Harlington,45422,41929,92.3,45422,41929,92.3,45422,6282,13.8,45422,6552,14.4,45422,27558,60.7,45422,3014,6.6,45422,9128,20.1
E14001277,Hazel Grove,43091,42377,98.3,43091,42932,99.6,43091,6335,14.7,43091,2594,6.0,43091,14356,33.3,43091,865,2.0,43091,6932,16.1
E14001278,Hemel Hempstead,44327,44060,99.4,44327,44215,99.7,44327,14632,33.0,44327,15877,35.8,44327,35083,79.1,44327,8857,20.0,44327,20396,46.0
E14001279,Hendon,54044,47755,88.4,54044,47755,88.4,54044,8769,16.2,54044,9229,17.1,54044,29232,54.1,54044,4133,7.6,54044,12029,22.3
E14001280,Henley and Thame,42570,35942,84.4,42570,41853,98.3,42570,5919,13.9,42570,3030,7.1,42570,7805,18.3,42570,1563,3.7,42570,6393,15.0
E14001281,Hereford and South Herefordshire,46602,39938,85.7,46602,45722,98.1,46602,9126,19.6,46602,7632,16.4,46602,11218,24.1,46602,2450,5.3,46602,10478,22.5
E14001282,Herne Bay and Sandwich,48711,36047,74.0,48711,44019,90.4,48711,6553,13.5,48711,4320,8.9,48711,2966,6.1,48711,423,0.9,48711,6750,13.9
E14001283,Hertford and Stortford,47414,45402,95.8,47414,47010,99.1,47414,5538,11.7,47414,4004,8.4,47414,24100,50.8,47414,1836,3.9,47414,7418,15.6
E14001284,Hertsmere,44827,42103,93.9,44827,43083,96.1,44827,10640,23.7,44827,10294,23.0,44827,17468,39.0,44827,2899,6.5,44827,12535,28.0
E14001285,Hexham,43398,35246,81.2,43398,41031,94.5,43398,5124,11.8,43398,3342,7.7,43398,7901,18.2,43398,1340,3.1,43398,5896,13.6
E14001286,Heywood and Middleton North,45247,44096,97.5,45247,44545,98.4,45247,7141,15.8,45247,4237,9.4,45247,15392,34.0,45247,1360,3.0,45247,8278,18.3
E14001287,High Peak,44031,42936,97.5,44031,44006,99.9,44031,7706,17.5,44031,5031,11.4,44031,18542,42.1,44031,1727,3.9,44031,9081,20.6
E14001288,Hinckley and Bosworth,45694,40398,88.4,45694,45038,98.6,45694,7173,15.7,45694,3323,7.3,45694,1936,4.2,45694,281,0.6,45694,7373,16.1
E14001289,Hitchin,44301,41817,94.4,44301,43561,98.3,44301,7233,16.3,44301,4676,10.6,44301,6990,15.8,44301,773,1.7,44301,7816,17.6
E14001290,Holborn and St Pancras,69440,59948,86.3,69440,59948,86.3,69440,15240,21.9,69440,9121,13.1,69440,20811,30.0,69440,1355,2.0,69440,17081,24.6
E14001291,Honiton and Sidmouth,44653,28794,64.5,44653,40752,91.3,44653,4080,9.1,44653,1385,3.1,44653,3673,8.2,44653,184,0.4,44653,4158,9.3
E14001292,Hornchurch and Upminster,44392,33484,75.4,44392,33536,75.5,44392,5362,12.1,44392,3471,7.8,44392,18058,40.7,44392,1320,3.0,44392,6577,14.8
E14001293,Hornsey and Friern Barnet,48217,45978,95.4,48217,45978,95.4,48217,9408,19.5,48217,12004,24.9,48217,29800,61.8,48217,6859,14.2,48217,13022,27.0
E14001294,Horsham,46752,40812,87.3,46752,43552,93.2,46752,4670,10.0,46752,2119,4.5,46752,12432,26.6,46752,1058,2.3,46752,5686,12.2
E14001295,Houghton and Sunderland South,49064,42734,87.1,49064,43989,89.7,49064,7648,15.6,49064,6071,12.4,49064,20922,42.6,49064,2572,5.2,49064,9655,19.7
E14001296,Hove and Portslade,51373,46986,91.5,51373,46987,91.5,51373,8412,16.4,51373,6889,13.4,51373,13439,26.2,51373,1413,2.8,51373,9315,18.1
E14001297,Huddersfield,55992,54953,98.1,55992,55865,99.8,55992,9690,17.3,55992,4073,7.3,55992,9378,16.7,55992,627,1.1,55992,10183,18.2
E14001298,Huntingdon,49691,38075,76.6,49691,44589,89.7,49691,7948,16.0,49691,5299,10.7,49691,6186,12.4,49691,911,1.8,49691,8610,17.3
E14001299,Hyndburn,43349,41884,96.6,43349,43242,99.8,43349,7392,17.1,43349,4777,11.0,43349,10666,24.6,43349,925,2.1,43349,8226,19.0
E14001300,Ilford North,41053,39318,95.8,41053,39321,95.8,41053,4215,10.3,41053,5699,13.9,41053,30944,75.4,41053,3095,7.5,41053,6819,16.6
E14001301,Ilford South,42409,38256,90.2,42409,38256,90.2,42409,4255,10.0,42409,5258,12.4,42409,32838,77.4,42409,2698,6.4,42409,6780,16.0
E14001302,Ipswich,52239,46133,88.3,52239,46161,88.4,52239,6010,11.5,52239,7854,15.0,52239,27963,53.5,52239,3690,7.1,52239,9167,17.5
E14001303,Isle of Wight East,39123,37984,97.1,39123,38552,98.5,39123,4475,11.4,39123,4558,11.7,39123,5306,13.6,39123,1006,2.6,39123,5318,13.6
E14001304,Isle of Wight West,36459,31995,87.8,36459,34478,94.6,36459,5534,15.2,36459,4045,11.1,36459,6515,17.9,36459,1114,3.1,36459,6063,16.6
E14001305,Islington North,53315,47878,89.8,53315,47878,89.8,53315,8353,15.7,53315,7836,14.7,53315,19969,37.5,53315,812,1.5,53315,9732,18.3
E14001306,Islington South and Finsbury,61147,52074,85.2,61147,52074,85.2,61147,9920,16.2,61147,6913,11.3,61147,9,0.0,61147,0,0.0,61147,9920,16.2
E14001307,Jarrow and Gateshead East,45404,44987,99.1,45404,45090,99.3,45404,13124,28.9,45404,15845,34.9,45404,33749,74.3,45404,8503,18.7,45404,18668,41.1
E14001308,Keighley and Ilkley,43629,38939,89.3,43629,43005,98.6,43629,7211,16.5,43629,6804,15.6,43629,13461,30.9,43629,2995,6.9,43629,9232,21.2
E14001309,Kenilworth and Southam,46679,32097,68.8,46679,41691,89.3,46679,5202,11.1,46679,2480,5.3,46679,7457,16.0,46679,999,2.1,46679,5951,12.7
E14001310,Kensington and Bayswater,86423,77363,89.5,86423,77363,89.5,86423,8476,9.8,86423,10218,11.8,86423,53360,61.7,86423,5075,5.9,86423,13308,15.4
E14001311,Kettering,49741,42356,85.2,49741,47128,94.7,49741,4986,10.0,49741,2657,5.3,49741,8798,17.7,49741,786,1.6,49741,5518,11.1
E14001312,Kingston and Surbiton,53999,44978,83.3,53999,48377,89.6,53999,3917,7.3,53999,2249,4.2,53999,5633,10.4,53999,326,0.6,53999,4363,8.1
E14001313,Kingston upon Hull East,47251,39885,84.4,47251,40478,85.7,47251,5275,11.2,47251,4096,8.7,47251,16007,33.9,47251,1807,3.8,47251,6910,14.6
E14001314,Kingston upon Hull North and Cottingham,54464,47913,88.0,54464,51149,93.9,54464,5884,10.8,54464,4503,8.3,54464,3415,6.3,54464,919,1.7,54464,6456,11.9
E14001315,Kingston upon Hull West and Haltemprice,51864,43744,84.3,51864,44687,86.2,51864,5140,9.9,51864,3009,5.8,51864,13068,25.2,51864,687,1.3,51864,6023,11.6
E14001316,Kingswinford and South Staffordshire,40423,34270,84.8,40423,36928,91.4,40423,5024,12.4,40423,4305,10.6,40423,10066,24.9,40423,1719,4.3,40423,6234,15.4
E14001317,Knowsley,43716,41086,94.0,43716,42422,97.0,43716,8617,19.7,43716,7900,18.1,43716,13594,31.1,43716,2685,6.1,43716,10059,23.0
E14001318,Lancaster and Wyre,46722,34062,72.9,46722,45570,97.5,46722,7298,15.6,46722,6405,13.7,46722,14436,30.9,46722,3174,6.8,46722,9457,20.2
E14001319,Leeds Central and Headingley,70425,67673,96.1,70425,67686,96.1,70425,12132,17.2,70425,14057,20.0,70425,33930,48.2,70425,4775,6.8,70425,15448,21.9
E14001320,Leeds East,49036,45864,93.5,49036,46957,95.8,49036,5308,10.8,49036,3976,8.1,49036,9207,18.8,49036,509,1.0,49036,6090,12.4
E14001321,Leeds North East,42604,40102,94.1,42604,40390,94.8,42604,5072,11.9,42604,5311,12.5,42604,23041,54.1,42604,2673,6.3,42604,7068,16.6
E14001322,Leeds North West,42898,39260,91.5,42898,42431,98.9,42898,5866,13.7,42898,6244,14.6,42898,15416,35.9,42898,2508,5.8,42898,8001,18.7
E14001323,Leeds South,59987,50267,83.8,59987,50394,84.0,59987,14687,24.5,59987,8836,14.7,59987,29155,48.6,59987,3769,6.3,59987,17669,29.5
E14001324,Leeds South West and Morley,44414,41013,92.3,44414,43914,98.9,44414,7697,17.3,44414,4947,11.1,44414,11065,24.9,44414,1566,3.5,44414,8626,19.4
E14001325,Leeds West and Pudsey,45858,43333,94.5,45858,43957,95.9,45858,7639,16.7,45858,5093,11.1,45858,13841,30.2,45858,1897,4.1,45858,9287,20.3
E14001326,Leicester East,41131,38802,94.3,41131,38961,94.7,41131,6331,15.4,41131,5713,13.9,41131,18319,44.5,41131,2240,5.4,41131,8159,19.8
E14001327,Leicester South,49564,45835,92.5,49564,45835,92.5,49564,5834,11.8,49564,5906,11.9,49564,26715,53.9,49564,3002,6.1,49564,8536,17.2
E14001328,Leicester West,53624,50766,94.7,53624,51050,95.2,53624,7702,14.4,53624,10161,18.9,53624,28176,52.5,53624,3273,6.1,53624,10498,19.6
E14001329,Leigh and Atherton,50757,47648,93.9,50757,49193,96.9,50757,7006,13.8,50757,8052,15.9,50757,26687,52.6,50757,3765,7.4,50757,10018,19.7
E14001330,Lewes,45419,39816,87.7,45419,43851,96.5,45419,5740,12.6,45419,2270,5.0,45419,5147,11.3,45419,479,1.1,45419,6002,13.2
E14001331,Lewisham East,51579,50387,97.7,51579,50387,97.7,51579,8274,16.0,51579,9406,18.2,51579,30147,58.4,51579,2786,5.4,51579,10805,20.9
E14001332,Lewisham North,57292,55317,96.6,57292,55317,96.6,57292,13048,22.8,57292,13769,24.0,57292,24791,43.3,57292,4524,7.9,57292,16227,28.3
E14001333,Lewisham West and East Dulwich,46717,44540,95.3,46717,44540,95.3,46717,5739,12.3,46717,8062,17.3,46717,17631,37.7,46717,2409,5.2,46717,7475,16.0
E14001334,Leyton and Wanstead,46801,39116,83.6,46801,39116,83.6,46801,11700,25.0,46801,12028,25.7,46801,28025,59.9,46801,7401,15.8,46801,15861,33.9
E14001335,Lichfield,44353,34549,77.9,44353,39793,89.7,44353,4665,10.5,44353,3519,7.9,44353,9824,22.1,44353,1140,2.6,44353,5462,12.3
E14001336,Lincoln,60267,51680,85.8,60267,55467,92.0,60267,6654,11.0,60267,5775,9.6,60267,25329,42.0,60267,3132,5.2,60267,8725,14.5
E14001337,Liverpool Garston,42286,38288,90.5,42286,38291,90.6,42286,5495,13.0,42286,4776,11.3,42286,19396,45.9,42286,1941,4.6,42286,7136,16.9
E14001338,Liverpool Riverside,71458,58147,81.4,71458,58147,81.4,71458,11169,15.6,71458,6798,9.5,71458,31088,43.5,71458,3321,4.6,71458,13604,19.0
E14001339,Liverpool Walton,45093,42294,93.8,45093,42304,93.8,45093,5120,11.4,45093,4865,10.8,45093,10429,23.1,45093,844,1.9,45093,6044,13.4
E14001340,Liverpool Wavertree,50721,49025,96.7,50721,49025,96.7,50721,7539,14.9,50721,9522,18.8,50721,35244,69.5,50721,4590,9.0,50721,11997,23.7
E14001341,Liverpool West Derby,44993,43811,97.4,44993,43811,97.4,44993,6203,13.8,44993,4072,9.1,44993,15774,35.1,44993,1180,2.6,44993,7117,15.8
E14001342,Loughborough,48332,44040,91.1,48332,46470,96.1,48332,4123,8.5,48332,2930,6.1,48332,1313,2.7,48332,14,0.0,48332,4137,8.6
E14001343,Louth and Horncastle,54149,28716,53.0,54149,45414,83.9,54149,2488,4.6,54149,1360,2.5,54149,1149,2.1,54149,90,0.2,54149,2549,4.7
E14001344,Lowestoft,46031,37172,80.8,46031,41404,89.9,46031,4897,10.6,46031,2113,4.6,46031,5429,11.8,46031,257,0.6,46031,5200,11.3
E14001345,Luton North,41597,37215,89.5,41597,39341,94.6,41597,3191,7.7,41597,3024,7.3,41597,12490,30.0,41597,1282,3.1,41597,4365,10.5
E14001346,Luton South and South Bedfordshire,51013,48992,96.0,51013,49313,96.7,51013,7030,13.8,51013,9004,17.7,51013,25722,50.4,51013,4677,9.2,51013,10274,20.1
E14001347,Macclesfield,46062,41890,90.9,46062,45005,97.7,46062,5018,10.9,46062,3182,6.9,46062,10095,21.9,46062,763,1.7,46062,5804,12.6
E14001348,Maidenhead,45864,41673,90.9,45864,44463,96.9,45864,9043,19.7,45864,8526,18.6,45864,10991,24.0,45864,1924,4.2,45864,9915,21.6
E14001349,Maidstone and Malling,49363,43892,88.9,49363,46423,94.0,49363,5367,10.9,49363,2887,5.8,49363,13929,28.2,49363,988,2.0,49363,6178,12.5
E14001350,Makerfield,45667,43859,96.0,45667,45367,99.3,45667,6874,15.1,45667,5816,12.7,45667,17149,37.6,45667,1902,4.2,45667,8239,18.0
E14001351,Maldon,44602,38147,85.5,44602,43331,97.2,44602,5395,12.1,44602,3685,8.3,44602,17553,39.4,44602,1719,3.9,44602,7113,15.9
E14001352,Manchester Central,74366,50574,68.0,74366,50792,68.3,74366,10296,13.8,74366,6316,8.5,74366,13627,18.3,74366,1639,2.2,74366,11608,15.6
E14001353,Manchester Rusholme,64648,58406,90.3,64648,58406,90.3,64648,13382,20.7,64648,15292,23.7,64648,35079,54.3,64648,4459,6.9,64648,17253,26.7
E14001354,Manchester Withington,40524,37763,93.2,40524,37929,93.6,40524,5030,12.4,40524,5853,14.4,40524,26974,66.6,40524,2176,5.4,40524,7381,18.2
E14001355,Mansfield,49113,46868,95.4,49113,48336,98.4,49113,9042,18.4,49113,5247,10.7,49113,12704,25.9,49113,1935,3.9,49113,10191,20.8
E14001356,Melksham and Devizes,43349,34910,80.5,43349,43087,99.4,43349,5461,12.6,43349,1710,3.9,43349,3358,7.7,43349,328,0.8,43349,5555,12.8
E14001357,Melton and Syston,42654,31858,74.7,42654,39486,92.6,42654,4303,10.1,42654,2768,6.5,42654,7719,18.1,42654,1140,2.7,42654,4990,11.7
E14001358,Meriden and Solihull East,43998,33676,76.5,43998,33966,77.2,43998,5240,11.9,43998,4370,9.9,43998,16599,37.7,43998,2765,6.3,43998,6809,15.5
E14001359,Mid Bedfordshire,43183,37886,87.7,43183,42388,98.2,43183,5803,13.4,43183,3928,9.1,43183,10324,23.9,43183,903,2.1,43183,6589,15.3
E14001360,Mid Buckinghamshire,42410,35883,84.6,42410,41461,97.8,42410,7498,17.7,42410,3691,8.7,42410,7439,17.5,42410,1774,4.2,42410,8058,19.0
E14001361,Mid Cheshire,43553,28958,66.5,43553,39339,90.3,43553,3474,8.0,43553,1963,4.5,43553,5527,12.7,43553,426,1.0,43553,3698,8.5
E14001362,Mid Derbyshire,40746,35783,87.8,40746,38720,95.0,40746,5816,14.3,40746,2438,6.0,40746,8729,21.4,40746,1140,2.8,40746,6526,16.0
E14001363,Mid Dorset and North Poole,42935,40110,93.4,42935,41121,95.8,42935,8941,20.8,42935,10335,24.1,42935,27812,64.8,42935,6345,14.8,42935,12539,29.2
E14001364,Mid Leicestershire,43784,38833,88.7,43784,41015,93.7,43784,4698,10.7,43784,1948,4.4,43784,10684,24.4,43784,783,1.8,43784,5266,12.0
E14001365,Mid Norfolk,43992,24206,55.0,43992,35008,79.6,43992,4166,9.5,43992,1787,4.1,43992,5271,12.0,43992,895,2.0,43992,4619,10.5
E14001366,Mid Sussex,44228,42886,97.0,44228,43786,99.0,44228,6890,15.6,44228,3336,7.5,44228,14417,32.6,44228,1489,3.4,44228,7889,17.8
E14001367,Middlesbrough and Thornaby East,52914,47938,90.6,52914,48111,90.9,52914,7429,14.0,52914,5957,11.3,52914,20459,38.7,52914,2212,4.2,52914,9891,18.7
E14001368,Middlesbrough South and East Cleveland,44125,33007,74.8,44125,34978,79.3,44125,5416,12.3,44125,3968,9.0,44125,10172,23.1,44125,801,1.8,44125,6175,14.0
E14001369,Milton Keynes Central,54782,52780,96.3,54782,53896,98.4,54782,13958,25.5,54782,13446,24.5,54782,37604,68.6,54782,6824,12.5,54782,18745,34.2
E14001370,Milton Keynes North,43709,39260,89.8,43709,43030,98.4,43709,12403,28.4,43709,7286,16.7,43709,20994,48.0,43709,4311,9.9,43709,13826,31.6
E14001371,Mitcham and Morden,46938,46558,99.2,46938,46558,99.2,46938,12384,26.4,46938,12192,26.0,46938,37673,80.3,46938,6473,13.8,46938,16609,35.4
E14001372,Morecambe and Lunesdale,49533,34358,69.4,49533,41937,84.7,49533,4928,9.9,49533,1211,2.4,49533,5433,11.0,49533,422,0.9,49533,5162,10.4
E14001373,New Forest East,41202,37472,90.9,41202,39588,96.1,41202,9328,22.6,41202,9189,22.3,41202,19687,47.8,41202,6786,16.5,41202,11727,28.5
E14001374,New Forest West,43178,39180,90.7,43178,40635,94.1,43178,6184,14.3,43178,5923,13.7,43178,14811,34.3,43178,3484,8.1,43178,7839,18.2
E14001375,Newark,49436,31863,64.5,49436,45756,92.6,49436,5086,10.3,49436,1659,3.4,49436,8513,17.2,49436,857,1.7,49436,5753,11.6
E14001376,Newbury,44389,42820,96.5,44389,43745,98.5,44389,8252,18.6,44389,8087,18.2,44389,12746,28.7,44389,2486,5.6,44389,9386,21.1
E14001377,Newcastle upon Tyne Central and West,56302,53726,95.4,56302,54692,97.1,56302,14074,25.0,56302,11955,21.2,56302,25584,45.4,56302,5345,9.5,56302,17044,30.3
E14001378,Newcastle upon Tyne East and Wallsend,54536,53796,98.6,54536,53796,98.6,54536,13343,24.5,54536,14232,26.1,54536,35669,65.4,54536,6978,12.8,54536,18002,33.0
E14001379,Newcastle upon Tyne North,48473,39340,81.2,48473,39340,81.2,48473,7833,16.2,48473,9677,20.0,48473,21149,43.6,48473,4101,8.5,48473,10648,22.0
E14001380,Newcastle-under-Lyme,44259,42901,96.9,44259,43773,98.9,44259,11201,25.3,44259,11032,24.9,44259,27379,61.9,44259,5277,11.9,44259,14327,32.4
E14001381,Newton Abbot,45087,33552,74.4,45087,37208,82.5,45087,6405,14.2,45087,3682,8.2,45087,6193,13.7,45087,1058,2.3,45087,7159,15.9
E14001382,Newton Aycliffe and Spennymoor,46483,43355,93.3,46483,46318,99.6,46483,7768,16.7,46483,4128,8.9,46483,14728,31.7,46483,2389,5.1,46483,9373,20.2
E14001383,Normanton and Hemsworth,47718,46078,96.6,47718,47565,99.7,47718,8675,18.2,47718,4069,8.5,47718,15728,33.0,47718,1612,3.4,47718,9704,20.3
E14001384,North Bedfordshire,45831,38608,84.2,45831,44884,97.9,45831,6019,13.1,45831,2362,5.2,45831,8791,19.2,45831,889,1.9,45831,6794,14.8
E14001385,North Cornwall,51950,29639,57.1,51950,46590,89.7,51950,4620,8.9,51950,2105,4.1,51950,6532,12.6,51950,688,1.3,51950,4937,9.5
E14001386,North Cotswolds,45780,36605,80.0,45780,45390,99.1,45780,6130,13.4,45780,3214,7.0,45780,4075,8.9,45780,1014,2.2,45780,6663,14.6
E14001387,North Devon,50008,35527,71.0,50008,45684,91.4,50008,4851,9.7,50008,2844,5.7,50008,8754,17.5,50008,933,1.9,50008,5335,10.7
E14001388,North Dorset,43503,32400,74.5,43503,42896,98.6,43503,4434,10.2,43503,3291,7.6,43503,12839,29.5,43503,1693,3.9,43503,5576,12.8
