PCON24CD,AIR,BCE,BCQ,BCS,BCT,BST,FBT,FER,FTD,GAT,MET,PLT,RLY,RPL,RSE,STR,TMU,TXR,area_km2,BCT_density,MET_density,RLY_density,alltypes
E14001326,,,,1.0,422.0,,,,,,,,,,,,,,58.33,7.23,,,
E14001327,,,,36.0,436.0,,,,,,,,1.0,,1.0,,,,52.03,8.38,,0.019,
E14001328,,,,,565.0,,,,,,1.0,1.0,,,,,1.0,,88.75,6.37,0.01,,
E14001329,,4.0,4.0,12.0,569.0,1.0,,,,,,,2.0,,3.0,,,,149.9,3.8,,0.013,
E14001330,,,1.0,,687.0,,1.0,1.0,1.0,,,,11.0,,13.0,,,,893.94,0.77,,0.012,
E14001331,,,,,298.0,,,,,,,,8.0,,11.0,,,,40.8,7.3,,0.196,
E14001332,,,,,245.0,,,,,,2.0,3.0,10.0,,11.0,,4.0,,30.68,7.99,0.07,0.326,
E14001333,,,,,235.0,,,,,,,,5.0,,12.0,,,,29.44,7.98,,0.17,
E14001334,,,,,222.0,,,,,,5.0,9.0,2.0,,3.0,,11.0,,44.6,4.98,0.11,0.045,
E14001335,,,1.0,8.0,433.0,,,,,,,,4.0,,4.0,,,,864.94,0.5,,0.005,
E14001336,,,,15.0,549.0,,,,,,,,1.0,,,,,,178.03,3.08,,0.006,
E14001337,1.0,1.0,,3.0,452.0,,,,,1.0,,,5.0,,6.0,,,3.0,94.66,4.77,,0.053,
E14001338,,2.0,,23.0,573.0,,,1.0,1.0,,,,11.0,,19.0,,,23.0,60.25,9.51,,0.183,
E14001339,,,,,379.0,,,,,,,,6.0,,7.0,,,3.0,71.43,5.31,,0.084,
E14001340,,,,,314.0,,,,,,,,5.0,,7.0,,,5.0,55.19,5.69,,0.091,
E14001341,,,,,287.0,,,,,,,,2.0,,2.0,,,7.0,52.84,5.43,,0.038,
E14001342,,,,,484.0,,,,,,2.0,2.0,2.0,,2.0,,2.0,,334.35,1.45,0.01,0.006,
E14001343,,,,,1238.0,,,,,,,,,,,,,,3672.83,0.34,,,
E14001344,,,,6.0,703.0,,,,,,,,5.0,,9.0,,,,292.84,2.4,,0.017,
E14001345,,,,,368.0,,,,,,,,1.0,,1.0,,,,57.53,6.4,,0.017,
E14001346,,4.0,,31.0,535.0,,,,,1.0,,,2.0,,4.0,,,6.0,263.66,2.03,,0.008,
E14001347,,4.0,,9.0,641.0,,,,,,,,5.0,,9.0,4.0,,,842.25,0.76,,0.006,
E14001348,,,,,602.0,,,,,,,,3.0,,4.0,,,8.0,469.62,1.28,,0.006,
E14001349,,,,11.0,400.0,,,,,,,,8.0,,17.0,,,6.0,132.18,3.03,,0.061,
E14001350,,,,,534.0,,,,,,,,4.0,,6.0,,,,160.91,3.32,,0.025,
E14001351,,,,,606.0,,,,1.0,,,,6.0,,7.0,,,,996.77,0.61,,0.006,
E14001352,,7.0,3.0,15.0,622.0,3.0,,,,,16.0,37.0,4.0,,10.0,,30.0,32.0,77.69,8.01,0.21,0.051,
E14001353,,,,,336.0,,,,,,1.0,2.0,2.0,,2.0,,1.0,4.0,41.8,8.04,0.02,0.048,
E14001354,,5.0,,,328.0,2.0,,,,,8.0,16.0,2.0,,5.0,,18.0,5.0,51.14,6.41,0.16,0.039,
E14001355,,4.0,,16.0,575.0,,,,,,,,2.0,,10.0,,,,196.86,2.92,,0.01,
E14001356,,,,,844.0,,,,,,,,3.0,,3.0,,,,1069.47,0.79,,0.003,
E14001357,,,,,595.0,,,,,,,,4.0,,4.0,,,,1555.53,0.38,,0.003,
E14001358,,,,12.0,574.0,,,,,3.0,2.0,2.0,6.0,,12.0,,,,358.93,1.6,0.01,0.017,
E14001359,,,,3.0,648.0,,,,,,,,8.0,,14.0,,,2.0,916.16,0.71,,0.009,
E14001360,,,,,806.0,,,,,,,,9.0,,12.0,,,,1413.87,0.57,,0.006,
E14001361,,,,,427.0,,,,,,,,4.0,,4.0,8.0,,,292.53,1.46,,0.014,
E14001362,,,,2.0,749.0,,,,,,1.0,1.0,3.0,,5.0,,1.0,,391.82,1.91,0.0,0.008,
E14001363,,,,,651.0,,,,,,,,2.0,,2.0,,,,757.07,0.86,,0.003,
E14001364,,,,,541.0,,,,,,1.0,1.0,,,,,1.0,,374.24,1.45,0.0,,
E14001365,,,,,590.0,,,,,,1.0,1.0,2.0,,4.0,,,,2272.93,0.26,0.0,0.001,
E14001366,,,,,517.0,,,,,,,,4.0,,9.0,,,7.0,417.8,1.24,,0.01,
E14001367,,,,,544.0,,,,1.0,,,,3.0,,3.0,9.0,,13.0,105.21,5.17,,0.029,
E14001368,,,,,619.0,,,,,,,,,,,2.0,,,579.1,1.07,,,
E14001369,,,,10.0,557.0,,,,,,,,3.0,,5.0,,,,173.63,3.21,,0.017,
E14001370,,,,,479.0,,,,,,,,1.0,,1.0,,,,586.32,0.82,,0.002,
E14001371,,,,,268.0,,,,,,5.0,8.0,5.0,,11.0,,7.0,,47.96,5.59,0.1,0.104,
E14001372,,,,3.0,857.0,,,1.0,1.0,,,,9.0,,12.0,,,,2402.48,0.36,,0.004,
E14001373,,,1.0,,641.0,,1.0,2.0,2.0,,,,6.0,,6.0,,,,992.18,0.65,,0.006,
E14001374,,,,,484.0,,,,,,,,3.0,,3.0,,,,893.95,0.54,,0.003,
E14001375,,1.0,,6.0,943.0,,,,,,,,9.0,,15.0,,,,2146.45,0.44,,0.004,
E14001376,,,,7.0,767.0,,,,,,,,5.0,,12.0,,,10.0,1020.52,0.75,,0.005,
E14001377,,,,24.0,614.0,,,,,,5.0,11.0,2.0,,,,,,98.16,6.26,0.05,0.02,
E14001378,,,,4.0,529.0,,,,,,6.0,12.0,,,,,,,81.93,6.46,0.07,,
E14001379,,,,12.0,417.0,,,,,,11.0,22.0,,,,,,,98.25,4.24,0.11,,
E14001380,,,1.0,15.0,480.0,,,,,,,,,,1.0,,,,283.64,1.69,,,
E14001381,,,,,538.0,,2.0,2.0,1.0,,,,5.0,,5.0,,,,487.48,1.1,,0.01,
E14001382,,,,11.0,809.0,,,,,,,,2.0,,4.0,,,,736.04,1.1,,0.003,
E14001383,,,,8.0,688.0,,,,,,,,6.0,,14.0,,,,440.03,1.56,,0.014,
E14001384,,,,3.0,885.0,,,,,,,,2.0,,4.0,,,,1553.11,0.57,,0.001,
E14001385,1.0,,,,1192.0,,,,1.0,1.0,3.0,,,,,,3.0,,3175.67,0.38,0.0,,
E14001386,1.0,,,,1461.0,,,,,1.0,,,1.0,,1.0,,,,2703.29,0.54,,0.0,
E14001387,,,,13.0,796.0,,1.0,1.0,1.0,,,,5.0,,5.0,,,,2746.94,0.29,,0.002,
E14001388,,,,,870.0,,,,,,,,1.0,,1.0,,,,2002.49,0.43,,0.0,
E14001389,,,,24.0,780.0,,,,,,,,1.0,,2.0,,,,691.44,1.13,,0.001,
E14001390,,,,8.0,510.0,,,,,,,,3.0,,3.0,,,,1476.69,0.35,,0.002,
E14001391,,,,9.0,896.0,,,,,,,,1.0,,2.0,,,,631.45,1.42,,0.002,
E14001392,,,,,401.0,,,,,,,,4.0,,4.0,,,,836.04,0.48,,0.005,
E14001393,,,,3.0,599.0,,,,,,,,5.0,,4.0,,,,1319.41,0.45,,0.004,
E14001394,,,,,605.0,,,,,,2.0,,1.0,,1.0,,2.0,,536.92,1.13,0.0,0.002,
E14001395,,,,,870.0,,,,,,,,3.0,,3.0,,,,3820.47,0.23,,0.001,
E14001396,,,,4.0,696.0,,,,,,5.0,5.0,8.0,,7.0,,2.0,,2106.65,0.33,0.0,0.004,
E14001397,,,3.0,16.0,1005.0,,,,,,,,7.0,,13.0,,,,6657.45,0.15,,0.001,
E14001398,,,,5.0,874.0,,,,,,,,5.0,,11.0,,,,2118.26,0.41,,0.002,
E14001399,1.0,,,,609.0,,,,,1.0,,,1.0,,1.0,,,,505.61,1.2,,0.002,
E14001400,,,,1.0,677.0,,,,,,,,5.0,,6.0,,,,719.93,0.94,,0.007,
E14001401,,,,3.0,581.0,,,,,,4.0,4.0,,,,,,,1048.45,0.55,0.0,,
E14001402,1.0,,,41.0,766.0,,,,,1.0,,,6.0,,6.0,,,,1630.12,0.47,,0.004,
E14001403,,,,11.0,682.0,,,,,,,,3.0,,3.0,,,,1140.14,0.6,,0.003,
E14001404,1.0,,,,709.0,,,,,1.0,,,,,,,,,646.23,1.1,,,
E14001405,,,,12.0,712.0,,,,1.0,,,,1.0,,1.0,,,,2252.82,0.32,,0.0,
E14001406,,,,15.0,493.0,,,,,,,,1.0,,1.0,,,,82.23,6.0,,0.012,
E14001407,,,,5.0,514.0,,,,,,,,,,,,,,132.9,3.87,,,
E14001408,,,,,444.0,,,,,1.0,,,,,,,,,113.78,3.9,,,
E14001409,,,,16.0,461.0,,,,,,,,1.0,,1.0,,,,77.7,5.93,,0.013,
E14001410,,1.0,2.0,21.0,538.0,,,,,,12.0,19.0,,,2.0,,20.0,,59.63,9.02,0.2,,
E14001411,,,,8.0,583.0,,,,,,8.0,18.0,1.0,,1.0,,16.0,,110.38,5.28,0.07,0.009,
E14001412,,,,,654.0,,,,,,15.0,30.0,1.0,,,,30.0,,88.82,7.36,0.17,0.011,
E14001413,,,,14.0,590.0,,,,,,,,2.0,,2.0,,,,224.05,2.63,,0.009,
E14001414,,,2.0,,297.0,,,,,,,,5.0,,5.0,,,,69.43,4.28,,0.072,
E14001415,,,1.0,,655.0,,,,,,3.0,7.0,1.0,,1.0,,8.0,7.0,295.53,2.22,0.01,0.003,
E14001416,,2.0,4.0,12.0,567.0,1.0,,,,,5.0,10.0,,,,,13.0,9.0,87.27,6.5,0.06,,
E14001417,,,,,494.0,,,,,,,,5.0,,10.0,,,,173.88,2.84,,0.029,
E14001418,,,,6.0,793.0,,,,,,,,4.0,,8.0,,,,398.91,1.99,,0.01,
E14001419,,,,,411.0,,,,,,,,,,,,,,73.16,5.62,,,
E14001420,,,1.0,13.0,502.0,,,,,,,,2.0,,2.0,,,,280.19,1.79,,0.007,
E14001421,,,,,171.0,,,,,,1.0,,6.0,,5.0,,1.0,,20.89,8.19,0.05,0.287,
E14001422,,,,19.0,655.0,,,,,,,,4.0,,5.0,,,,680.5,0.96,,0.006,
E14001423,,,,,764.0,,,,,,,,4.0,,6.0,,,,829.3,0.92,,0.005,
E14001424,,1.0,,10.0,927.0,,8.0,7.0,8.0,,1.0,1.0,9.0,1.0,16.0,,,,5912.91,0.16,0.0,0.002,
E14001425,,4.0,,28.0,623.0,,,,,,,,1.0,,1.0,,,4.0,466.91,1.33,,0.002,
E14001426,1.0,,,,796.0,,,,,1.0,,,2.0,,2.0,,,,82.19,9.68,,0.024,
E14001427,,,1.0,,644.0,,,1.0,2.0,,,,4.0,,4.0,,,,49.97,12.89,,0.08,
E14001428,,,,20.0,622.0,,,,,,,,6.0,,11.0,,,,209.36,2.97,,0.029,
E14001429,,,,18.0,533.0,,3.0,3.0,3.0,,,,3.0,,3.0,,,,75.6,7.05,,0.04,
E14001430,,,,,226.0,,2.0,1.0,4.0,,17.0,34.0,2.0,,4.0,,33.0,,23.52,9.61,0.72,0.085,
E14001431,,,,,313.0,,,1.0,1.0,,,,2.0,,2.0,,,,67.55,4.63,,0.03,
E14001432,,,1.0,4.0,253.0,,2.0,3.0,2.0,,,,3.0,,4.0,,,,33.55,7.54,,0.089,
E14001433,,,,40.0,482.0,,,,,,,,1.0,,3.0,,,5.0,115.4,4.18,,0.009,
E14001434,,,,,219.0,,,,2.0,,2.0,3.0,2.0,,2.0,,3.0,,35.55,6.16,0.06,0.056,
E14001435,,,,,156.0,,1.0,1.0,1.0,,7.0,12.0,6.0,,6.0,,7.0,,19.62,7.95,0.36,0.306,
E14001436,,,,2.0,589.0,,,,,,1.0,1.0,3.0,,4.0,,1.0,,283.42,2.08,0.0,0.011,
E14001437,,,,,290.0,,,,,,,,3.0,,4.0,,,,174.18,1.66,,0.017,
E14001438,,,1.0,,458.0,,,,,,,,3.0,,10.0,,,2.0,66.26,6.91,,0.045,
E14001439,,,,,629.0,,,,,,,,6.0,,10.0,,,,807.29,0.78,,0.007,
E14001440,,,,,470.0,,,,,,,,10.0,,10.0,1.0,,7.0,225.54,2.08,,0.044,
E14001441,,,,10.0,542.0,,,,,,,,1.0,,1.0,,,,500.97,1.08,,0.002,
E14001442,,,2.0,5.0,410.0,,,,,,,,9.0,,14.0,,,,223.42,1.84,,0.04,
E14001443,,,,,767.0,,,,,,,,4.0,,6.0,,,,1865.68,0.41,,0.002,
E14001444,,,,,670.0,,,,,,3.0,,4.0,,4.0,,,,5598.53,0.12,0.0,0.001,
E14001445,,,,,297.0,,1.0,1.0,1.0,,2.0,3.0,8.0,,10.0,,,,91.18,3.26,0.02,0.088,
E14001446,,2.0,4.0,12.0,577.0,1.0,,,,,6.0,12.0,3.0,,5.0,,14.0,3.0,226.42,2.55,0.03,0.013,
E14001447,,,3.0,19.0,436.0,,,,,,,,4.0,,5.0,,,,372.51,1.17,,0.011,
E14001448,,,,,278.0,,,,,,,,2.0,,4.0,,,,76.91,3.61,,0.026,
E14001449,,,,5.0,697.0,,,,,,,,4.0,,4.0,,,,1357.96,0.51,,0.003,
E14001450,,,,9.0,797.0,,,,,,1.0,,2.0,,3.0,,,2.0,621.45,1.28,0.0,0.003,
E14001451,,,,3.0,568.0,,,,,,,,2.0,,2.0,,,,447.34,1.27,,0.004,
E14001452,,,,24.0,662.0,,,,,,1.0,2.0,1.0,,1.0,,1.0,,164.28,4.03,0.01,0.006,
E14001453,,,,,630.0,,,,,,,,1.0,,2.0,,,,657.28,0.96,,0.002,
E14001454,,,,,282.0,,,,,,8.0,12.0,2.0,,3.0,,7.0,,104.69,2.69,0.08,0.019,
E14001455,,,,,610.0,,,,,,,,7.0,,10.0,2.0,,2.0,523.29,1.17,,0.013,
E14001456,,,,,378.0,,1.0,1.0,,,,,9.0,,12.0,,,,261.86,1.44,,0.034,
E14001457,,,,,764.0,,,,,,4.0,8.0,2.0,,3.0,,5.0,,794.21,0.96,0.01,0.003,
E14001458,,,,8.0,701.0,,,,,,,,2.0,,2.0,,,,2609.33,0.27,,0.001,
E14001459,,,,,490.0,,,,,,9.0,18.0,3.0,,6.0,,2.0,12.0,78.35,6.25,0.11,0.038,
E14001460,,,,,1150.0,,,,,,,,3.0,,3.0,,,,1752.83,0.66,,0.002,
E14001461,,,,2.0,768.0,,,,,,1.0,,12.0,,12.0,,,,2173.96,0.35,0.0,0.006,
E14001462,,,,13.0,720.0,,,,,,,,2.0,,2.0,,,,796.48,0.9,,0.003,
E14001463,,,,,488.0,,,,,,,,7.0,,19.0,,,7.0,251.36,1.94,,0.028,
E14001464,,,,6.0,768.0,,,,,,,,6.0,,8.0,,,,1442.76,0.53,,0.004,
E14001465,,,,4.0,528.0,,,,,,,,9.0,,18.0,,,6.0,648.97,0.81,,0.014,
E14001466,,,,22.0,627.0,,,,,,7.0,12.0,1.0,,3.0,,21.0,,79.69,7.87,0.09,0.013,
E14001467,,,,28.0,390.0,,,,,,11.0,21.0,1.0,,2.0,,40.0,,35.51,10.98,0.31,0.028,
E14001468,,,,,539.0,,,,,,,,1.0,,1.0,,,,383.05,1.41,,0.003,
E14001469,,,,,561.0,,,,,,12.0,24.0,,,,,44.0,,78.31,7.16,0.15,,
E14001470,,,,,620.0,,,,,,18.0,35.0,2.0,,2.0,,68.0,,131.88,4.7,0.14,0.015,
E14001471,,,,,750.0,,,,,,2.0,4.0,4.0,,7.0,,3.0,,859.02,0.87,0.0,0.005,
E14001472,,,,,702.0,,,,,,,,8.0,,24.0,,,,272.48,2.58,,0.029,
E14001473,,,,19.0,816.0,,,,,,,,1.0,,3.0,,,,908.5,0.9,,0.001,
E14001474,,,,,454.0,,,,,,,,6.0,,11.0,,,3.0,423.48,1.07,,0.014,
E14001475,,,,11.0,922.0,,,,,,2.0,,12.0,,12.0,,,,5900.24,0.16,0.0,0.002,
E14001476,,,,,827.0,,,,,,,,6.0,,3.0,,,,1991.82,0.42,,0.003,
E14001477,,,,3.0,299.0,,,,,,,,3.0,,5.0,,,5.0,63.52,4.71,,0.047,
E14001478,,,,,537.0,,,,,,1.0,2.0,6.0,,8.0,,1.0,,58.68,9.15,0.02,0.102,
E14001479,,,,,462.0,,,,,,,,4.0,,1.0,,,,105.25,4.39,,0.038,
E14001480,,,,,313.0,,,,,,,,5.0,,5.0,,,2.0,311.57,1.0,,0.016,
E14001481,1.0,,,5.0,737.0,,,,,1.0,,,6.0,,5.0,,,,1560.52,0.47,,0.004,
E14001482,,,,1.0,1031.0,,,,,,,,1.0,,1.0,,,,2172.71,0.47,,0.0,
E14001483,,,,7.0,768.0,,,,,,,,1.0,,1.0,,,,795.78,0.97,,0.001,
E14001484,,,,3.0,755.0,,5.0,9.0,11.0,,5.0,3.0,1.0,,1.0,,5.0,,1558.06,0.48,0.0,0.001,
E14001485,,,,3.0,617.0,,1.0,1.0,1.0,,4.0,7.0,4.0,,4.0,,4.0,,872.77,0.71,0.0,0.005,
E14001486,,,,,939.0,,1.0,3.0,3.0,,1.0,,14.0,,14.0,,1.0,,1745.35,0.54,0.0,0.008,
E14001487,,,,8.0,856.0,,,,,,,,1.0,,,,,,2124.83,0.4,,0.0,
E14001488,,,,,489.0,,,,,,,,1.0,,1.0,,,,894.35,0.55,,0.001,
E14001489,,,,,639.0,,1.0,1.0,,,1.0,1.0,3.0,,4.0,,,,1408.43,0.45,0.0,0.002,
E14001490,,,1.0,1.0,745.0,,,,,,,,1.0,,1.0,,,,1678.7,0.44,,0.001,
E14001491,,,,,530.0,,,,,,,,3.0,,6.0,,,1.0,399.44,1.33,,0.008,
E14001492,,,,,492.0,,,1.0,,,6.0,10.0,2.0,,,,,,107.59,4.57,0.06,0.019,
E14001493,,,,2.0,1143.0,,,,,,,,7.0,,13.0,,,,4913.41,0.23,,0.001,
E14001494,,,,4.0,863.0,,,,,,,,1.0,,1.0,,,1.0,1570.84,0.55,,0.001,
E14001495,,,,,799.0,,1.0,1.0,2.0,,,,1.0,,1.0,,,,969.57,0.82,,0.001,
E14001496,,,,,441.0,,,,,,4.0,9.0,4.0,,5.0,,6.0,,252.21,1.75,0.02,0.016,
E14001497,,,,6.0,643.0,,,,,,,,5.0,,5.0,,,,3130.27,0.21,,0.002,
E14001498,,,,,669.0,,,,,,,,4.0,,4.0,,,,1148.84,0.58,,0.003,
E14001499,,,,5.0,379.0,,,,,,,,4.0,,5.0,,,,51.11,7.42,,0.078,
E14001500,,,,,321.0,,,,,,,,3.0,,3.0,,,,55.35,5.8,,0.054,
E14001501,1.0,,,,392.0,,,,1.0,1.0,,,8.0,,12.0,,,,341.41,1.15,,0.023,
E14001502,,,,,365.0,,,,,,,,3.0,,4.0,,,,59.67,6.12,,0.05,
E14001503,,,,,292.0,,,,,,6.0,8.0,5.0,,6.0,,12.0,,64.1,4.56,0.09,0.078,
E14001504,,,,,584.0,,,,,,,,5.0,,8.0,,,16.0,348.39,1.68,,0.014,
E14001505,,,,10.0,376.0,,1.0,1.0,,,,,6.0,,9.0,,,,131.47,2.86,,0.046,
E14001506,,,,6.0,721.0,,,,,,,,1.0,,3.0,,,,176.88,4.08,,0.006,
E14001507,,,,,406.0,,,,,,,,5.0,,6.0,,,,155.54,2.61,,0.032,
E14001508,,,,9.0,814.0,,2.0,2.0,2.0,,,,7.0,,7.0,,,,722.85,1.13,,0.01,
E14001509,,1.0,,4.0,679.0,,,,,,,,4.0,,6.0,,,1.0,236.49,2.87,,0.017,
E14001510,,1.0,,9.0,607.0,,,,,,,,6.0,,14.0,,,18.0,154.47,3.93,,0.039,
E14001511,3.0,,,6.0,1060.0,,3.0,4.0,4.0,3.0,,,6.0,,6.0,,,,1402.47,0.76,,0.004,
E14001512,,,,,516.0,,,,,,,,1.0,,1.0,,,,931.87,0.55,,0.001,
E14001513,,,1.0,,509.0,,,,,,,,2.0,,1.0,,,,1140.33,0.45,,0.002,
E14001514,,,,6.0,545.0,,,,,,2.0,,,,,,,,1475.41,0.37,0.0,,
E14001515,,3.0,4.0,6.0,591.0,2.0,,,,,,,9.0,,14.0,,,3.0,178.31,3.31,,0.05,
E14001516,,,,11.0,349.0,,,,,,,,2.0,,2.0,,,,166.28,2.1,,0.012,
E14001517,,,1.0,15.0,448.0,1.0,,,,,,,5.0,,10.0,,1.0,7.0,71.07,6.3,,0.07,
E14001518,,,,,585.0,,,,,,,,2.0,,1.0,9.0,,4.0,259.42,2.26,,0.008,
E14001519,1.0,,,,482.0,,,,,1.0,,,5.0,,5.0,1.0,,2.0,576.31,0.84,,0.009,
E14001520,,,,23.0,628.0,,,,,,,,2.0,,4.0,,,,101.43,6.19,,0.02,
E14001521,,,,,505.0,,,,,,,,2.0,,2.0,,,,132.59,3.81,,0.015,
E14001522,,,2.0,10.0,471.0,,,,,,,,3.0,,2.0,,,,437.08,1.08,,0.007,
E14001523,,,1.0,,492.0,,,,,,,,3.0,,5.0,,,,1132.12,0.43,,0.003,
E14001524,,,,17.0,436.0,,,,,,,,4.0,,,,,,78.85,5.53,,0.051,
E14001525,,,,,206.0,,,,,,9.0,28.0,5.0,,12.0,,9.0,,29.04,7.09,0.31,0.172,
E14001526,,,,,718.0,,,,,,,,11.0,,14.0,,,,1670.98,0.43,,0.007,
E14001527,,,,,249.0,,,,,,,,5.0,,6.0,,,,35.43,7.03,,0.141,
E14001528,,3.0,1.0,16.0,511.0,1.0,,,,,11.0,22.0,6.0,,10.0,,19.0,3.0,131.64,3.88,0.08,0.046,
E14001529,,,1.0,3.0,1113.0,,,,,,,,3.0,,3.0,,,,696.63,1.6,,0.004,
E14001530,,,,1.0,843.0,,2.0,3.0,5.0,,,,6.0,,11.0,,,,1776.79,0.47,,0.003,
E14001531,,,,19.0,645.0,,,,,,8.0,16.0,3.0,,,,,,87.44,7.38,0.09,0.034,
E14001532,,,,,386.0,,,,,,,,4.0,,5.0,,,1.0,333.82,1.16,,0.012,
E14001533,,,1.0,,566.0,,,,,,3.0,3.0,4.0,,4.0,,3.0,,1214.63,0.47,0.0,0.003,
E14001534,,,,,220.0,,,,,,,,5.0,,7.0,,,,46.84,4.7,,0.107,
E14001535,,,,,459.0,,,,,,,,6.0,,7.0,,,,155.91,2.94,,0.038,
E14001536,,,,,466.0,,,,,,,,,,1.0,,,,265.28,1.76,,,
E14001537,,,,19.0,496.0,,,,,,,,1.0,,1.0,,,,84.32,5.88,,0.012,
E14001538,,,,,530.0,,,,,,,,4.0,,6.0,,,,519.97,1.02,,0.008,
E14001539,,1.0,,3.0,617.0,,,,,,,,10.0,,17.0,2.0,,,1011.92,0.61,,0.01,
E14001540,,,,2.0,794.0,,,,,,,,1.0,,2.0,,,,725.39,1.09,,0.001,
E14001541,,,,16.0,504.0,,,,,,,,2.0,,8.0,,,,140.0,3.6,,0.014,
E14001542,,,,,862.0,,,,,,5.0,2.0,1.0,,1.0,,3.0,,846.77,1.02,0.01,0.001,
E14001543,,,,13.0,698.0,,,,,,,,4.0,,8.0,,,,1382.67,0.5,,0.003,
E14001544,,,,4.0,797.0,,,,,,4.0,,4.0,,4.0,,,,5796.54,0.14,0.0,0.001,
E14001545,,,,,833.0,,,,,,,,3.0,,3.0,,,,1079.46,0.77,,0.003,
E14001546,,,,22.0,363.0,,,,1.0,,,,5.0,,7.0,,,6.0,165.8,2.19,,0.03,
E14001547,,,,10.0,505.0,,,,,,3.0,6.0,4.0,,4.0,,3.0,,74.18,6.81,0.04,0.054,
E14001548,,,1.0,,814.0,,,,,,9.0,,2.0,,2.0,,10.0,,3236.95,0.25,0.0,0.001,
E14001549,,,4.0,,480.0,,,,,,,,10.0,,16.0,,,2.0,772.03,0.62,,0.013,
E14001550,,,,,178.0,,,,,,3.0,2.0,2.0,,2.0,,7.0,,28.86,6.17,0.1,0.069,
E14001551,,,,15.0,636.0,,2.0,1.0,1.0,,2.0,2.0,3.0,,3.0,,2.0,,89.48,7.11,0.02,0.034,
E14001552,,,,1.0,834.0,,1.0,2.0,2.0,,,,2.0,,2.0,,,,4073.36,0.2,,0.0,
E14001553,,,,1.0,251.0,,,,,,3.0,5.0,8.0,,10.0,,13.0,,30.9,8.12,0.1,0.259,
E14001554,,,,11.0,919.0,,3.0,5.0,7.0,,,,6.0,,6.0,,,,1058.4,0.87,,0.006,
E14001555,,,1.0,,508.0,,,,,,1.0,1.0,4.0,,7.0,,1.0,6.0,628.7,0.81,0.0,0.006,
E14001556,,,,,299.0,,2.0,2.0,2.0,,,,7.0,,10.0,,,,70.49,4.24,,0.099,
E14001557,,,,,476.0,,,1.0,,,8.0,16.0,,,,,,,100.85,4.72,0.08,,
E14001558,,,1.0,,282.0,,,,,,7.0,11.0,2.0,,3.0,,11.0,,104.33,2.7,0.07,0.019,
E14001559,,,,,206.0,,,,4.0,,7.0,12.0,4.0,,6.0,,18.0,,18.68,11.03,0.37,0.214,
E14001560,,,,25.0,745.0,,,,,,,,4.0,,8.0,,,,172.9,4.31,,0.023,
E14001561,,,,,462.0,,,2.0,2.0,,,,5.0,,11.0,,,8.0,71.81,6.43,,0.07,
E14001562,,,,15.0,589.0,,,,,,,,3.0,,3.0,,,,86.76,6.79,,0.035,
E14001563,,,,,218.0,,,,,,2.0,2.0,6.0,,10.0,,,,41.86,5.21,0.05,0.143,
E14001564,,1.0,,,587.0,,,,,,,,3.0,,,,,,256.66,2.29,,0.012,
E14001565,,,,19.0,490.0,,,,,,,,4.0,,2.0,,,10.0,203.52,2.41,,0.02,
E14001566,,,,4.0,548.0,,,,,,,,2.0,,3.0,,,,238.57,2.3,,0.008,
E14001567,,,,13.0,613.0,,,,,,,,,,,,,,209.71,2.92,,,
E14001568,,,,,368.0,,,,,,1.0,1.0,7.0,,9.0,,1.0,,63.32,5.81,0.02,0.111,
E14001569,,,,1.0,970.0,,,,,,,,3.0,,4.0,,,,2645.9,0.37,,0.001,
E14001570,,,1.0,,587.0,,,,,,3.0,3.0,10.0,,15.0,,3.0,1.0,1935.25,0.3,0.0,0.005,
E14001571,,,,,604.0,,,,,,,,1.0,,1.0,,,1.0,244.72,2.47,,0.004,
E14001572,,,,5.0,743.0,,,,,,,,1.0,,1.0,,,,1712.44,0.43,,0.001,
E14001573,,,1.0,7.0,513.0,,,,,,,,5.0,,5.0,,,,281.49,1.82,,0.018,
E14001574,,,,21.0,506.0,,,,,,6.0,12.0,2.0,,1.0,,6.0,,95.46,5.3,0.06,0.021,
E14001575,,,1.0,1.0,778.0,,,,,,,,7.0,,7.0,,,,2517.91,0.31,,0.003,
E14001576,,,,,296.0,,,,,1.0,19.0,36.0,2.0,,2.0,,32.0,,48.41,6.11,0.39,0.041,
E14001577,,,,7.0,677.0,,,,,,,,11.0,,22.0,,,,743.01,0.91,,0.015,
E14001578,,,,11.0,914.0,,,,,,,,2.0,,5.0,,,6.0,2031.18,0.45,,0.001,
E14001579,,,,,737.0,,,,,,,,3.0,,3.0,,,,1872.68,0.39,,0.002,
E14001580,,,,10.0,879.0,,20.0,21.0,25.0,,3.0,,10.0,,21.0,,,,7137.55,0.12,0.0,0.001,
E14001581,,,,,585.0,,1.0,1.0,1.0,,,,3.0,,3.0,,,,157.3,3.72,,0.019,
E14001582,,,,5.0,925.0,,,,,,,,4.0,,4.0,,,,2722.5,0.34,,0.001,
E14001583,,,,6.0,467.0,,,,,,,,12.0,,15.0,,,,1580.52,0.3,,0.008,
E14001584,,,,,450.0,,,,,,,,4.0,,4.0,,,10.0,176.68,2.55,,0.023,
E14001585,,3.0,3.0,19.0,663.0,1.0,,,,,,,4.0,,9.0,,,1.0,171.23,3.87,,0.023,
E14001586,,,,,256.0,,,,,,8.0,13.0,9.0,,13.0,,7.0,,58.8,4.35,0.14,0.153,
E14001587,,,,9.0,791.0,,,,,,1.0,2.0,3.0,,3.0,,1.0,,1448.57,0.55,0.0,0.002,
