PCON24CD,Constituency,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,State funded schools,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Further education and skills,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Early years,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care,Children's social care
E14001301,Ilford South,29,29,8,17,4,0,28,59,14,0,25,86,4,2,0,0,1,1,0,0,50,50,0,0,79,62,4,56,2,0,6,90,3,0,60,97,20,17,0,12,4,1,0,71,24,6,12,71
E14001302,Ipswich,40,39,4,31,4,0,10,79,10,0,35,90,3,3,0,3,0,0,0,100,0,0,3,100,64,53,13,40,0,0,25,75,0,0,53,100,6,6,0,6,0,0,0,100,0,0,6,100
E14001303,Isle of Wight East,21,21,0,17,4,0,0,81,19,0,17,81,1,1,0,1,0,0,0,100,0,0,1,100,33,28,4,22,0,2,14,79,0,7,26,93,3,3,1,2,0,0,33,67,0,0,3,100
E14001304,Isle of Wight West,27,27,0,20,7,0,0,74,26,0,20,74,4,4,0,3,1,0,0,75,25,0,3,75,31,28,5,22,1,0,18,79,4,0,27,96,1,1,0,1,0,0,0,100,0,0,1,100
E14001305,Islington North,32,32,6,23,2,1,19,72,6,3,29,91,4,2,1,0,1,0,50,0,50,0,1,50,108,87,15,70,2,0,17,80,2,0,85,98,3,2,1,1,0,0,50,50,0,0,2,100
E14001306,Islington South and Finsbury,38,38,15,23,0,0,39,61,0,0,38,100,13,10,1,6,3,0,10,60,30,0,7,70,103,77,13,62,2,0,17,81,3,0,75,97,3,3,0,2,1,0,0,67,33,0,2,67
E14001307,Jarrow and Gateshead East,45,44,7,33,4,0,16,75,9,0,40,91,3,1,0,1,0,0,0,100,0,0,1,100,60,46,7,37,2,0,15,80,4,0,44,96,5,5,1,4,0,0,20,80,0,0,5,100
E14001308,Keighley and Ilkley,37,37,5,28,2,2,14,76,5,5,33,89,0,0,0,0,0,0,,,,,0,,70,59,8,51,0,0,14,86,0,0,59,100,5,5,0,4,1,0,0,80,20,0,4,80
E14001309,Kenilworth and Southam,41,41,6,32,3,0,15,78,7,0,38,93,1,1,0,1,0,0,0,100,0,0,1,100,80,63,16,46,1,0,25,73,2,0,62,98,3,3,1,2,0,0,33,67,0,0,3,100
E14001310,Kensington and Bayswater,31,31,10,19,1,1,32,61,3,3,29,94,6,3,1,2,0,0,33,67,0,0,3,100,83,59,12,44,3,0,20,75,5,0,56,95,1,1,1,0,0,0,100,0,0,0,1,100
E14001311,Kettering,44,44,4,38,1,1,9,86,2,2,42,95,4,3,1,1,1,0,33,33,33,0,2,67,131,97,10,83,1,3,10,86,1,3,93,96,14,11,2,7,2,0,18,64,18,0,9,82
E14001312,Kingston and Surbiton,36,35,9,26,0,0,26,74,0,0,35,100,3,3,0,3,0,0,0,100,0,0,3,100,129,96,9,85,2,0,9,89,2,0,94,98,3,3,1,2,0,0,33,67,0,0,3,100
E14001313,Kingston upon Hull East,41,40,5,33,2,0,13,83,5,0,38,95,2,2,0,2,0,0,0,100,0,0,2,100,42,37,5,31,1,0,14,84,3,0,36,97,10,9,1,7,1,0,11,78,11,0,8,89
E14001314,Kingston upon Hull North and Cottingham,41,41,7,33,1,0,17,80,2,0,40,98,5,4,1,3,0,0,25,75,0,0,4,100,61,44,9,33,1,1,20,75,2,2,42,95,12,11,1,9,1,0,9,82,9,0,10,91
E14001315,Kingston upon Hull West and Haltemprice,33,33,8,23,2,0,24,70,6,0,31,94,10,8,0,4,3,1,0,50,38,13,4,50,64,53,7,46,0,0,13,87,0,0,53,100,6,6,1,4,1,0,17,67,17,0,5,83
E14001316,Kingswinford and South Staffordshire,43,43,2,38,3,0,5,88,7,0,40,93,1,0,0,0,0,0,,,,,0,,58,50,9,40,1,0,18,80,2,0,49,98,2,1,0,0,1,0,0,0,100,0,0,0
E14001317,Knowsley,37,37,3,30,4,0,8,81,11,0,33,89,4,3,0,1,2,0,0,33,67,0,1,33,44,32,4,27,1,0,13,84,3,0,31,97,16,16,0,13,2,1,0,81,13,6,13,81
E14001318,Lancaster and Wyre,50,50,7,38,3,2,14,76,6,4,45,90,5,2,0,1,1,0,0,50,50,0,1,50,56,43,9,34,0,0,21,79,0,0,43,100,24,21,5,13,2,1,24,62,10,5,18,86
E14001319,Leeds Central and Headingley,24,24,3,19,2,0,13,79,8,0,22,92,18,15,3,9,3,0,20,60,20,0,12,80,51,44,11,33,0,0,25,75,0,0,44,100,3,3,1,1,1,0,33,33,33,0,2,67
E14001320,Leeds East,36,35,5,29,1,0,14,83,3,0,34,97,1,1,0,1,0,0,0,100,0,0,1,100,89,74,8,62,2,2,11,84,3,3,70,95,5,5,1,4,0,0,20,80,0,0,5,100
E14001321,Leeds North East,32,32,10,22,0,0,31,69,0,0,32,100,0,0,0,0,0,0,,,,,0,,105,86,21,64,1,0,24,74,1,0,85,99,4,4,0,2,2,0,0,50,50,0,2,50
E14001322,Leeds North West,35,35,5,28,1,1,14,80,3,3,33,94,3,2,0,1,1,0,0,50,50,0,1,50,113,85,26,59,0,0,31,69,0,0,85,100,1,1,0,1,0,0,0,100,0,0,1,100
E14001323,Leeds South,51,50,5,39,4,2,10,78,8,4,44,88,3,2,0,1,1,0,0,50,50,0,1,50,108,85,10,70,3,2,12,82,4,2,80,94,3,3,1,2,0,0,33,67,0,0,3,100
E14001324,Leeds South West and Morley,27,27,4,21,2,0,15,78,7,0,25,93,3,2,1,1,0,0,50,50,0,0,2,100,125,113,13,95,4,1,12,84,4,1,108,96,5,4,1,3,0,0,25,75,0,0,4,100
E14001325,Leeds West and Pudsey,36,36,2,31,2,1,6,86,6,3,33,92,1,1,0,1,0,0,0,100,0,0,1,100,91,82,13,66,2,1,16,80,2,1,79,96,11,11,1,7,3,0,9,64,27,0,8,73
E14001326,Leicester East,41,41,6,33,2,0,15,80,5,0,39,95,2,1,0,1,0,0,0,100,0,0,1,100,49,40,3,36,0,1,8,90,0,3,39,98,10,10,2,6,2,0,20,60,20,0,8,80
E14001327,Leicester South,34,34,6,25,3,0,18,74,9,0,31,91,10,7,1,6,0,0,14,86,0,0,7,100,53,40,1,39,0,0,3,98,0,0,40,100,5,4,2,1,1,0,50,25,25,0,3,75
E14001328,Leicester West,37,37,4,26,5,2,11,70,14,5,30,81,3,1,0,1,0,0,0,100,0,0,1,100,57,50,2,42,3,3,4,84,6,6,44,88,10,9,2,6,1,0,22,67,11,0,8,89
E14001329,Leigh and Atherton,38,38,5,30,3,0,13,79,8,0,35,92,5,3,0,2,1,0,0,67,33,0,2,67,90,78,10,65,3,0,13,83,4,0,75,96,12,11,1,9,1,0,9,82,9,0,10,91
E14001330,Lewes,32,32,4,27,1,0,13,84,3,0,31,97,4,4,0,4,0,0,0,100,0,0,4,100,62,46,16,30,0,0,35,65,0,0,46,100,10,10,5,5,0,0,50,50,0,0,10,100
E14001331,Lewisham East,33,33,7,25,1,0,21,76,3,0,32,97,2,2,0,2,0,0,0,100,0,0,2,100,175,119,9,102,4,4,8,86,3,3,111,93,7,5,0,5,0,0,0,100,0,0,5,100
E14001332,Lewisham North,31,31,7,24,0,0,23,77,0,0,31,100,3,2,0,1,1,0,0,50,50,0,1,50,137,92,8,78,5,1,9,85,5,1,86,93,5,5,0,3,2,0,0,60,40,0,3,60
E14001333,Lewisham West and East Dulwich,32,32,4,27,1,0,13,84,3,0,31,97,0,0,0,0,0,0,,,,,0,,150,107,10,94,1,2,9,88,1,2,104,97,2,1,0,1,0,0,0,100,0,0,1,100
E14001334,Leyton and Wanstead,28,28,7,21,0,0,25,75,0,0,28,100,2,2,0,1,1,0,0,50,50,0,1,50,99,85,7,76,1,1,8,89,1,1,83,98,9,9,1,6,2,0,11,67,22,0,7,78
E14001335,Lichfield,49,47,7,36,4,0,15,77,9,0,43,91,1,1,0,1,0,0,0,100,0,0,1,100,67,49,14,34,0,1,29,69,0,2,48,98,9,7,1,6,0,0,14,86,0,0,7,100
E14001336,Lincoln,43,43,8,28,6,1,19,65,14,2,36,84,11,10,0,8,2,0,0,80,20,0,8,80,93,74,2,71,0,1,3,96,0,1,73,99,2,2,0,1,1,0,0,50,50,0,1,50
E14001337,Liverpool Garston,33,32,3,24,5,0,9,75,16,0,27,84,3,2,0,0,1,1,0,0,50,50,0,0,76,66,5,60,1,0,8,91,2,0,65,98,5,5,1,3,1,0,20,60,20,0,4,80
E14001338,Liverpool Riverside,35,35,11,19,4,1,31,54,11,3,30,86,23,17,2,13,2,0,12,76,12,0,15,88,34,27,3,22,1,1,11,81,4,4,25,93,5,5,0,4,0,1,0,80,0,20,4,80
E14001339,Liverpool Walton,35,35,8,23,2,2,23,66,6,6,31,89,4,3,0,2,1,0,0,67,33,0,2,67,61,48,1,46,0,1,2,96,0,2,47,98,13,11,1,7,3,0,9,64,27,0,8,73
E14001340,Liverpool Wavertree,38,37,9,25,3,0,24,68,8,0,34,92,3,2,0,2,0,0,0,100,0,0,2,100,63,56,6,48,2,0,11,86,4,0,54,96,12,11,1,8,2,0,9,73,18,0,9,82
E14001341,Liverpool West Derby,39,38,3,31,3,1,8,82,8,3,34,89,2,0,0,0,0,0,,,,,0,,58,54,3,51,0,0,6,94,0,0,54,100,12,11,1,8,2,0,9,73,18,0,9,82
E14001342,Loughborough,32,32,4,26,2,0,13,81,6,0,30,94,5,4,0,4,0,0,0,100,0,0,4,100,82,58,4,51,2,1,7,88,3,2,55,95,10,7,5,0,2,0,71,0,29,0,5,71
E14001343,Louth and Horncastle,55,54,4,47,3,0,7,87,6,0,51,94,0,0,0,0,0,0,,,,,0,,50,43,1,42,0,0,2,98,0,0,43,100,3,1,1,0,0,0,100,0,0,0,1,100
E14001344,Lowestoft,37,37,5,24,5,3,14,65,14,8,29,78,1,1,0,1,0,0,0,100,0,0,1,100,64,54,6,47,1,0,11,87,2,0,53,98,7,6,1,5,0,0,17,83,0,0,6,100
E14001345,Luton North,38,38,4,32,1,1,11,84,3,3,36,95,1,1,0,1,0,0,0,100,0,0,1,100,89,68,13,52,2,1,19,76,3,1,65,96,7,5,0,4,1,0,0,80,20,0,4,80
E14001346,Luton South and South Bedfordshire,40,40,9,27,2,2,23,68,5,5,36,90,3,3,0,3,0,0,0,100,0,0,3,100,86,69,10,58,1,0,14,84,1,0,68,99,8,8,0,6,2,0,0,75,25,0,6,75
E14001347,Macclesfield,40,40,7,30,2,1,18,75,5,3,37,93,3,3,0,1,2,0,0,33,67,0,1,33,70,55,13,42,0,0,24,76,0,0,55,100,7,7,2,4,1,0,29,57,14,0,6,86
E14001348,Maidenhead,44,44,13,26,4,1,30,59,9,2,39,89,2,1,0,1,0,0,0,100,0,0,1,100,126,90,17,71,1,1,19,79,1,1,88,98,3,3,2,1,0,0,67,33,0,0,3,100
E14001349,Maidstone and Malling,41,41,10,29,2,0,24,71,5,0,39,95,3,2,0,2,0,0,0,100,0,0,2,100,128,104,14,89,1,0,13,86,1,0,103,99,4,4,0,4,0,0,0,100,0,0,4,100
E14001350,Makerfield,47,47,10,36,0,1,21,77,0,2,46,98,3,3,0,1,1,1,0,33,33,33,1,33,72,56,6,50,0,0,11,89,0,0,56,100,18,17,3,11,3,0,18,65,18,0,14,82
E14001351,Maldon,40,39,3,31,5,0,8,79,13,0,34,87,1,1,0,1,0,0,0,100,0,0,1,100,79,65,14,50,1,0,22,77,2,0,64,98,3,2,1,1,0,0,50,50,0,0,2,100
E14001352,Manchester Central,39,39,9,25,5,0,23,64,13,0,34,87,24,17,0,14,3,0,0,82,18,0,14,82,83,72,10,59,1,2,14,82,1,3,69,96,6,5,0,4,1,0,0,80,20,0,4,80
E14001353,Manchester Rusholme,31,31,6,24,1,0,19,77,3,0,30,97,8,7,4,3,0,0,57,43,0,0,7,100,69,54,5,49,0,0,9,91,0,0,54,100,7,6,0,5,1,0,0,83,17,0,5,83
E14001354,Manchester Withington,28,28,5,22,1,0,18,79,4,0,27,96,1,1,0,1,0,0,0,100,0,0,1,100,65,46,4,41,1,0,9,89,2,0,45,98,5,5,1,3,1,0,20,60,20,0,4,80
E14001355,Mansfield,43,43,2,34,7,0,5,79,16,0,36,84,4,4,0,4,0,0,0,100,0,0,4,100,63,47,2,44,1,0,4,94,2,0,46,98,5,5,0,4,1,0,0,80,20,0,4,80
E14001356,Melksham and Devizes,42,42,2,32,7,1,5,76,17,2,34,81,0,0,0,0,0,0,,,,,0,,89,71,14,57,0,0,20,80,0,0,71,100,1,1,0,1,0,0,0,100,0,0,1,100
E14001357,Melton and Syston,46,46,3,38,5,0,7,83,11,0,41,89,1,1,1,0,0,0,100,0,0,0,1,100,81,64,2,60,1,1,3,94,2,2,62,97,20,19,2,15,2,0,11,79,11,0,17,89
E14001358,Meriden and Solihull East,33,33,4,27,1,1,12,82,3,3,31,94,2,2,0,1,1,0,0,50,50,0,1,50,72,63,11,51,0,1,17,81,0,2,62,98,5,4,1,3,0,0,25,75,0,0,4,100
W07000100,Mid and South Pembrokeshire,0,0,0,0,0,0,,,,,0,,1,1,0,1,0,0,0,100,0,0,1,100,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
E14001359,Mid Bedfordshire,47,47,2,40,5,0,4,85,11,0,42,89,4,3,0,3,0,0,0,100,0,0,3,100,137,95,19,76,0,0,20,80,0,0,95,100,8,8,1,6,1,0,13,75,13,0,7,88
E14001360,Mid Buckinghamshire,49,49,5,41,2,1,10,84,4,2,46,94,1,1,0,1,0,0,0,100,0,0,1,100,154,106,22,81,3,0,21,76,3,0,103,97,4,4,2,2,0,0,50,50,0,0,4,100
E14001361,Mid Cheshire,37,37,5,28,4,0,14,76,11,0,33,89,2,2,1,1,0,0,50,50,0,0,2,100,74,61,8,49,1,3,13,80,2,5,57,93,9,8,2,5,1,0,25,63,13,0,7,88
E14001362,Mid Derbyshire,33,33,5,22,5,1,15,67,15,3,27,82,1,1,0,1,0,0,0,100,0,0,1,100,84,62,4,57,1,0,6,92,2,0,61,98,4,4,1,3,0,0,25,75,0,0,4,100
E14001363,Mid Dorset and North Poole,37,37,5,29,3,0,14,78,8,0,34,92,2,2,0,1,1,0,0,50,50,0,1,50,98,83,10,73,0,0,12,88,0,0,83,100,1,1,0,0,1,0,0,0,100,0,0,0
E14001364,Mid Leicestershire,33,33,4,26,3,0,12,79,9,0,30,91,3,3,0,3,0,0,0,100,0,0,3,100,102,82,1,79,2,0,1,96,2,0,80,98,13,13,2,10,1,0,15,77,8,0,12,92
E14001365,Mid Norfolk,50,50,4,37,8,1,8,74,16,2,41,82,1,1,0,0,1,0,0,0,100,0,0,0,50,43,4,39,0,0,9,91,0,0,43,100,14,13,2,10,1,0,15,77,8,0,12,92
E14001366,Mid Sussex,32,32,4,25,3,0,13,78,9,0,29,91,2,2,0,1,1,0,0,50,50,0,1,50,122,91,10,80,0,1,11,88,0,1,90,99,7,7,2,5,0,0,29,71,0,0,7,100
E14001367,Middlesbrough and Thornaby East,43,42,5,35,2,0,12,83,5,0,40,95,10,6,2,4,0,0,33,67,0,0,6,100,58,46,10,36,0,0,22,78,0,0,46,100,12,12,0,8,3,1,0,67,25,8,8,67
E14001368,Middlesbrough South and East Cleveland,37,37,5,28,2,2,14,76,5,5,33,89,1,1,0,1,0,0,0,100,0,0,1,100,62,52,7,43,1,1,13,83,2,2,50,96,8,8,1,6,1,0,13,75,13,0,7,88
E14001369,Milton Keynes Central,49,48,5,40,2,1,10,83,4,2,45,94,4,4,0,3,1,0,0,75,25,0,3,75,130,95,11,78,5,1,12,82,5,1,89,94,10,10,2,5,3,0,20,50,30,0,7,70
E14001370,Milton Keynes North,44,43,11,31,1,0,26,72,2,0,42,98,3,3,0,3,0,0,0,100,0,0,3,100,101,75,11,62,2,0,15,83,3,0,73,97,4,3,1,2,0,0,33,67,0,0,3,100
E14001371,Mitcham and Morden,32,32,7,22,2,1,22,69,6,3,29,91,1,0,0,0,0,0,,,,,0,,151,119,5,112,1,1,4,94,1,1,117,98,1,1,0,1,0,0,0,100,0,0,1,100
W07000101,Monmouthshire,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
E14001372,Morecambe and Lunesdale,54,54,3,47,4,0,6,87,7,0,50,93,7,4,0,4,0,0,0,100,0,0,4,100,87,71,13,57,1,0,18,80,1,0,70,99,30,29,7,19,3,0,24,66,10,0,26,90
W07000103,Neath and Swansea East,0,0,0,0,0,0,,,,,0,,4,2,0,2,0,0,0,100,0,0,2,100,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
E14001373,New Forest East,38,38,5,32,1,0,13,84,3,0,37,97,2,2,0,1,1,0,0,50,50,0,1,50,77,56,6,50,0,0,11,89,0,0,56,100,16,16,6,8,2,0,38,50,13,0,14,88
E14001374,New Forest West,30,30,4,24,1,1,13,80,3,3,28,93,1,1,0,1,0,0,0,100,0,0,1,100,58,42,8,33,1,0,19,79,2,0,41,98,7,6,3,3,0,0,50,50,0,0,6,100
E14001375,Newark,53,52,4,45,3,0,8,87,6,0,49,94,0,0,0,0,0,0,,,,,0,,72,52,2,48,2,0,4,92,4,0,50,96,15,15,5,7,2,1,33,47,13,7,12,80
E14001376,Newbury,44,44,6,33,4,1,14,75,9,2,39,89,8,8,0,6,2,0,0,75,25,0,6,75,92,72,9,62,1,0,13,86,1,0,71,99,5,5,0,5,0,0,0,100,0,0,5,100
E14001377,Newcastle upon Tyne Central and West,44,44,7,32,5,0,16,73,11,0,39,89,15,13,0,11,2,0,0,85,15,0,11,85,76,56,12,44,0,0,21,79,0,0,56,100,7,7,1,5,1,0,14,71,14,0,6,86
E14001378,Newcastle upon Tyne East and Wallsend,38,38,7,24,5,2,18,63,13,5,31,82,4,4,0,4,0,0,0,100,0,0,4,100,42,34,4,29,0,1,12,85,0,3,33,97,9,9,0,7,2,0,0,78,22,0,7,78
E14001379,Newcastle upon Tyne North,36,35,5,27,1,2,14,77,3,6,32,91,5,5,0,4,1,0,0,80,20,0,4,80,93,75,17,58,0,0,23,77,0,0,75,100,1,1,0,1,0,0,0,100,0,0,1,100
E14001380,Newcastle-under-Lyme,41,41,5,30,6,0,12,73,15,0,35,85,5,5,1,3,1,0,20,60,20,0,4,80,74,56,8,47,1,0,14,84,2,0,55,98,21,20,4,12,4,0,20,60,20,0,16,80
W07000105,Newport West and Islwyn,0,0,0,0,0,0,,,,,0,,1,1,0,1,0,0,0,100,0,0,1,100,0,0,0,0,0,0,,,,,0,,0,0,0,0,0,0,,,,,0,
E14001381,Newton Abbot,36,36,2,31,2,1,6,86,6,3,33,92,1,1,0,1,0,0,0,100,0,0,1,100,73,57,9,47,1,0,16,82,2,0,56,98,9,9,2,6,1,0,22,67,11,0,8,89
E14001382,Newton Aycliffe and Spennymoor,48,48,10,33,5,0,21,69,10,0,43,90,12,10,1,8,1,0,10,80,10,0,9,90,52,39,3,36,0,0,8,92,0,0,39,100,15,13,2,9,2,0,15,69,15,0,11,85
E14001383,Normanton and Hemsworth,45,45,3,35,7,0,7,78,16,0,38,84,5,3,0,3,0,0,0,100,0,0,3,100,81,60,4,51,3,2,7,85,5,3,55,92,9,9,3,6,0,0,33,67,0,0,9,100
E14001384,North Bedfordshire,49,49,1,38,9,1,2,78,18,2,39,80,1,1,0,1,0,0,0,100,0,0,1,100,102,79,14,63,1,1,18,80,1,1,77,97,12,12,0,10,2,0,0,83,17,0,10,83
E14001385,North Cornwall,59,59,2,45,10,2,3,76,17,3,47,80,4,4,1,2,1,0,25,50,25,0,3,75,68,60,9,50,1,0,15,83,2,0,59,98,3,3,0,3,0,0,0,100,0,0,3,100
E14001386,North Cotswolds,56,55,4,48,3,0,7,87,5,0,52,95,3,3,0,3,0,0,0,100,0,0,3,100,63,47,5,42,0,0,11,89,0,0,47,100,5,4,0,4,0,0,0,100,0,0,4,100
E14001387,North Devon,56,56,3,46,7,0,5,82,13,0,49,88,1,1,0,1,0,0,0,100,0,0,1,100,66,51,7,43,1,0,14,84,2,0,50,98,9,9,0,6,3,0,0,67,33,0,6,67
E14001388,North Dorset,44,44,3,35,6,0,7,80,14,0,38,86,2,2,0,2,0,0,0,100,0,0,2,100,61,53,9,43,1,0,17,81,2,0,52,98,2,2,0,1,1,0,0,50,50,0,1,50
E14001389,North Durham,44,44,2,38,3,1,5,86,7,2,40,91,2,1,0,0,0,1,0,0,0,100,0,0,58,47,8,39,0,0,17,83,0,0,47,100,13,12,2,7,3,0,17,58,25,0,9,75
E14001390,North East Cambridgeshire,37,37,1,31,4,1,3,84,11,3,32,86,0,0,0,0,0,0,,,,,0,,81,71,12,59,0,0,17,83,0,0,71,100,19,18,2,13,3,0,11,72,17,0,15,83
E14001391,North East Derbyshire,43,43,2,32,8,1,5,74,19,2,34,79,4,4,1,3,0,0,25,75,0,0,4,100,59,43,1,40,1,1,2,93,2,2,41,95,3,3,0,3,0,0,0,100,0,0,3,100
E14001392,North East Hampshire,32,32,6,26,0,0,19,81,0,0,32,100,4,3,0,1,2,0,0,33,67,0,1,33,165,122,25,93,3,1,20,76,2,1,118,97,5,5,2,3,0,0,40,60,0,0,5,100
E14001393,North East Hertfordshire,61,60,5,48,6,1,8,80,10,2,53,88,1,0,0,0,0,0,,,,,0,,133,94,12,77,4,1,13,82,4,1,89,95,5,4,1,3,0,0,25,75,0,0,4,100
E14001394,North East Somerset and Hanham,44,44,9,33,1,1,20,75,2,2,42,95,1,0,0,0,0,0,,,,,0,,105,79,7,72,0,0,9,91,0,0,79,100,0,0,0,0,0,0,,,,,0,
E14001395,North Herefordshire,51,51,8,39,4,0,16,76,8,0,47,92,1,1,0,1,0,0,0,100,0,0,1,100,56,45,7,38,0,0,16,84,0,0,45,100,21,20,2,17,1,0,10,85,5,0,19,95
E14001396,North Norfolk,47,47,3,41,3,0,6,87,6,0,44,94,0,0,0,0,0,0,,,,,0,,40,33,5,27,0,1,15,82,0,3,32,97,8,8,1,7,0,0,13,88,0,0,8,100
E14001397,North Northumberland,58,57,3,50,4,0,5,88,7,0,53,93,1,1,0,1,0,0,0,100,0,0,1,100,47,41,9,30,2,0,22,73,5,0,39,95,4,4,0,4,0,0,0,100,0,0,4,100
E14001398,North Shropshire,47,47,2,42,3,0,4,89,6,0,44,94,1,1,0,1,0,0,0,100,0,0,1,100,58,49,6,43,0,0,12,88,0,0,49,100,21,19,2,14,2,1,11,74,11,5,16,84
E14001399,North Somerset,35,34,6,26,1,1,18,76,3,3,32,94,0,0,0,0,0,0,,,,,0,,105,83,12,70,1,0,14,84,1,0,82,99,1,1,1,0,0,0,100,0,0,0,1,100
E14001400,North Warwickshire and Bedworth,44,43,4,31,7,1,9,72,16,2,35,81,2,1,0,1,0,0,0,100,0,0,1,100,88,73,8,65,0,0,11,89,0,0,73,100,9,9,1,5,3,0,11,56,33,0,6,67
E14001401,North West Cambridgeshire,47,46,3,39,3,1,7,85,7,2,42,91,5,5,0,5,0,0,0,100,0,0,5,100,123,100,18,80,2,0,18,80,2,0,98,98,7,7,0,4,3,0,0,57,43,0,4,57
E14001402,North West Essex,46,46,4,41,1,0,9,89,2,0,45,98,1,1,0,0,1,0,0,0,100,0,0,0,112,75,16,59,0,0,21,79,0,0,75,100,11,9,1,7,1,0,11,78,11,0,8,89
E14001403,North West Hampshire,46,46,7,33,5,1,15,72,11,2,40,87,3,3,1,1,1,0,33,33,33,0,2,67,129,107,19,85,1,2,18,79,1,2,104,97,9,8,1,7,0,0,13,88,0,0,8,100
E14001404,North West Leicestershire,48,46,2,40,3,1,4,87,7,2,42,91,1,1,0,0,1,0,0,0,100,0,0,0,88,59,5,54,0,0,8,92,0,0,59,100,11,11,0,9,2,0,0,82,18,0,9,82
E14001405,North West Norfolk,53,53,2,45,3,3,4,85,6,6,47,89,2,2,0,1,1,0,0,50,50,0,1,50,68,54,9,43,2,0,17,80,4,0,52,96,7,7,0,5,2,0,0,71,29,0,5,71
E14001406,Northampton North,49,49,8,35,3,3,16,71,6,6,43,88,8,7,0,5,2,0,0,71,29,0,5,71,77,63,5,53,4,1,8,84,6,2,58,92,17,17,2,10,5,0,12,59,29,0,12,71
E14001407,Northampton South,33,32,6,26,0,0,19,81,0,0,32,100,1,1,0,0,1,0,0,0,100,0,0,0,107,90,14,72,2,2,16,80,2,2,86,96,16,14,1,9,1,3,7,64,7,21,10,71
E14001408,Norwich North,35,35,6,23,6,0,17,66,17,0,29,83,3,0,0,0,0,0,,,,,0,,72,64,8,54,2,0,13,84,3,0,62,97,7,7,0,6,1,0,0,86,14,0,6,86
E14001409,Norwich South,39,39,11,22,5,1,28,56,13,3,33,85,8,7,1,6,0,0,14,86,0,0,7,100,39,30,2,28,0,0,7,93,0,0,30,100,4,4,1,2,1,0,25,50,25,0,3,75
E14001410,Nottingham East,34,34,5,26,3,0,15,76,9,0,31,91,11,10,0,8,2,0,0,80,20,0,8,80,49,30,1,28,1,0,3,93,3,0,29,97,18,17,5,10,2,0,29,59,12,0,15,88
E14001411,Nottingham North and Kimberley,39,39,2,33,3,1,5,85,8,3,35,90,1,1,0,1,0,0,0,100,0,0,1,100,83,63,2,58,2,1,3,92,3,2,60,95,7,5,1,4,0,0,20,80,0,0,5,100
E14001412,Nottingham South,37,37,8,29,0,0,22,78,0,0,37,100,7,5,1,2,2,0,20,40,40,0,3,60,74,49,3,46,0,0,6,94,0,0,49,100,10,10,3,5,2,0,30,50,20,0,8,80
E14001413,Nuneaton,35,35,4,29,1,1,11,83,3,3,33,94,3,3,0,3,0,0,0,100,0,0,3,100,78,71,9,60,2,0,13,85,3,0,69,97,8,8,2,4,1,1,25,50,13,13,6,75
E14001414,Old Bexley and Sidcup,33,33,4,27,2,0,12,82,6,0,31,94,2,2,1,1,0,0,50,50,0,0,2,100,150,120,10,106,3,1,8,88,3,1,116,97,3,2,0,2,0,0,0,100,0,0,2,100
E14001415,Oldham East and Saddleworth,51,51,5,39,6,1,10,76,12,2,44,86,2,1,0,0,1,0,0,0,100,0,0,0,86,58,9,45,3,1,16,78,5,2,54,93,17,17,2,14,1,0,12,82,6,0,16,94
E14001416,"Oldham West, Chadderton and Royton",45,43,5,32,6,0,12,74,14,0,37,86,8,7,0,6,1,0,0,86,14,0,6,86,94,66,6,58,0,2,9,88,0,3,64,97,8,5,0,3,2,0,0,60,40,0,3,60
E14001417,Orpington,34,34,10,22,2,0,29,65,6,0,32,94,3,3,0,3,0,0,0,100,0,0,3,100,152,116,16,98,2,0,14,84,2,0,114,98,3,3,0,3,0,0,0,100,0,0,3,100
E14001418,Ossett and Denby Dale,47,47,7,39,1,0,15,83,2,0,46,98,2,2,0,1,1,0,0,50,50,0,1,50,77,62,10,51,1,0,16,82,2,0,61,98,7,7,0,5,1,1,0,71,14,14,5,71
E14001419,Oxford East,42,42,5,33,3,1,12,79,7,2,38,90,6,6,0,6,0,0,0,100,0,0,6,100,63,51,5,45,1,0,10,88,2,0,50,98,6,5,0,3,2,0,0,60,40,0,3,60
E14001420,Oxford West and Abingdon,31,31,1,26,2,2,3,84,6,6,27,87,5,5,0,5,0,0,0,100,0,0,5,100,77,60,4,54,2,0,7,90,3,0,58,97,4,3,0,3,0,0,0,100,0,0,3,100
E14001421,Peckham,37,37,8,28,1,0,22,76,3,0,36,97,4,3,0,1,2,0,0,33,67,0,1,33,120,86,6,78,1,1,7,91,1,1,84,98,0,0,0,0,0,0,,,,,0,
