PCON24CD,PCON24NM,Total,Total,Total,Total,Total,Total,Total,Total,Total,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,500K_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP,1.5M_UP
E14001365,Mid Norfolk,1703,1732,1564,2428,1879,1565,1605,1220,,81,69,109,243,232,187,170,127,,1,5,7,12,15,13,6,6,,0,1,1,3,3,1,3,0,
E14001366,Mid Sussex,1812,2014,1775,2464,1910,1551,1588,1348,,393,463,444,734,626,528,525,496,,38,56,44,71,83,68,72,55,,10,13,8,18,30,24,23,14,
E14001367,Middlesbrough and Thornaby East,1628,1716,1461,2146,1991,1635,1688,1300,,1,0,0,1,2,2,3,2,,0,0,0,1,0,0,0,1,,0,0,0,1,0,0,0,1,
E14001368,Middlesbrough South and East Cleveland,1679,1795,1452,2132,1826,1512,1575,1184,,13,15,17,42,28,29,24,19,,0,1,0,2,1,1,1,2,,0,0,0,0,1,0,0,1,
E14001369,Milton Keynes Central,1853,2079,1765,2731,2417,1700,1671,1178,,214,249,267,427,491,394,324,249,,9,12,10,31,35,11,18,11,,0,0,1,4,3,5,3,1,
E14001370,Milton Keynes North,1950,1795,1566,2329,1984,1526,1625,1155,,167,161,213,346,386,303,293,158,,6,4,2,20,12,15,7,5,,2,1,1,8,4,4,3,0,
E14001371,Mitcham and Morden,1186,1171,1072,1638,1350,1096,1184,918,,208,203,260,491,487,374,405,364,,0,3,1,3,5,4,4,6,,0,0,0,1,1,1,0,0,
E14001372,Morecambe and Lunesdale,1850,1977,1673,2362,1905,1535,1658,1256,,47,60,46,121,131,120,124,63,,1,3,2,7,4,10,6,2,,0,0,0,1,1,3,0,0,
E14001373,New Forest East,1307,1317,1243,1853,1383,1051,1285,1060,,203,169,267,329,344,232,286,208,,36,31,61,52,80,50,53,32,,10,9,19,15,37,19,25,7,
E14001374,New Forest West,1684,1558,1567,2262,1488,1174,1339,1183,,382,370,461,823,633,461,485,408,,42,38,52,99,90,88,82,43,,8,10,17,25,32,25,22,10,
E14001375,Newark,1910,1875,1884,2708,2187,1738,1916,1419,,86,73,126,231,220,167,151,137,,2,1,5,12,14,10,15,7,,0,1,1,2,4,2,4,0,
E14001376,Newbury,1586,1386,1280,2118,1880,1369,1504,1223,,254,226,213,436,439,344,341,299,,21,22,25,47,44,42,51,26,,6,11,5,9,16,12,16,6,
E14001377,Newcastle upon Tyne Central and West,1470,1458,1255,1917,1677,1493,1499,1005,,3,8,8,25,14,25,14,6,,0,0,0,2,2,4,1,0,,0,0,0,2,0,3,0,0,
E14001378,Newcastle upon Tyne East and Wallsend,1536,1565,1554,1820,1588,1512,1502,1084,,0,2,1,11,15,11,18,7,,0,0,0,0,4,3,0,0,,0,0,0,0,3,3,0,0,
E14001379,Newcastle upon Tyne North,2025,1863,1688,2451,2078,1932,1805,1336,,88,123,124,175,190,192,161,139,,13,8,13,26,32,18,23,9,,6,2,3,19,11,7,6,5,
E14001380,Newcastle-under-Lyme,1447,1577,1549,2165,1680,1425,1438,1110,,16,8,13,26,32,28,26,22,,0,0,0,0,2,3,0,0,,0,0,0,0,0,0,0,0,
E14001381,Newton Abbot,1938,1855,1589,2440,1893,1530,1561,1199,,96,97,124,246,233,158,146,114,,5,1,8,15,22,10,11,4,,1,0,4,7,5,2,2,0,
E14001382,Newton Aycliffe and Spennymoor,1903,1912,1765,2506,2302,1831,1904,1495,,4,5,3,8,16,12,8,9,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001383,Normanton and Hemsworth,1746,1757,1422,2128,1816,1281,1321,1248,,15,8,14,38,31,20,20,24,,1,0,4,1,0,3,1,0,,1,0,3,0,0,1,0,0,
E14001384,North Bedfordshire,2104,2000,1880,2669,2069,1519,1696,1395,,227,233,246,472,419,311,348,277,,9,18,17,39,32,21,24,17,,3,2,1,4,7,7,2,1,
E14001385,North Cornwall,1856,1878,1766,2644,1901,1449,1464,1214,,187,208,250,428,344,335,266,202,,30,40,45,81,62,57,43,23,,13,23,21,33,25,20,17,9,
E14001386,North Cotswolds,1968,1915,1718,2539,2038,1606,1652,1221,,381,350,448,648,620,475,500,370,,54,51,88,128,136,128,107,70,,10,19,35,50,56,61,42,26,
E14001387,North Devon,2059,2015,1933,2590,1856,1465,1578,1209,,102,93,123,265,261,207,194,122,,2,3,6,15,29,27,15,2,,0,3,1,3,8,8,6,0,
E14001388,North Dorset,1687,1406,1478,2181,1755,1506,1559,1286,,153,125,190,337,372,295,258,219,,6,7,11,32,34,24,23,8,,0,1,2,9,15,5,1,2,
E14001389,North Durham,1579,1715,1531,2030,2045,1613,1685,1274,,9,6,12,18,27,14,17,21,,1,1,0,0,2,1,1,1,,0,0,0,0,0,0,1,0,
E14001390,North East Cambridgeshire,1973,1863,1582,2549,2169,1618,1714,1282,,12,22,24,84,73,41,53,28,,0,0,1,0,1,0,0,0,,0,0,1,0,0,0,0,0,
E14001391,North East Derbyshire,1555,1563,1529,2006,1726,1340,1360,1042,,42,47,55,112,97,76,74,65,,2,1,2,6,7,5,9,7,,0,0,0,1,2,1,3,1,
E14001392,North East Hampshire,1867,1737,1674,2385,1848,1498,1545,1238,,536,564,636,907,839,660,660,527,,51,58,68,129,100,102,99,49,,10,9,14,41,29,21,27,12,
E14001393,North East Hertfordshire,1420,1538,1405,2203,1697,1258,1380,1111,,326,376,417,675,576,416,446,364,,37,38,53,96,75,57,58,48,,6,10,12,32,23,9,16,11,
E14001394,North East Somerset and Hanham,1685,1783,1466,1953,1460,1217,1250,1113,,117,148,183,303,286,233,230,229,,3,11,6,28,20,20,20,17,,2,4,3,5,4,5,3,3,
E14001395,North Herefordshire,1566,1516,1356,2103,1538,1186,1286,1048,,116,118,156,278,274,240,253,178,,2,4,8,13,26,15,14,6,,0,2,2,1,4,0,5,0,
E14001396,North Norfolk,1969,1939,1754,2465,1736,1445,1544,1163,,137,163,199,358,315,248,243,184,,13,12,19,29,35,26,21,10,,3,5,3,6,10,11,7,4,
E14001397,North Northumberland,2058,1971,1809,2273,2056,1860,1804,1295,,67,71,76,108,178,142,141,117,,0,1,3,0,11,9,3,4,,0,0,0,0,5,2,0,0,
E14001398,North Shropshire,1740,1754,1688,2164,1740,1544,1605,1238,,51,47,65,150,138,105,112,101,,1,1,0,5,10,4,3,0,,0,0,0,2,2,1,1,0,
E14001399,North Somerset,1787,1720,1480,2204,1756,1499,1576,1266,,308,289,285,536,522,451,443,329,,20,19,21,44,62,54,46,23,,7,7,4,11,16,12,10,6,
E14001400,North Warwickshire and Bedworth,1534,1487,1223,1908,1674,1254,1288,988,,49,36,44,96,84,50,54,38,,1,0,3,0,8,5,1,0,,0,0,0,0,2,0,0,0,
E14001401,North West Cambridgeshire,2335,2368,2050,2984,2333,1708,1959,1415,,72,73,87,144,140,124,128,76,,10,7,4,15,14,10,14,4,,1,3,2,4,4,4,5,3,
E14001402,North West Essex,2003,1844,1625,2478,1905,1555,1744,1240,,599,566,512,873,800,595,629,481,,30,40,35,81,110,78,68,55,,6,7,8,7,23,13,20,9,
E14001403,North West Hampshire,2093,2056,1832,2598,1848,1349,1536,1260,,199,205,218,388,310,228,285,227,,13,16,23,52,42,37,30,26,,5,1,4,17,18,13,13,7,
E14001404,North West Leicestershire,2250,2071,1948,2515,2294,1645,1806,1382,,56,48,65,118,129,96,97,66,,1,2,1,3,3,6,5,3,,0,0,0,0,1,1,0,1,
E14001405,North West Norfolk,1837,1985,1721,2457,1844,1436,1597,1243,,101,134,134,268,257,182,188,97,,13,16,31,28,36,29,37,7,,4,2,9,5,14,10,13,1,
E14001406,Northampton North,2135,1981,1685,2445,2145,1741,1817,1405,,22,20,16,53,60,40,42,26,,0,0,1,2,0,0,2,0,,0,0,1,2,0,0,1,0,
E14001407,Northampton South,1936,1765,1535,2418,2301,1544,1669,1390,,61,48,41,123,162,100,120,91,,3,4,1,5,8,8,3,4,,0,0,0,2,1,5,0,1,
E14001408,Norwich North,1797,1731,1582,2202,1951,1543,1723,1326,,14,19,26,65,65,50,59,41,,0,0,2,1,2,1,0,0,,0,0,0,0,1,0,0,0,
E14001409,Norwich South,1955,1736,1319,2037,1877,1410,1484,1306,,53,70,72,144,129,120,116,87,,2,1,6,11,17,8,16,9,,0,0,1,0,4,2,0,0,
E14001410,Nottingham East,2043,1925,1465,1982,1797,1463,1409,1112,,38,40,39,65,71,56,35,30,,4,1,4,12,5,6,3,4,,1,0,1,2,3,2,0,0,
E14001411,Nottingham North and Kimberley,1564,1676,1142,1457,1413,1224,1261,1030,,1,5,4,2,4,6,8,7,,0,0,0,0,1,0,0,0,,0,0,0,0,1,0,0,0,
E14001412,Nottingham South,1299,1487,1067,1448,1398,1070,1095,836,,20,20,29,50,41,56,37,22,,0,0,0,1,2,1,2,0,,0,0,0,0,1,0,1,0,
E14001413,Nuneaton,2018,2021,1735,2229,2011,1494,1696,1174,,16,13,23,41,31,33,25,28,,0,0,1,1,0,2,4,0,,0,0,1,0,0,0,0,0,
E14001414,Old Bexley and Sidcup,1405,1450,1333,1931,1503,1161,1421,1110,,247,270,302,562,495,352,478,391,,4,10,8,21,17,17,26,11,,1,0,0,0,0,0,2,1,
E14001415,Oldham East and Saddleworth,1434,1546,1357,1749,1535,1107,1313,982,,29,31,30,53,60,38,67,46,,3,0,1,6,4,3,4,0,,0,0,0,3,3,0,0,0,
E14001416,"Oldham West, Chadderton and Royton",1316,1384,1173,1627,1347,1019,1166,916,,4,1,11,11,5,10,18,13,,0,1,0,0,1,0,0,1,,0,0,0,0,0,0,0,0,
E14001417,Orpington,1410,1348,1328,1810,1436,1099,1229,977,,463,436,509,776,700,520,555,527,,28,28,34,74,82,62,56,43,,6,9,14,22,19,14,14,9,
E14001418,Ossett and Denby Dale,1684,1647,1398,1937,1684,1379,1496,1135,,70,72,53,131,112,78,93,91,,2,4,4,7,6,4,8,6,,0,3,1,1,2,1,3,1,
E14001419,Oxford East,1050,1000,881,1441,1171,946,1131,830,,212,195,192,385,343,309,317,255,,9,15,20,31,24,32,31,13,,3,5,2,6,8,8,7,5,
E14001420,Oxford West and Abingdon,1263,1206,1133,1675,1477,1181,1390,985,,394,341,390,602,592,481,548,362,,104,97,117,179,145,128,132,74,,33,41,50,76,70,52,58,28,
E14001421,Peckham,1053,1162,990,1117,988,741,990,702,,475,603,434,549,504,317,528,326,,71,55,61,69,87,49,91,54,,13,14,10,16,20,7,16,15,
E14001422,Pendle and Clitheroe,2061,2153,1864,2637,2267,1857,1873,1509,,27,37,38,65,91,71,73,52,,4,2,3,12,5,6,4,4,,0,0,2,4,1,0,2,1,
E14001423,Penistone and Stocksbridge,1538,1464,1228,1657,1612,1322,1450,1012,,28,32,22,62,72,61,66,44,,2,1,0,3,0,4,1,2,,0,0,0,2,0,1,0,1,
E14001424,Penrith and Solway,1852,1842,1676,2309,1902,1652,1784,1282,,40,52,44,93,103,87,92,64,,2,3,3,6,5,7,9,3,,0,1,2,0,0,1,3,0,
E14001425,Peterborough,1808,1742,1381,1877,1819,1365,1359,1068,,18,22,14,41,49,29,47,30,,1,1,1,7,1,1,3,2,,0,1,0,7,0,0,0,0,
E14001426,Plymouth Moor View,1590,1570,1269,1600,1515,1195,1281,1120,,10,14,15,23,46,22,26,23,,0,0,0,0,0,1,1,0,,0,0,0,0,0,0,0,0,
E14001427,Plymouth Sutton and Devonport,1884,1857,1558,2402,2200,1730,1805,1338,,30,25,25,55,39,49,49,26,,0,4,0,0,2,4,3,1,,0,1,0,0,0,0,0,0,
E14001428,"Pontefract, Castleford and Knottingley",2075,2117,1675,2240,1926,1517,1682,1212,,2,5,5,10,9,9,15,9,,0,0,1,0,2,1,2,1,,0,0,1,0,1,1,1,1,
E14001429,Poole,2136,2079,1972,3029,2184,1654,1832,1333,,358,344,424,686,562,364,359,262,,96,108,131,223,195,109,122,57,,41,44,60,111,109,59,58,28,
E14001430,Poplar and Limehouse,2358,2197,2729,3671,2998,1749,1885,1136,,942,849,1590,2412,1689,853,946,486,,133,68,215,501,450,139,145,78,,49,15,14,87,120,48,24,22,
E14001431,Portsmouth North,1561,1396,1270,1887,1558,1082,1276,1104,,32,29,40,57,88,43,51,55,,0,0,2,1,3,0,1,0,,0,0,0,1,1,0,0,0,
E14001432,Portsmouth South,1893,1665,1470,2140,1799,1273,1448,1166,,70,73,85,137,120,87,104,64,,4,3,5,3,10,7,3,6,,1,0,0,1,1,0,0,2,
E14001433,Preston,1620,1563,1535,2014,2156,1812,1636,1224,,0,2,10,19,16,8,13,8,,0,0,0,1,1,1,0,0,,0,0,0,1,1,0,0,0,
E14001434,Putney,1726,1625,1523,2250,1792,1442,1683,1218,,1018,964,988,1405,1148,898,1052,708,,265,263,314,472,444,336,349,207,,76,64,86,170,158,109,114,93,
E14001435,Queen's Park and Maida Vale,1088,1052,999,1700,1576,1052,1312,859,,745,685,683,1311,1207,768,907,567,,229,210,255,503,460,301,317,156,,97,72,94,208,160,123,139,69,
E14001436,Rawmarsh and Conisbrough,1486,1458,1349,1814,1541,1259,1279,1038,,2,3,1,3,11,7,11,10,,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,0,
E14001437,Rayleigh and Wickford,1599,1523,1390,2320,1791,1446,1570,1262,,168,149,198,452,406,273,328,261,,6,1,5,24,16,6,16,5,,0,0,0,7,6,2,5,1,
E14001438,Reading Central,1703,1637,1306,2161,2120,1694,1642,1251,,192,199,173,340,347,318,302,259,,11,14,9,32,38,37,23,19,,0,4,0,3,3,3,3,1,
E14001439,Reading West and Mid Berkshire,1336,1270,1167,1834,1348,1113,1186,1025,,296,256,276,471,396,317,334,273,,37,40,53,66,65,42,50,36,,9,15,12,19,23,16,21,9,
E14001440,Redcar,1540,1541,1338,1936,1746,1528,1498,1145,,2,4,3,10,15,6,14,7,,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001441,Redditch,1800,1789,1449,1813,1404,1272,1375,977,,45,55,55,110,103,80,103,72,,0,1,2,4,7,7,3,6,,0,0,1,0,1,0,0,1,
E14001442,Reigate,1669,1650,1638,2708,2236,1463,1597,1245,,653,654,743,1198,1056,649,811,613,,114,94,141,221,246,164,179,117,,31,31,33,64,82,49,68,41,
E14001443,Ribble Valley,1927,1954,1905,2701,2468,2004,2103,1459,,59,66,83,185,150,140,145,111,,2,5,2,7,7,9,13,11,,0,3,0,3,1,2,4,2,
E14001444,Richmond and Northallerton,1701,1590,1319,1937,1516,1341,1433,1095,,60,61,75,172,149,140,156,122,,0,3,2,8,8,5,15,6,,0,0,2,1,1,1,2,0,
E14001445,Richmond Park,1622,1638,1415,2118,1777,1400,1595,1144,,1140,1193,1084,1603,1398,1078,1201,851,,435,471,498,775,714,541,559,366,,195,194,258,380,339,276,259,174,
E14001446,Rochdale,1366,1321,1164,1589,1381,1066,1146,875,,4,3,9,12,12,15,15,12,,0,0,2,0,0,1,1,1,,0,0,0,0,0,0,0,0,
E14001447,Rochester and Strood,1636,1792,1607,2590,1971,1707,1568,1169,,65,72,77,198,211,163,155,106,,1,2,1,8,6,5,1,4,,1,0,0,0,0,2,0,0,
E14001448,Romford,1618,1584,1447,2421,1761,1328,1483,1174,,199,193,228,435,476,367,391,397,,4,8,5,21,20,10,12,11,,0,2,2,2,2,1,3,0,
E14001449,Romsey and Southampton North,1534,1509,1412,1952,1491,1182,1300,1025,,282,340,350,580,519,368,424,320,,28,37,58,98,95,69,61,38,,9,6,16,22,31,21,16,8,
E14001450,Rossendale and Darwen,1849,1917,1768,2394,2000,1683,1853,1448,,28,31,36,58,61,54,47,35,,2,0,0,3,7,1,2,2,,0,0,0,1,3,1,1,1,
E14001451,Rother Valley,1403,1482,1387,1858,1643,1473,1671,1033,,28,22,25,67,54,58,49,39,,0,3,1,3,1,4,2,2,,0,1,0,0,1,0,1,0,
E14001452,Rotherham,1302,1485,1416,1937,1748,1413,1391,946,,4,3,4,7,21,14,22,7,,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,
E14001453,Rugby,2187,2243,1952,2396,2031,1769,1877,1296,,71,82,86,150,147,125,138,103,,1,2,1,5,7,2,2,5,,1,0,0,1,1,1,1,1,
E14001454,"Ruislip, Northwood and Pinner",1067,1262,1024,1725,1267,1064,1167,810,,613,632,616,1023,763,675,772,523,,78,72,82,166,165,145,139,78,,19,10,14,30,46,33,36,17,
E14001455,Runcorn and Helsby,1459,1373,1215,1621,1418,1141,1320,955,,33,32,42,98,67,62,83,48,,1,2,1,4,3,6,3,3,,0,0,0,1,1,2,1,1,
E14001456,Runnymede and Weybridge,1766,1699,1672,2585,2015,1601,1859,1261,,695,634,721,1183,989,752,822,589,,242,203,257,420,325,253,278,125,,138,92,131,222,185,142,150,62,
E14001457,Rushcliffe,2009,1781,1814,2504,2172,1756,1754,1366,,177,164,204,339,344,304,335,234,,13,8,12,32,23,25,30,21,,1,3,3,10,10,6,10,8,
E14001458,Rutland and Stamford,1808,1698,1530,2166,1695,1334,1528,1198,,213,187,222,396,370,302,341,228,,15,21,24,45,51,47,42,22,,1,7,10,17,17,11,14,7,
E14001459,Salford,2830,3489,2097,3774,2870,2353,1996,1315,,3,4,8,22,22,28,17,23,,0,0,1,0,6,0,1,4,,0,0,0,0,6,0,1,4,
E14001460,Salisbury,1566,1533,1392,1993,1672,1398,1392,1117,,184,215,200,397,354,323,312,260,,10,21,23,45,37,25,34,15,,1,5,12,15,8,7,13,3,
E14001461,Scarborough and Whitby,2141,2135,1965,2554,2189,1914,1934,1430,,20,21,38,63,82,74,79,64,,0,0,2,3,2,4,4,2,,0,0,0,0,1,1,1,0,
E14001462,Scunthorpe,1615,1534,1410,1932,1834,1420,1500,1284,,1,3,3,8,21,6,5,10,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001463,Sefton Central,1512,1488,1514,2071,1642,1324,1509,1084,,69,80,93,169,134,114,136,90,,7,8,7,11,13,6,15,4,,5,2,2,5,4,2,4,2,
E14001464,Selby,2230,2360,1929,2620,2105,1647,1747,1419,,34,19,45,88,93,71,83,88,,0,1,1,2,2,1,3,2,,0,0,0,0,1,0,0,0,
E14001465,Sevenoaks,1546,1370,1379,2080,1554,1190,1309,1148,,487,412,512,827,713,502,563,502,,117,119,146,225,211,151,177,126,,40,36,50,80,88,59,64,59,
E14001466,Sheffield Brightside and Hillsborough,1278,1248,998,1331,1256,1093,1066,824,,0,1,1,3,1,3,3,1,,0,0,0,1,0,2,0,0,,0,0,0,0,0,1,0,0,
E14001467,Sheffield Central,1435,1426,1327,1588,1512,1181,1315,805,,47,57,40,91,117,90,69,62,,2,9,1,7,5,11,6,5,,0,9,0,1,1,1,0,0,
E14001468,Sheffield Hallam,1593,1568,1403,1916,1426,1311,1444,982,,194,197,213,354,343,329,341,202,,6,17,12,33,38,46,31,18,,0,4,4,5,18,11,7,3,
E14001469,Sheffield Heeley,1513,1540,1348,1586,1579,1348,1431,988,,8,7,14,26,27,24,28,16,,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,
E14001470,Sheffield South East,1453,1544,1212,1584,1346,1159,1278,909,,2,5,4,0,7,1,5,4,,0,1,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001471,Sherwood Forest,1967,2030,1845,2430,2129,1781,1867,1301,,42,46,55,112,78,75,83,59,,0,0,5,9,7,6,9,6,,0,0,0,1,1,2,2,0,
E14001472,Shipley,1868,1957,1625,2308,1787,1484,1616,1432,,63,45,65,148,157,126,127,107,,3,1,0,13,4,10,4,7,,1,0,0,3,0,3,0,0,
E14001473,Shrewsbury,2050,2025,1683,2493,1851,1632,1603,1259,,74,80,68,168,138,151,143,128,,4,6,4,8,4,6,8,9,,1,2,0,1,0,1,2,2,
E14001474,Sittingbourne and Sheppey,1868,1817,1694,2280,1921,1374,1737,1455,,61,47,52,112,118,95,100,76,,4,1,0,5,4,4,2,0,,0,1,0,1,0,1,0,0,
E14001475,Skipton and Ripon,1794,1793,1855,2448,1886,1600,1705,1265,,132,175,186,350,304,295,270,188,,7,11,8,38,33,32,23,15,,2,1,1,6,11,11,7,1,
E14001476,Sleaford and North Hykeham,1981,1928,1723,2432,1907,1520,1617,1303,,36,27,67,111,98,61,64,48,,0,1,2,3,3,2,1,2,,0,0,0,0,1,0,0,0,
E14001477,Slough,1534,1359,920,1708,1349,1026,1211,798,,147,107,85,158,171,170,198,134,,1,1,1,3,3,5,12,5,,1,0,1,1,0,2,1,0,
E14001478,Smethwick,1336,1306,984,1449,1301,967,992,786,,3,2,2,3,6,3,8,7,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
E14001479,Solihull West and Shirley,1779,1799,1604,2476,1966,1652,1630,1106,,206,193,208,411,396,289,285,187,,10,7,10,27,35,26,25,9,,1,2,0,6,9,5,7,7,
E14001480,South Basildon and East Thurrock,1450,1444,1281,2044,1487,1119,1284,1035,,115,126,120,231,222,126,160,118,,4,4,8,15,8,11,5,2,,1,1,2,7,2,2,1,0,
E14001481,South Cambridgeshire,1329,1368,1297,2037,1665,1313,1376,999,,398,505,485,786,732,633,598,426,,42,60,49,96,110,100,88,54,,10,17,16,30,38,27,25,15,
E14001482,South Cotswolds,1757,1489,1406,2188,1618,1410,1427,1156,,340,248,339,643,530,473,497,372,,27,25,40,83,65,64,86,45,,9,8,16,24,17,25,22,13,
E14001483,South Derbyshire,2275,2340,2012,2641,2189,1700,1660,1333,,65,87,61,130,119,114,114,83,,3,3,4,9,4,7,8,5,,0,1,1,2,1,3,0,0,
E14001484,South Devon,2103,1966,1859,2601,1878,1470,1606,1191,,293,258,351,570,563,424,469,289,,39,45,65,92,111,80,67,41,,16,9,25,32,44,27,20,17,
E14001485,South Dorset,1997,1879,1733,2363,1944,1671,1669,1413,,126,96,147,218,236,211,191,115,,10,2,13,23,14,20,19,10,,3,1,4,7,3,9,11,1,
E14001486,South East Cornwall,1761,1810,1618,2116,1784,1406,1410,1170,,69,72,95,208,191,146,112,94,,1,6,10,16,11,18,14,3,,0,3,4,7,4,3,2,2,
E14001487,South Holland and The Deepings,2046,2023,1923,2917,2375,1765,1862,1494,,20,30,27,74,79,59,59,41,,0,1,1,1,4,1,4,1,,0,0,1,0,0,0,1,0,
E14001488,South Leicestershire,1977,1852,1854,2489,1768,1476,1647,1296,,72,74,111,184,161,115,121,102,,2,3,3,8,10,10,7,5,,1,1,0,1,1,2,3,0,
E14001489,South Norfolk,2171,2069,1746,2627,2208,1635,1675,1274,,112,110,141,294,289,199,198,159,,1,2,4,16,16,15,8,5,,1,1,1,5,1,2,1,2,
E14001490,South Northamptonshire,2056,1930,1700,2361,1879,1699,1833,1444,,237,237,227,361,345,275,333,259,,16,12,13,22,37,22,17,19,,1,0,1,6,8,8,2,3,
E14001491,South Ribble,1760,1677,1626,2261,1927,1657,1680,1270,,35,36,55,64,55,75,90,60,,3,0,1,8,5,7,12,10,,0,0,0,3,1,0,0,2,
E14001492,South Shields,1139,1196,1048,1498,1298,1102,1198,909,,19,19,17,32,33,26,35,23,,3,1,0,2,3,3,3,1,,1,0,0,1,2,1,0,0,
E14001493,South Shropshire,1545,1404,1175,1829,1612,1218,1275,927,,101,112,114,228,236,186,227,159,,3,3,3,7,12,10,17,6,,0,0,0,3,3,2,0,1,
E14001494,South Suffolk,1522,1604,1517,2273,1824,1376,1430,1106,,162,175,203,347,305,245,217,165,,11,16,12,27,19,15,15,14,,1,3,2,6,3,4,4,5,
E14001495,South West Devon,1952,1959,1771,2078,1835,1616,1729,1399,,66,76,110,168,154,178,149,141,,6,5,12,19,9,21,14,10,,2,2,3,4,3,4,3,3,
E14001496,South West Hertfordshire,1301,1344,1220,1794,1400,1090,1286,988,,569,555,542,870,782,571,699,538,,123,118,116,210,207,144,176,108,,40,30,37,85,85,45,63,33,
E14001497,South West Norfolk,1694,1666,1530,2379,1896,1517,1613,1274,,40,32,46,100,129,92,94,72,,1,2,2,2,6,2,1,2,,0,1,0,1,3,1,1,0,
E14001498,South West Wiltshire,1784,1735,1496,2250,1747,1511,1722,1287,,77,63,72,173,158,129,118,83,,5,1,4,13,9,9,11,5,,1,0,0,5,2,1,2,0,
E14001499,Southampton Itchen,1998,1774,1410,2000,1712,1417,1493,1111,,18,10,8,20,28,19,21,12,,0,1,0,0,2,0,1,0,,0,1,0,0,0,0,1,0,
E14001500,Southampton Test,1856,1350,1164,1748,1545,1442,1214,1292,,24,35,19,44,57,49,46,52,,2,7,0,0,2,2,4,9,,2,1,0,0,1,0,0,0,
E14001501,Southend East and Rochford,1910,1605,1533,2151,2023,1147,1436,1080,,218,163,178,289,290,160,227,156,,14,8,11,24,26,19,21,14,,7,4,3,4,7,6,5,2,
E14001502,Southend West and Leigh,2012,1812,1716,2569,1954,1384,1587,1352,,204,198,210,449,401,252,298,249,,14,13,8,19,43,21,20,16,,2,1,0,6,6,2,0,0,
E14001503,Southgate and Wood Green,1066,1045,1128,1870,1582,1201,1265,879,,474,466,467,960,786,585,646,491,,54,69,78,137,149,109,109,71,,22,30,28,54,65,35,37,22,
E14001504,Southport,1792,1876,1706,2357,2110,1729,1726,1275,,40,52,54,87,94,78,84,70,,0,6,1,4,6,6,3,5,,0,1,0,0,2,1,0,2,
E14001505,Spelthorne,1436,1528,1435,2127,1751,1217,1486,1121,,283,269,319,568,566,382,470,421,,15,6,13,38,38,21,28,21,,1,0,1,4,3,8,6,3,
E14001506,Spen Valley,1599,1792,1498,2003,1653,1429,1551,1210,,24,29,25,43,42,25,49,43,,0,1,2,5,2,3,1,1,,0,0,1,3,0,0,0,0,
E14001507,St Albans,1492,1480,1559,2190,1826,1355,1392,1074,,703,744,805,1264,1126,869,859,656,,90,95,81,200,214,175,178,100,,15,20,17,47,58,39,43,23,
E14001508,St Austell and Newquay,2090,1979,1756,2397,1926,1628,1658,1356,,51,68,115,181,240,148,155,123,,7,5,20,20,30,17,22,15,,2,1,5,11,9,6,10,5,
E14001509,St Helens North,1515,1502,1342,1784,1555,1194,1306,994,,5,10,8,18,15,9,18,13,,0,3,0,0,0,0,4,1,,0,1,0,0,0,0,1,0,
E14001510,St Helens South and Whiston,1421,1535,1367,1935,1571,1312,1474,1058,,4,10,9,18,25,28,30,17,,0,0,0,0,0,0,3,1,,0,0,0,0,0,0,0,1,
E14001511,St Ives,1530,1637,1497,2151,1554,1245,1340,1001,,121,135,175,365,325,257,273,156,,6,7,12,43,40,29,25,9,,3,3,3,12,11,12,8,3,
E14001512,St Neots and Mid Cambridgeshire,2012,1900,1677,2719,2282,1839,1921,1388,,222,195,208,464,449,376,395,297,,7,6,6,35,22,25,43,9,,4,2,2,7,3,5,3,1,
E14001513,Stafford,1831,1744,1654,2074,1710,1438,1610,1118,,41,49,51,98,100,70,76,54,,0,3,3,5,5,1,3,2,,0,1,0,1,0,0,2,1,
E14001514,Staffordshire Moorlands,1357,1417,1272,1724,1325,1171,1282,1072,,16,25,28,75,68,51,44,54,,0,1,0,5,4,2,3,0,,0,1,0,1,0,0,0,0,
E14001515,Stalybridge and Hyde,1691,1701,1407,2071,1600,1193,1411,1095,,16,16,23,34,38,33,25,21,,1,0,0,0,1,1,0,1,,0,0,0,0,0,0,0,0,
E14001516,Stevenage,1276,1402,1202,1697,1363,1101,1160,970,,98,137,140,220,174,155,182,162,,8,12,18,19,14,11,13,10,,2,4,3,3,3,3,3,3,
E14001517,Stockport,1835,1947,1607,2070,1757,1560,1685,1282,,71,58,60,111,121,97,120,88,,3,0,0,5,4,6,6,5,,0,0,0,2,2,0,0,1,
