,PCON24CD,PCON24NM,Counted spills using 12-24h count method,Counted spills using 12-24h count method,Counted spills using 12-24h count method,Total Duration (hrs) all spills prior to processing through 12-24h count method,Total Duration (hrs) all spills prior to processing through 12-24h count method,Total Duration (hrs) all spills prior to processing through 12-24h count method
326,E14001410,Nottingham East,300.0,502.0,417.0,1055.55,1382.83,1191.26
327,E14001411,Nottingham North and Kimberley,241.0,450.0,304.0,688.45,1703.93,882.22
328,E14001412,Nottingham South,92.0,198.0,118.0,173.62,1196.46,383.14
329,E14001413,Nuneaton,48.0,78.0,142.0,288.8,523.63,1200.36
330,E14001414,Old Bexley and Sidcup,0.0,9.0,55.0,0.0,17.83,153.17
331,E14001415,Oldham East and Saddleworth,570.0,886.0,383.0,4958.8,7280.01,2319.29
332,E14001416,"Oldham West, Chadderton and Royton",548.0,742.0,632.0,1969.87,2951.08,3634.8
333,E14001417,Orpington,31.0,45.0,53.0,95.21,148.75,223.75
334,E14001418,Ossett and Denby Dale,1413.0,1848.0,1525.0,6572.42,13187.33,8595.49
335,E14001419,Oxford East,15.0,133.0,162.0,163.94,2095.75,3174.5
336,E14001420,Oxford West and Abingdon,0.0,76.0,111.0,0.0,555.42,1322.75
337,E14001422,Pendle and Clitheroe,1251.0,1487.0,1003.0,7054.58,8309.49,4834.12
338,E14001423,Penistone and Stocksbridge,1266.0,1957.0,1824.0,6989.08,17738.98,12392.49
339,E14001424,Penrith and Solway,7160.0,8326.0,7830.0,56612.22,75250.99,59613.06
340,E14001425,Peterborough,168.0,365.0,521.0,810.12,3675.18,5592.12
341,E14001426,Plymouth Moor View,463.0,513.0,452.0,4080.74,3656.92,4109.9
342,E14001427,Plymouth Sutton and Devonport,989.0,1329.0,1244.0,6308.16,5395.72,6962.28
343,E14001428,"Pontefract, Castleford and Knottingley",1022.0,1059.0,752.0,2879.39,6400.77,4199.75
344,E14001429,Poole,108.0,148.0,156.0,273.49,624.88,493.69
345,E14001430,Poplar and Limehouse,34.0,145.0,106.0,67.37,257.52,160.16
346,E14001431,Portsmouth North,113.0,115.0,114.0,232.06,266.93,256.28
347,E14001432,Portsmouth South,0.0,0.0,0.0,0.0,0.0,0.0
348,E14001433,Preston,471.0,968.0,873.0,975.94,5778.92,3157.17
349,E14001434,Putney,142.0,119.0,213.0,483.15,335.46,1111.34
350,E14001436,Rawmarsh and Conisbrough,1091.0,1554.0,1235.0,5037.66,13971.13,9532.99
351,E14001437,Rayleigh and Wickford,28.0,81.0,85.0,157.75,532.0,521.25
352,E14001438,Reading Central,0.0,0.0,3.0,0.0,0.0,40.07
353,E14001439,Reading West and Mid Berkshire,286.0,644.0,626.0,4536.84,11087.82,8906.18
354,E14001440,Redcar,248.0,364.0,363.0,472.07,1161.65,1442.0
355,E14001441,Redditch,186.0,351.0,395.0,1430.71,3186.13,3598.18
356,E14001442,Reigate,53.0,87.0,105.0,626.98,1031.5,1294.25
357,E14001443,Ribble Valley,2269.0,3144.0,2681.0,18946.22,27062.65,19684.8
358,E14001444,Richmond and Northallerton,3178.0,4427.0,4057.0,19058.97,33909.11,28338.22
359,E14001445,Richmond Park,24.0,35.0,21.0,154.12,57.25,51.25
360,E14001446,Rochdale,739.0,981.0,736.0,1899.34,3213.8,2604.9
361,E14001447,Rochester and Strood,173.0,359.0,227.0,260.38,1377.71,528.18
362,E14001449,Romsey and Southampton North,226.0,733.0,881.0,3144.77,12278.87,14325.95
363,E14001450,Rossendale and Darwen,1626.0,2240.0,1386.0,8260.81,12135.94,6271.84
364,E14001451,Rother Valley,586.0,962.0,910.0,3057.75,7862.33,6978.92
365,E14001452,Rotherham,864.0,1517.0,1360.0,3341.07,6574.08,6249.75
366,E14001453,Rugby,416.0,348.0,527.0,1212.11,2169.62,3993.74
367,E14001454,"Ruislip, Northwood and Pinner",23.0,52.0,124.0,204.12,650.5,1892.25
368,E14001455,Runcorn and Helsby,655.0,1266.0,925.0,2720.38,9661.91,5181.09
369,E14001456,Runnymede and Weybridge,113.0,190.0,252.0,1545.1,2751.23,3742.52
370,E14001457,Rushcliffe,476.0,1085.0,1004.0,3738.92,11861.86,11264.72
371,E14001458,Rutland and Stamford,1294.0,1252.0,2296.0,13958.54,11091.58,27432.72
372,E14001459,Salford,797.0,1158.0,864.0,2656.09,4087.19,2094.37
373,E14001460,Salisbury,684.0,1353.0,1924.0,5191.81,15735.0,27767.35
374,E14001461,Scarborough and Whitby,1142.0,1885.0,1639.0,4167.34,11764.73,10184.2
375,E14001462,Scunthorpe,672.0,1268.0,1167.0,1956.55,6587.54,10321.7
376,E14001463,Sefton Central,231.0,309.0,308.0,801.88,1302.52,1577.62
377,E14001464,Selby,1146.0,1470.0,1350.0,5138.58,11649.6,12322.43
378,E14001465,Sevenoaks,0.0,0.0,0.0,0.0,0.0,0.0
379,E14001466,Sheffield Brightside and Hillsborough,748.0,926.0,741.0,1971.17,2988.61,2183.66
380,E14001467,Sheffield Central,371.0,483.0,426.0,828.0,1010.01,835.25
381,E14001468,Sheffield Hallam,444.0,648.0,504.0,1682.43,2103.64,1792.43
382,E14001469,Sheffield Heeley,302.0,489.0,357.0,876.58,1559.92,850.75
383,E14001470,Sheffield South East,1115.0,1336.0,972.0,3536.33,4117.43,2760.75
384,E14001471,Sherwood Forest,350.0,485.0,398.0,1032.91,2131.82,1614.51
385,E14001472,Shipley,1390.0,1893.0,1565.0,4957.7,10637.55,8429.96
386,E14001473,Shrewsbury,1546.0,2234.0,1658.0,13288.09,25134.02,8703.8
387,E14001474,Sittingbourne and Sheppey,142.0,239.0,263.0,321.76,842.21,2391.61
388,E14001475,Skipton and Ripon,4014.0,5792.0,5479.0,24693.8,52305.24,43121.65
389,E14001476,Sleaford and North Hykeham,327.0,733.0,892.0,3323.0,10758.37,10730.1
390,E14001477,Slough,8.0,32.0,70.0,63.63,363.5,1220.5
391,E14001478,Smethwick,201.0,225.0,401.0,198.26,393.67,883.81
392,E14001479,Solihull West and Shirley,68.0,27.0,53.0,113.28,43.3,149.95
393,E14001480,South Basildon and East Thurrock,48.0,98.0,118.0,217.5,645.0,841.28
394,E14001481,South Cambridgeshire,282.0,729.0,1036.0,1476.25,9015.37,15494.18
395,E14001482,South Cotswolds,1372.0,2845.0,3030.0,10285.06,37214.52,39931.88
396,E14001483,South Derbyshire,1095.0,1173.0,1161.0,8659.5,9516.1,10443.81
397,E14001484,South Devon,3498.0,5364.0,4911.0,30437.83,60959.1,51951.41
398,E14001485,South Dorset,421.0,793.0,822.0,753.86,2542.09,3727.75
399,E14001486,South East Cornwall,2905.0,4825.0,4263.0,24339.05,46153.25,46449.97
400,E14001487,South Holland and The Deepings,187.0,387.0,543.0,1214.0,3816.48,5628.15
401,E14001488,South Leicestershire,1192.0,1494.0,1378.0,8925.74,11764.17,9270.13
402,E14001489,South Norfolk,112.0,345.0,366.0,1090.75,3073.99,3886.28
403,E14001490,South Northamptonshire,745.0,1490.0,2902.0,4386.79,13541.39,30158.0
404,E14001491,South Ribble,1033.0,1789.0,1425.0,6000.5,11474.65,8352.35
405,E14001492,South Shields,128.0,211.0,185.0,317.34,737.0,685.2
406,E14001493,South Shropshire,1753.0,1780.0,2220.0,10747.04,14342.91,19671.47
407,E14001494,South Suffolk,197.0,541.0,560.0,634.65,4581.87,4311.87
408,E14001495,South West Devon,1895.0,2780.0,2905.0,20863.83,27856.65,29817.2
409,E14001496,South West Hertfordshire,0.0,1.0,,0.0,0.75,
410,E14001497,South West Norfolk,163.0,310.0,640.0,936.0,2794.89,9809.43
411,E14001498,South West Wiltshire,423.0,798.0,890.0,1762.12,3793.59,5432.92
412,E14001499,Southampton Itchen,2.0,0.0,1.0,1.55,0.0,0.12
413,E14001500,Southampton Test,60.0,130.0,227.0,677.69,1664.54,2618.93
414,E14001501,Southend East and Rochford,36.0,137.0,159.0,128.82,700.08,1029.95
415,E14001502,Southend West and Leigh,20.0,30.0,31.0,33.0,34.0,26.25
416,E14001503,Southgate and Wood Green,0.0,10.0,35.0,0.0,21.27,93.33
417,E14001504,Southport,406.0,381.0,373.0,2624.65,1595.46,2052.74
418,E14001506,Spen Valley,399.0,591.0,471.0,1002.0,2123.17,1534.0
419,E14001508,St Austell and Newquay,1168.0,1548.0,1686.0,4755.92,8183.88,10318.79
420,E14001509,St Helens North,811.0,1422.0,693.0,3849.13,11142.86,3468.82
421,E14001510,St Helens South and Whiston,255.0,300.0,179.0,2165.99,612.67,264.76
422,E14001511,St Ives,689.0,1014.0,1096.0,4196.97,6029.86,9370.27
423,E14001512,St Neots and Mid Cambridgeshire,208.0,481.0,665.0,1552.25,7440.41,9229.12
424,E14001513,Stafford,264.0,319.0,427.0,1254.78,1606.66,3102.1
425,E14001514,Staffordshire Moorlands,1208.0,1461.0,1486.0,6286.69,8569.42,8604.73
426,E14001515,Stalybridge and Hyde,832.0,2083.0,1089.0,2919.67,17076.21,4669.49
427,E14001516,Stevenage,6.0,4.0,25.0,5.34,5.0,86.25
428,E14001517,Stockport,702.0,1076.0,775.0,1964.77,4401.42,2011.5
429,E14001518,Stockton North,779.0,1210.0,823.0,3791.72,6074.74,3752.83
430,E14001519,Stockton West,750.0,1289.0,1050.0,2216.3,6858.98,6696.79
431,E14001520,Stoke-on-Trent Central,634.0,627.0,688.0,1305.34,2159.52,1579.68
432,E14001521,Stoke-on-Trent North,401.0,370.0,429.0,4432.77,1040.8,1437.6
433,E14001522,Stoke-on-Trent South,376.0,365.0,447.0,1118.6,1529.48,1966.59
434,E14001523,"Stone, Great Wyrley and Penkridge",719.0,911.0,1022.0,3285.82,5536.66,6427.59
435,E14001524,Stourbridge,159.0,135.0,152.0,223.15,159.89,161.16
436,E14001525,Stratford and Bow,0.0,0.0,7.0,0.0,0.0,8.3
437,E14001526,Stratford-on-Avon,848.0,1532.0,2184.0,4662.28,15670.96,25588.32
438,E14001527,Streatham and Croydon North,12.0,14.0,12.0,7.68,14.25,14.5
439,E14001528,Stretford and Urmston,1503.0,1964.0,1269.0,7570.04,11341.73,4090.29
440,E14001529,Stroud,414.0,796.0,826.0,2649.23,7878.19,8429.24
441,E14001530,Suffolk Coastal,271.0,514.0,582.0,193.95,653.46,1780.28
442,E14001531,Sunderland Central,309.0,416.0,375.0,796.44,864.0,940.54
443,E14001532,Surrey Heath,22.0,40.0,41.0,117.34,198.5,261.9
444,E14001533,Sussex Weald,1459.0,2370.0,2569.0,13851.54,26692.27,27794.3
445,E14001535,Sutton Coldfield,38.0,105.0,141.0,234.67,677.05,1095.96
446,E14001536,Swindon North,92.0,246.0,284.0,997.57,3246.18,4011.1
447,E14001537,Swindon South,33.0,71.0,72.0,319.14,824.0,878.5
448,E14001538,Tamworth,280.0,319.0,357.0,856.09,1086.39,1496.6
449,E14001539,Tatton,1707.0,2585.0,2135.0,8891.05,16320.42,13107.75
450,E14001540,Taunton and Wellington,648.0,1172.0,1007.0,3960.0,10110.28,9700.45
451,E14001541,Telford,129.0,188.0,279.0,488.18,849.88,1105.97
452,E14001542,Tewkesbury,603.0,864.0,1200.0,5241.21,7436.16,11074.6
453,E14001543,The Wrekin,516.0,598.0,751.0,1714.24,2271.57,3672.03
454,E14001544,Thirsk and Malton,3073.0,4691.0,4456.0,15155.22,37993.56,41613.7
455,E14001545,Thornbury and Yate,718.0,1780.0,2141.0,6494.3,23021.34,28605.8
456,E14001546,Thurrock,0.0,3.0,0.0,0.0,7.25,0.0
457,E14001547,Tipton and Wednesbury,71.0,90.0,131.0,138.64,339.59,365.68
458,E14001548,Tiverton and Minehead,1871.0,3306.0,3529.0,12994.93,31372.24,35451.56
459,E14001549,Tonbridge,393.0,647.0,765.0,2921.73,5374.09,6518.95
460,E14001550,Tooting,107.0,178.0,206.0,168.71,280.5,461.91
461,E14001551,Torbay,126.0,315.0,244.0,487.11,1940.01,1449.27
462,E14001552,Torridge and Tavistock,4324.0,6959.0,6886.0,41410.81,77585.51,68658.76
463,E14001553,Tottenham,0.0,1.0,0.0,0.0,0.4,0.0
464,E14001554,Truro and Falmouth,1696.0,2494.0,2263.0,12060.69,23977.46,24651.26
465,E14001555,Tunbridge Wells,731.0,1155.0,1277.0,5280.66,11005.6,11707.49
466,E14001556,Twickenham,0.0,0.0,0.0,0.0,0.0,0.0
467,E14001557,Tynemouth,199.0,287.0,247.0,802.92,1915.89,1293.03
468,E14001558,Uxbridge and South Ruislip,1.0,1.0,3.0,3.41,2.5,9.25
469,E14001559,Vauxhall and Camberwell Green,81.0,152.0,101.0,510.04,942.97,1172.53
470,E14001560,Wakefield and Rothwell,634.0,998.0,817.0,2753.08,5959.0,3805.75
471,E14001561,Wallasey,689.0,828.0,754.0,3652.92,3857.48,3243.98
472,E14001562,Walsall and Bloxwich,313.0,408.0,372.0,1071.99,2137.13,1132.73
473,E14001563,Walthamstow,43.0,29.0,32.0,139.92,84.97,162.05
474,E14001564,Warrington North,701.0,640.0,554.0,5476.52,3368.43,4134.14
475,E14001565,Warrington South,675.0,651.0,602.0,4833.11,2312.13,2280.89
476,E14001566,Warwick and Leamington,142.0,214.0,294.0,773.34,1545.89,1966.31
477,E14001567,Washington and Gateshead South,277.0,598.0,452.0,625.93,3491.86,2285.17
478,E14001568,Watford,0.0,0.0,,0.0,0.0,
479,E14001569,Waveney Valley,353.0,741.0,938.0,2538.5,6791.46,8892.77
480,E14001570,Weald of Kent,692.0,1313.0,1323.0,6278.95,14685.3,14045.74
481,E14001571,Wellingborough and Rushden,248.0,332.0,757.0,2352.75,3505.98,7462.17
482,E14001572,Wells and Mendip Hills,735.0,1842.0,2012.0,5987.28,20780.73,23526.99
483,E14001573,Welwyn Hatfield,12.0,24.0,55.0,57.72,205.25,367.75
484,E14001574,West Bromwich,101.0,140.0,171.0,204.04,163.0,237.13
485,E14001575,West Dorset,1971.0,3794.0,3908.0,17320.79,45461.21,47461.45
486,E14001576,West Ham and Beckton,1.0,0.0,2.0,0.31,0.0,9.8
487,E14001577,West Lancashire,252.0,953.0,593.0,1215.56,5991.65,3302.76
488,E14001578,West Suffolk,183.0,437.0,557.0,968.0,4364.07,6485.78
489,E14001579,West Worcestershire,1190.0,1339.0,1588.0,7712.53,11625.75,13880.05
490,E14001580,Westmorland and Lonsdale,5090.0,5732.0,5377.0,55416.54,67628.89,54870.02
491,E14001581,Weston-super-Mare,32.0,162.0,179.0,282.12,2751.78,3210.45
492,E14001582,Wetherby and Easingwold,2754.0,3976.0,4082.0,14979.35,32745.22,31564.7
493,E14001583,Whitehaven and Workington,2441.0,2553.0,2715.0,13330.51,15969.07,16843.43
494,E14001584,Widnes and Halewood,559.0,667.0,560.0,1728.2,3602.1,2859.56
495,E14001585,Wigan,1066.0,1152.0,783.0,4207.3,4509.21,2390.15
496,E14001586,Wimbledon,0.0,10.0,17.0,0.0,8.1,27.07
497,E14001587,Winchester,125.0,194.0,380.0,1383.7,1994.77,4924.8
498,E14001588,Windsor,60.0,102.0,162.0,452.77,1048.94,1922.64
499,E14001589,Wirral West,419.0,711.0,592.0,3036.17,6452.96,2510.8
500,E14001590,Witham,200.0,521.0,635.0,1249.5,5250.81,6802.83
501,E14001591,Witney,335.0,1190.0,1653.0,3383.09,18287.28,26158.32
502,E14001592,Woking,59.0,76.0,139.0,460.42,540.18,1500.82
503,E14001593,Wokingham,56.0,130.0,244.0,348.47,942.75,2112.4
504,E14001594,Wolverhampton North East,15.0,20.0,18.0,6.25,46.5,10.01
505,E14001595,Wolverhampton South East,140.0,102.0,143.0,822.81,154.51,320.3
506,E14001596,Wolverhampton West,240.0,247.0,237.0,1071.74,544.66,436.11
507,E14001597,Worcester,154.0,248.0,330.0,1078.01,2170.98,2768.89
508,E14001598,Worsley and Eccles,645.0,1156.0,1007.0,3509.46,5103.95,5359.09
509,E14001599,Worthing West,3.0,2.0,5.0,1.21,6.98,22.38
510,E14001600,Wycombe,0.0,20.0,8.0,0.0,334.0,105.0
511,E14001601,Wyre Forest,210.0,279.0,291.0,673.78,668.86,832.98
512,E14001602,Wythenshawe and Sale East,19.0,123.0,64.0,197.97,1026.67,368.77
513,E14001603,Yeovil,1099.0,2122.0,2017.0,6401.07,16680.41,16704.6
514,E14001604,York Central,1414.0,2175.0,2101.0,8678.26,19994.44,20843.22
515,E14001605,York Outer,609.0,809.0,1028.0,3233.68,6529.6,8914.7
516,S14000008,"Berwickshire, Roxburgh and Selkirk",,85.0,177.0,,1816.07,2017.8
517,W07000102,Montgomeryshire and Glyndwr,30.0,168.0,53.0,218.52,1926.85,423.63
518,W07000106,Pontypridd,65.0,,,343.23,,
